name,nationality,birth_date,field,genre
Anselm Kiefer,German||Austrian,1945/3/8,Painting||Sculpture,
Gillian Ayres,British,1930/2/3,Painting||Printmaking,Abstract
Rafa al-Nasiri,Iraqi,1905/4/23,Drawing||Education||Literature||Painting||Printmaking,Political||Social Realism
Victor Vasarely,French||Hungarian,1906/4/9,Graphic Design||Sculpture,Abstract
Robert Motherwell,American,1915/2/24,Film||Painting||Printmaking,Abstract
William Thomas Kinkade III,American,1958/1/19,Painting,Environmental||Other
Frank Graham Bell,South African,1910/11/21,Literature||Others||Painting,Landscape||Portrait||Still Life
Oswaldo Vigas,Venezuelan,1923/8/4,Ceramics||Drawing||Others||Painting||Sculpture,Abstract||Figurative
Kiki Smith,American||German,1954/1/18,Printmaking||Sculpture,
Afro Libio Basaldella,Italian,1912/3/4,Painting,Abstract
Carlos Cruz-Diez,Venezuelan,1923/8/17,Graphic Design||Visual,
Anthony Peter Smith,American,1912/9/23,Architecture||Sculpture||Visual,Abstract
Max Bill,Swiss,1908/12/22,Architecture||Graphic Design||Others||Painting||Sculpture,Abstract
Lygia Pape,Brazilian,1927/4/7,Film||Printmaking||Sculpture,
Frederick Hammersley,American,1919/2/5,Painting,Abstract
Joseph Cornell,American,1903/12/24,Film||Others,Avant Garde Experimental||Film
Dorothea Foster Black || Dorrit Black,Australian,1891/12/23,Painting||Printmaking,Landscape||Portrait
Jacques Villon||Gaston Duchamp||Emile Méry Frédéric Gaston Duchamp,French,1875/7/31,Painting||Printmaking,Abstract
Sergei Parajanov,Armenian||Ukrainian,1924/2/9,Film||Others,
Joan Snyder,American,1940/4/16,Painting,Abstract||Landscape||Portrait
Dana Schutz,American,1905/5/29,Painting,
Daniel Buren,French,1938/3/25,Conceptual,Avant Garde Experimental
Oscar Agustín Alejandro Schulz Solari,Argentinean,1887/12/14,Painting||Printmaking,Abstract
Yves Gaucher,Canadian,1934/2/4,Painting||Printmaking,
James Turrell,American,1943/5/6,Environment,
Cornelia Ann Parker,English,,Installation||Sculpture,
Elsa Hildegard Baroness von Freytag-Loringhoven,German,1874/7/12,Literature||Performance,Avant Garde Experimental
Samia A. Halaby,Palestinians,1936/12/12,Painting,Abstract||Narrative
Nancy Graves,American,1939/12/23,Film||Painting||Printmaking||Sculpture,
Kent Bellows,American,1949/6/26,Illustration||Painting,Abstract||Figurative
Antonio Sicurezza,Italian,1905/2/25,Painting,Landscape||Nude||Portrait||Religious||Still Life
LeRoy Neiman,American,1921/6/8,Illustration||Painting,Other
Enrico Castellani,Italian,1930/8/4,Architecture||Painting||Sculpture,Abstract
Philippe Halsman,American,1906/5/2,Photography,Portrait
Ali Omar Ermes,Libyan,1905/4/28,Literature||Social,Cultural and Regional Themes||Social Realism
Haralampi G. Oroschakoff,Austrian,1905/5/8,Literature||Painting||Social,
Victor Brauner,Jewish||Romanian,1903/6/15,Painting||Sculpture,Landscape||Portrait||Surrealist
Phyllida Barlow,British,1944/1/1,Sculpture,Abstract
Chaim Goldberg,Polish-Jewish,1917/3/20,Painting||Printmaking||Sculpture,
Claude Viallat,French,1905/4/19,Painting,Abstract
Mona Hatoum,Palestinian,,Digital Art||Installation,
Irma Stern,South African,1905/3/8,Painting,
John Roddam Spencer Stanhope,English,1829/1/20,Painting,Allegorical||Contemporary||Mythological||Religious
Wade Guyton,American,1905/5/25,Painting,Abstract||Avant Garde Experimental
Charles Hinman,American,1905/4/15,Painting,Abstract
Lenore Tawney,American,1907/5/10,Textile Art,Architecture
Georg,Austrian,1946/5/4,Painting,Landscape||Narrative
Sister Esther Newport,American,1901/1/1,Education||Painting||Sculpture,Religious
Samuel John Peploe,Scottish,1871/1/27,Painting,Landscape||Still Life
Robert Del Naja,British,1965/1/21,Conceptual||Music,Pop Art
Qi Baishi,Chinese,1864/1/1,Painting||Printmaking,Animal||Landscape
K?the Kollwitz,German,1867/7/8,Painting||Printmaking||Sculpture,
Alice Aycock,American,1946/11/20,Installation||Sculpture,Environmental||Social Realism
Günther F?rg,German,1952/12/5,Graphic Design||Painting||Photography||Sculpture,Abstract
Lee Bontecou,American,1931/1/15,Printmaking||Sculpture,Abstract
Fernando Carlo,American,1905/5/21,Conceptual,
Edward Hopper,American,1882/7/22,Painting||Printmaking,Environmental||Landscape
Peter Halley,American,1953/9/24,Painting||Printmaking,Abstract
Alice Phillipot (Alice Rahon),French||Mexican,1904/6/8,Literature||Painting,
Robert Ryman,American,1930/5/30,Painting||Printmaking,Abstract
Kathleen Petyarre,Australian,,Painting||Textile Art,Abstract
"Bastiaan Johan Christiaan ""Bas Jan"" Ader",Dutch,1942/4/19,Conceptual||Film||Performance||Photography,Avant Garde Experimental||Film
Yves Klein,French,1928/4/28,Painting||Performance,Abstract
Toko Shinoda,Japanese,1913/3/28,Painting||Printmaking,Abstract||Illustration
Otto Piene,German,1928/4/18,Digital Art||Painting,Digital Art||Other
Alberto Sughi,Italian,1928/10/5,Painting,
Alfred Freddy Krupa,Croatian||Polish||German||Jewish,1971/6/14,Drawing||Education||Painting||Photography||Social,
John Randall Bratby,English,1928/7/19,Literature||Painting,Figurative||Landscape||Portrait||Still Life
Geta Br?tescu,Romanian,1926/5/4,Collage||Drawing||Film||Illustration||Performance||Photography||Textile Art,
Hans Richter,German,1888/4/6,Film||Graphic Design||Painting,Avant Garde Experimental
Larry Bell,American,1905/4/22,Painting||Sculpture,Abstract
Edward Robert Hughes,English,1851/11/5,Painting,Portrait
Ivan Le Lorraine Albright,American,1897/2/20,Painting,Figurative||Portrait||Still Life
Oliver Percival Kilbourn,British,1904/10/6,Painting,
Paul Johan du Toit,South African,1965/10/31,MixedMedia||Others||Painting||Sculpture,
David Keith Lynch,American,1946/1/20,Film||Music||Painting||Performance||Photography,Fantasy||Narrative||Other||Surrealist
"Nancy ""Nan"" Goldin",American,1953/9/12,Photography,Avant Garde Experimental||Political
Gisela Colon,American||Canadian,1905/5/19,Painting||Sculpture,Abstract
Tania Bruguera,Cuban,1905/5/21,Installation||Performance,
Beatriz Milhazes,Brazilian,1905/5/13,Collage||Painting,
Alfred Wallis,British,1855/8/18,Painting,Landscape
Jane Schenthal Frank,American,1918/7/25,MixedMedia||Painting||Sculpture||Textile Art,Abstract||Landscape
William Saroyan,Armenian-American,1908/8/31,Literature||Performance,
Guity Novin,Iranian-Canadian,,Graphic Design||Painting,Figurative
John Vassos,American,1905/3/12,Graphic Design||Illustration,
Bruno Schulz,Polish||Jewish||Ukrainian,1892/7/12,Education||Literature||Painting,Narrative
Betty Parsons,American,1900/1/31,Painting||Sculpture,
Makinti Napanangka,Australian,1905/4/13,Painting,
"Domenico ""Mimmo"" Rotella",Italian,1918/10/7,Collage||Graphic Design,
Richard Warren Pousette-Dart,American,1916/6/8,Drawing||Painting||Photography||Sculpture,Abstract
Helen Pashgian,American,1905/4/17,Sculpture,
Judy Chicago,American,1939/7/20,Education||Literature||Others,Avant Garde Experimental
Allan Kaprow,American,1927/8/23,Collage||Painting||Performance,Avant Garde Experimental||Other
"Ronald ""Ron"" Davis",American,1905/4/20,Painting,Abstract
Ay?e Erkmen,Turkish,1949/1/1,Visual,
Isamu Noguchi,American||Japanese,1904/11/17,Architecture||Sculpture,Social Realism
Ralph Hotere,New Zealander,1931/8/11,Installation||Painting,Abstract
Marcel Janco,Jewish||Romanian||Israeli,1895/5/24,Architecture||Illustration||Painting||Sculpture||Theory||Visual,
Senga Nengudi,African-American,1943/9/18,Sculpture||Visual,Abstract
Antoni Tàpies i Puig,Spanish||Catalan,1923/12/13,Painting||Sculpture||Theory,Abstract||Avant Garde Experimental||Other
Keidō Fukushima,Japanese,1933/3/1,Calligraphy,
Alex Katz,American,1927/7/24,Others||Painting||Sculpture,Landscape||Portrait
Willi Baumeister,German,1889/1/22,Graphic Design||Painting||Performance,
Russ Warren,American,1951/12/29,Painting,Fantasy||Figurative
Jasper Johns,American,1930/5/15,Painting||Printmaking||Sculpture,
Vasiliy Ryabchenko,Ukrainian,1954/7/23,Graphic Design||Installation||Painting||Photography,Other||Still Life
Julian Opie,British,1905/5/11,Visual,Landscape||Portrait
Evelyne Axell,Belgian,1935/8/16,Painting,Erotic||Fantasy
Frank Bowling,British,1936/2/29,Painting,
Pierre Daura,Spanish,1896/2/21,Painting,Abstract
Roland Petersen,American,1905/4/9,Painting||Printmaking,Figurative
Carlos Botelho,Portuguese,1899/9/18,Graphic Design||Illustration||Painting,
John Currin,American,1905/5/15,Painting,Figurative
Leonor Fini,Argentinean,1908/8/30,Graphic Design||Illustration||Literature||Painting,Portrait||Surrealist
Kerry James Marshall,American,1955/10/17,Painting||Sculpture,
Navjot Altaf,Indian,,Digital Art||Drawing||Installation||MixedMedia||Painting||Photography||Sculpture||Social,
John Harvey McCracken,American,1934/12/9,Sculpture,
Oskar Schlemmer,German,1888/9/4,Graphic Design||Painting||Performance||Sculpture,
Marcel Barbeau,Canadian,1925/2/18,Collage||Drawing||Painting||Performance||Sculpture,Abstract
"Henry Joseph Darger, Jr.",American,1892/4/12,Literature||MixedMedia||Painting,Fantasy
Candido Portinari,Brazilian,1905/3/17,Painting,
"Robert L. Qualters, Jr.",American,1934/3/13,Installation||Painting||Printmaking,Figurative
Joseph Farquharson,Scottish,1846/5/4,Painting,Landscape
Lino Tagliapietra,Italian,1905/4/17,Decorative,
Agostino Bonalumi,Italian,1935/7/10,Drawing||Painting||Sculpture,Environmental
Alberto Giacometti,Swiss,1901/10/10,Drawing||Painting||Printmaking||Sculpture,Figurative
Baron Adolph de Meyer,German||Scottish,1868/9/1,Photography,Portrait
Maya Ying Lin,American,1959/10/5,Architecture||Environment||Graphic Design||Sculpture,Environmental||History
Richard Serra,United States,1939/11/2,Digital Art||Sculpture,Abstract
Telemaco Signorini,Italian,1835/8/18,Painting,Landscape
Jeremy Moon,British,1934/8/29,Painting,Abstract
Martín Chirino López,Spanish,1925/3/1,Sculpture,Abstract
Michelangelo Pistoletto,Italian,1933/6/25,Digital Art||Painting||Performance||Sculpture,Avant Garde Experimental||Conceptual||Portrait
Barkley L. Hendricks,American,1945/4/16,Painting||Photography,Landscape||Portrait
Albert Oehlen,German,1954/9/17,Music||Painting,Abstract||Figurative
Harmonia Rosales,American,1905/6/6,Painting,
"Lenore ""Lee"" Krassner",American,1908/10/27,Painting,Portrait||Still Life
Peter Doig,Scottish,1959/4/17,Painting,Figurative||Landscape
Anne Ryan,American,1905/3/3,Collage||Painting||Printmaking,
Allan McCollum,American,1944/8/4,Painting,
António Dacosta,Portuguese,1914/11/3,Literature||Painting||Theory,Surrealist
Nalini Malani,Indian,1905/4/29,Digital Art||Drawing||Film||Painting,
Antonietta Brandeis,Czech||Italian,1848/1/13,Painting,Genre||Landscape||Portrait||Religious
Ralston Crawford,American||Canadian,1906/9/5,Painting||Photography||Printmaking,Abstract||Landscape
Mary Corse,American,,Painting,Abstract
Adriana Varej?o,Brazilian,1964/11/11,Drawing||Installation||Painting||Photography||Sculpture,Portrait
Kara Elizabeth Walker,American,1969/11/26,Film||Installation||Others||Painting||Printmaking,
Henri Cartier-Bresson,French,1908/8/22,Painting||Photography,Film
Otto Gustaf Carlsund,Swedish,,Painting||Theory,Abstract
Josè Guerrero,Spanish,1914/10/29,Painting,Abstract
Roberto Sebastián Antonio Matta Echaurren,Chilean,1911/11/11,Painting,Abstract||Surrealist
Louise Nevelson,American||Russian||Jewish,1899/9/23,Sculpture,
Ana Mendieta,American||Cuban,1948/11/18,Digital Art||Painting||Performance||Sculpture,
Edward Joseph Ruscha IV,American,1937/12/16,Drawing||Film||Painting||Photography||Printmaking,
Claes Oldenburg,American||Swedish,1929/1/28,Sculpture,Sculpture||Social Realism
Patrick Heron,British,1920/1/30,Literature||Painting,Abstract||Figurative
Etel Adnan,Lebanese-American,1925/2/24,Literature||Painting||Visual,Abstract||Landscape
Arnold B?cklin,Swiss,1827/10/16,Painting,Fantasy||Mythological
Hanne Darboven,German,1941/4/29,Installation,Abstract
Sonya Rapoport,American||Jewish,1923/10/6,Digital Art||Painting,Abstract||Pop Art
Hiroshi Sugimoto,Japanese,1948/2/23,Architecture||Photography,
Leo Valledor,American||Filipino,1905/4/19,Painting,Abstract
Keith Allen Haring,American,1958/5/4,Conceptual||Digital Art||Painting||Performance,
Takashi Murakami,Japanese,1962/2/1,Digital Art||Fashion||Others||Painting||Sculpture,
Horace Pippin,United States,1988/2/22,Painting,History||Landscape||Narrative||Portrait||Religious
Jean Philippe Arthur Dubuffet,French,1901/7/31,Painting||Sculpture,
Hans Haacke,American||German,1936/8/12,Environment||Installation||Painting,Political
Corita Kent,American,1918/11/20,Education||Graphic Design||Others,
Isidore Isou,French,1925/1/31,Film||Literature||Science||Visual,Avant Garde Experimental
Samuel Bak,Lithuanian,1933/8/12,Literature||Painting,Abstract||Pop Art||Surrealist
Shirin Neshat,Iranian,1957/3/26,Digital Art||Film||Photography,
Aleksander Mikhailovich Rodchenko,Russian,1891/12/5,Graphic Design||Painting||Photography||Sculpture,
Mahmoud Farshchian,Iranian,1930/1/24,Painting||Sculpture,Other
Bracha Lichtenberg Ettinger,Israeli,1948/3/23,Drawing||Painting||Photography,
Tamara ?empicka||Tamara de Lempicka||Maria Górska,Polish,1898/5/16,Painting,Nude||Portrait
Michel Majerus,Luxembourgers,可以的可以的可以,Painting,
Carlos Orozco Romero,Mexican,1896/9/3,Graphic Design||Painting,
Gustav Metzger,Stateless,1926/4/10,Others,Avant Garde Experimental||Political
Fu Baoshi,Chinese,1905/3/18,Painting,Figurative||Landscape
Frank Eugene,American,1865/9/19,Drawing||Photography,
Sherrie Levine,American,1947/4/17,Conceptual||Painting||Photography,
John Hilliard,British,1905/4/28,Photography,Conceptual||Other
Naum Gabo,Russian,1890/8/5,Sculpture,Abstract
Jorge Pardo,Cuban-American,1905/5/16,Architecture||Graphic Design||Painting||Sculpture,
Jacqueline Lamba,French,1910/11/17,Drawing||Painting,
Philip Howard Francis Dixon Evergood,American,1905/3/15,Illustration||Literature||Painting||Printmaking||Sculpture,
Sir Antony Mark David Gormley,British,1950/8/30,Sculpture,
Audrey L. Flack,American,1931/5/30,Painting||Photography||Sculpture,Illustration
Camilla L?w,Norwegian,1905/5/29,Others,
,Hungarian,1921/5/26,Graphic Design||Painting,
Nicolae Tonitza,Romanian,1886/4/13,Others||Painting||Printmaking||Theory,
Romare Bearden,African-American,1911/9/2,Collage||Graphic Design||Literature||Painting,
Wu Guanzhong,Chinese,1919/8/29,Literature||Painting,Landscape
Rita Angus,New Zealander,1908/3/12,Painting,Landscape||Portrait
Michael Heizer,American,1905/4/27,Sculpture,
Méret Elisabeth Oppenheim,German||Swiss,1913/10/6,Conceptual||Photography,
Jacob Lawrence,African-American,1917/9/7,Painting,Avant Garde Experimental||History
Jean Hugo,,1894/11/19,Illustration||Literature||Painting||Performance,Architecture||Illustration||Sketch
Marino Marini,Italian,1901/2/27,Painting||Sculpture,Fantasy||Figurative||Nude||Portrait
Meta Vaux Warrick Fuller,African-American,1877/6/9,Literature||Painting||Sculpture,Cultural and Regional Themes
Edmund Charles Tarbell,American,1862/4/26,Painting,Portrait
Sir Peter Thomas Blake,British,1932/6/25,Graphic Design||Painting,
Georges Henri Rouault,French,1871/5/27,Drawing||Others||Painting,Landscape||Religious||Social Realism||Still Life
Lita Albuquerque,American,1905/4/29,Installation||Painting||Sculpture||Social,
Sheikh Mohammed Sultan||SM Sultan,Bengali,1923/8/10,Drawing||Painting,
Richard Ernst Eurich,British,1903/3/13,Painting,Landscape||Narrative
Maurizio Cattelan,Italian,1960/11/21,Sculpture,
Frederick Sommer,American,1905/9/7,Collage||Drawing||Photography,Abstract||Landscape||Nude||Still Life
Sam Gilliam,American,1933/11/30,Painting||Sculpture,Abstract
Glenn Brown,British,1905/5/19,Painting,
Isa Genzken,German,1948/11/27,Collage||Digital Art||Film||Installation||Photography||Sculpture,Architecture||Contemporary
Manuel Neri,American,1930/4/12,Ceramics||Sculpture,Figurative
Anita Catarina Malfatti,Brazilian,1889/12/2,Painting,
Arshile Gorky,Armenian-American,1904/4/15,Painting,
Jiro Yoshihara,Japanese,1905/1/1,Painting,Abstract||Surrealist
Graydon Parrish,,1970/4/3,Painting,Allegorical||Nude
Red Grooms,American,1937/6/7,Digital Art||Painting||Sculpture,Landscape
Alfred Otto Wolfgang Schulze,German,1913/5/27,Painting||Photography,Landscape||Portrait
Dan Christensen,American,1942/10/6,Painting,Abstract
Rainer Fetting,German,1949/12/31,Painting||Sculpture,Figurative||Landscape||Portrait
Robert Irwin,American,1928/9/12,Installation||Painting,
John Nelson Shanks,American,1937/12/23,Painting,Portrait
Jannis Kounellis,Greek||Italian,1936/3/23,Painting||Performance||Sculpture,
Joyce Kozloff,American,1942/12/14,Decorative||Painting,Avant Garde Experimental
Lynda Benglis,Greek||American,1941/10/25,Painting||Sculpture||Visual,Illustration||Political
Howardena Pindell,American,1943/4/4,MixedMedia||Painting,Abstract
Mark Tansey,American,1949/1/1,Painting,History
Nicola Perscheid,German,1864/12/3,Photography,Portrait
Luigi Veronesi,Italian,1908/5/28,Film||Graphic Design||Painting||Photography,Abstract
Lili Ilse Elvenes||Einar Magnus Andreas Wegener,Danish,1882/12/28,Painting,Landscape
Pushpamala N.,Indian,1905/5/9,Photography||Sculpture,Film||Illustration
Neo Rauch,German,1960/4/18,Painting,
Ellsworth Kelly,American,1923/5/31,Painting||Printmaking||Sculpture,
Frank Lobdell,American,1921/8/23,Drawing||Others||Painting,Abstract
Imi Knoebel,German,1940/3/1,Painting||Sculpture,
Karl Otto G?tz,German,1914/2/22,Drawing||Film||Literature||Painting||Printmaking,Abstract||Landscape||Surrealist
Harmony Hammond,American,1944/2/8,Painting||Sculpture,Abstract
Paul Allen Reed,American,1919/3/28,Graphic Design||Painting,Abstract
Wen-Ying Tsai,Chinese||American,1928/10/13,Conceptual||Sculpture,
Pat Lipsky,American,,Painting,Abstract
Giulio Paolini,Italian,1940/11/5,Painting||Photography,Abstract
Dominique Gonzalez-Foerster,French,1965/6/30,Digital Art||Environment||Film||Graphic Design||Installation||Literature||Photography,Abstract||Fantasy||Surrealist
Maria Pryimachenko,Ukrainian,1908/1/1,Ceramics||Drawing||Painting||Textile Art,Cultural and Regional Themes||Pop Art
Lorna Simpson,American,1960/8/13,Digital Art||Drawing||Film||Music||Painting||Photography||Sculpture,Abstract||Illustration
Gebre Kristos Desta||Gebrekristos Desta,Ethiopian,,Literature||Painting,Abstract||Religious
Giulio Cesare Andrea Evola,Italian,1898/5/19,Painting||Professional||Theory,
Agnes Bernice Martin,Canadian||American,1912/3/22,Painting,Abstract
Julian Rossi Ashton,English||Australian,1851/1/27,Education||Painting,
Ronald Bladen,American,1918/7/13,Painting||Sculpture,
Paula Rego,Portuguese,1935/1/26,Painting||Printmaking,
Alexander Bazhbeuk-Melikyan,Georgian,1891/9/11,Graphic Design||Painting||Sculpture,Fantasy||Figurative
Roy Fox Lichtenstein,American,1923/10/27,Painting,Fantasy||Narrative
Marisol Escobar,French-Venezuelan,1930/5/22,Sculpture,Political||Portrait
Ben Shahn,Lithuanian-American,1898/9/12,Painting,Abstract||Social Realism
Paul Feeley,American,1910/7/27,Painting,Abstract
William Eggleston,American,1939/7/27,Photography,
Luc Tuymans,Belgian,1958/1/1,Digital Art||Film||Painting,Figurative||History
Ivan Kenneth Eyre,Canadian,1935/4/15,Drawing||Painting||Sculpture,Abstract||Figurative||Landscape
Dan Flavin,American,1933/4/1,Installation||Sculpture,
Houria Niati,Algerian,1905/5/1,MixedMedia,
Marcel Broodthaers,Belgian,1924/1/28,Film||Literature||Others,Abstract||Avant Garde Experimental
Nicolas de Sta?l,French,1914/1/5,Collage||Illustration||Painting||Textile Art,Abstract||Landscape
Sigmar Polke,German,1941/2/13,Film||Painting||Performance||Photography,Abstract
Rodrigo Franz?o,Brazilian,1982/4/27,MixedMedia||Textile Art,Abstract
Mary Joan Jay DeFeo,,1929/3/31,Visual,
Lalla A. Essaydi,Moroccan,1905/5/9,Painting||Photography,
Varnette Patricia Honeywood,American,1950/12/27,Literature||Painting||Professional,Portrait
Sōen Nakagawa,Japanese,1907/3/19,Literature||Spiritual,Literature
Allan D'Arcangelo,American,1930/6/16,Painting||Printmaking,Cultural and Regional Themes||Other
Will Barnet,American,1911/5/25,Drawing||Painting||Printmaking,Abstract||Figurative||Portrait
Lothar Baumgarten,German,1905/4/27,Film||Installation,
Jürgen Partenheimer,German,1947/5/14,Drawing||Painting||Sculpture,Abstract
Willem van Genk,Dutch,1927/4/2,Graphic Design||Painting,Abstract||Landscape
"George Clair Tooker, Jr.",American,1920/8/5,Painting,Figurative
Takao Iijima,Japanese,1931/5/19,Painting||Performance,Abstract
Wolfgang Robert Paalen,German||Austrian||Mexican,1905/7/22,Painting||Sculpture||Theory,
Josephine Gail Baer,American,1929/8/7,Painting,
JonOne,French||American,1905/5/16,Conceptual||Painting,
Paul Cézanne,French,1839/1/19,Painting,
Agnes Lawrence Pelton,American||German,1905/2/23,Drawing||Painting,Abstract||Landscape||Portrait||Still Life
George Dawe,British,1781/2/6,Painting,Portrait
Ramon Casas i Carbó,Spanish||Catalan,1866/1/4,Graphic Design||Painting,Narrative||Portrait
Valentine Hugo,French,1905/3/1,Literature||Painting,Portrait
Thomas Girtin,British,1775/2/18,Painting||Printmaking,Environmental||Landscape
William James Glackens,American,1870/3/13,Illustration||Painting,Narrative
Hishida Shunsō,Japanese,1874/12/21,Painting,Animal||Cultural and Regional Themes
Thomas Stuart Smith,Scottish||British,1904/12/19,Painting,Portrait
Helen Beatrix Potter,British,1866/7/28,Illustration||Literature||Others||Science,Illustration
Rembrandt Peale,American,1778/2/20,Painting,Portrait
Ivan Grohar,Slovenian,1867/6/15,Music||Painting,Landscape||Portrait
Victor Elpidiforovich Borisov-Musatov,Russian,1870/4/14,Painting,Other||Pop Art
Louis Comfort Tiffany,American,1848/2/18,Decorative,
Jean-édouard Vuillard,French,1868/11/11,Painting||Printmaking,Architecture||Environmental||Nature and Botanical
Mstislav Valerianovich Dobuzhinsky,Russian||Lithuanian,1875/8/14,Illustration||Painting||Performance,Landscape
David Garshen Bomberg,British,1890/12/5,Painting,Landscape||Portrait
Samuel Finley Breese Morse,American,1791/4/27,Painting,Portrait
Silvestro Lega,Italian,1826/12/8,Painting,Landscape
"James Francis ""Frank"" Hurley",Australian,1885/10/15,Photography,
Albert Marquet,French,1875/3/27,Painting,Landscape||Portrait
Niko Pirosmani,Georgian,1905/2/4,Painting,Animal||Landscape||Portrait
Constant Permeke,Flemish,1886/7/31,Painting||Sculpture,
Giuseppe Pellizza da Volpedo,Italian,1868/7/28,Painting,Other
Nandalal Bose,Indian,1882/12/3,Painting,Environmental||Mythological||Narrative||Political
Henryk Berlewi,French||Polish||Jewish,1894/10/20,Graphic Design||Painting,Abstract||Portrait
Paul Delaroche,French,1797/7/17,Painting,History||Religious
Alice Boughton,American,1866/5/14,Photography,Landscape||Nude||Portrait
Katsushika Hokusai,Japanese,1760/10/31,Painting||Printmaking,
Odilon Redon,French,1840/4/20,Drawing||Painting||Printmaking,
Maurice Utrillo,French,1883/12/26,Painting,Landscape
André Derain,French,1880/6/10,Painting||Sculpture,
Kay Rasmus Nielsen,Danish,1886/3/12,Illustration,Fantasy||Illustration
John Frederick Lewis,British,1804/7/14,Painting||Printmaking,Cultural and Regional Themes||Genre
Franz Stuck,German,1863/2/24,Architecture||Painting||Printmaking||Sculpture,Mythological
Henryk Hektor Siemiradzki,Polish,1843/11/15,Painting,History||Landscape||Portrait
John William Waterhouse,British,1849/4/6,Painting,
Jean Fautrier,French,1898/5/16,Illustration||Painting||Printmaking||Sculpture,Abstract||Landscape||Nude||Still Life
Charles Willson Peale,American,1741/4/15,Others||Painting,Portrait
Adolf Hirémy-Hirschl,Hungarian,1860/1/31,Painting,History||Mythological
István Farkas,Hungarian,1887/10/20,Painting||Social,
William Collins,British,1788/9/8,Painting,Genre||Landscape
William Hart,American,1823/3/31,Painting,Animal||Landscape
émilie Charmy,French,1878/4/2,Painting,Figurative||Landscape||Portrait||Still Life
Roberto Montenegro Nervo,Mexican,1885/2/19,Illustration||Others||Painting||Social,Portrait
Rosa Bonheur,French,1822/3/16,Painting||Sculpture,Animal
Richard Gerstl,Austrian,1883/9/14,Drawing||Painting,Portrait
Edward Alexander Wadsworth,British,1889/10/29,Painting||Printmaking,Abstract||Landscape||Portrait||Still Life
David Cox,British,1783/4/29,Painting,Landscape
Utagawa Kuniyoshi,Japanese,1798/1/1,Others||Painting,Landscape||Mythological||Portrait
Thomas Hill,American,1829/9/11,Painting,Landscape
John Gibson,British,1790/6/19,Sculpture,Portrait||Sculpture
Sir Stanley Spencer,British,1891/6/30,Painting,Landscape||Religious
Nicolae Vermont,Jewish||Romanian,1866/10/10,Graphic Design||Others||Painting,Other
Pavel Andreyevich Fedotov,Russian,1815/6/22,Painting,Narrative||Portrait
Newell Convers Wyeth,American,1882/10/22,Illustration||Painting,Other
Richard Caton Woodville,American,1825/4/30,Painting,Architecture
Tomioka Tessai,Japanese,1837/1/27,Calligraphy||Painting,History||Landscape||Literature
Lilla Cabot Perry,American,1848/1/13,Painting,Landscape||Portrait
Florine Stettheimer,American,1871/8/29,Graphic Design||Literature||Painting,
Vadym Meller,Ukrainian,1884/4/15,Architecture||Graphic Design||Illustration||Painting,Illustration
Louise Abbéma,French,1853/10/30,Graphic Design||Literature||Painting||Printmaking||Sculpture,Nature and Botanical||Portrait
George Benjamin Luks,American,1867/8/13,Graphic Design||Illustration||Painting,Genre
Lotz Károly Antal Pál,German||Hungarian,1833/12/16,Painting,Architecture||Nude||Other||Portrait
"Thomas William ""Tom"" Roberts",Australian,1856/3/9,Others||Painting,Landscape||Narrative||Portrait
Walter Crane,British,1845/8/15,Ceramics||Decorative||Illustration||Painting,Illustration
Edwin Austin Abbey,American,1852/4/1,Illustration||Others||Painting,Cultural and Regional Themes||Literature
Robert Carpenter Spencer,American,1879/12/1,Painting,Architecture||Social Realism
Giorgio de Chirico,Italian,1888/7/10,Literature||Painting,Abstract
Alexandre Nikolayevich Benois,Russian,1870/5/3,Graphic Design||Others||Theory,Illustration
José María Velasco,Mexican,1840/7/2,Environment||Painting,Landscape||Political
Hilma af Klint,Swedish,1862/10/26,Painting,Abstract||Landscape||Portrait
Jean-Auguste-Dominique Ingres,French,1780/8/29,Painting,Portrait
Ethel Carrick,British||Australian,1872/2/7,Painting||Printmaking,Landscape||Nature and Botanical
Alexander Helwig Wyant,American,1836/1/11,Painting,Landscape
Nasreddine Dinet,French,1861/3/28,Painting||Translation,Genre||Religious
élisabeth Louise Vigée Le Brun,French,1755/4/16,Painting,Portrait
Alfred émile Léopold Stevens,Belgian,1823/5/11,Painting,Genre
Hale Aspacio Woodruff,American,1900/8/26,Others||Painting||Printmaking,
Eduard Theodor Ritter von Grützner,German,1846/5/26,Painting,Genre
Peder Severin Kr?yer,Danish,1851/7/23,Painting,
Mary Stevenson Cassatt,American,1844/5/22,Painting||Printmaking,Figurative||Social Realism
Marsden Hartley,American,1877/1/4,Literature||Painting,Abstract
Paul Gustave Louis Christophe Doré,French,1832/1/6,Graphic Design||Illustration||Printmaking||Sculpture,
Leon Dabo,French||American,1864/7/9,Painting||Sculpture,Landscape
Thomas Wilmer Dewing,American,1851/5/4,Painting,Environmental
Kanae Yamamoto,Japanese,1882/10/24,Painting||Printmaking,
Edmund Dulac,French||British,1882/10/22,Graphic Design||Illustration||Painting,
Francis Joseph O'Meara,Irish,1853/3/30,Painting,Landscape
Hasui Kawase,Japanese,1883/5/18,Painting||Printmaking,Landscape
Knut Magnus Enckell,Finnish,1870/11/9,Painting,Symbolic
Charles Ephraim Burchfield,American,1893/4/9,Painting,Environmental||Landscape
William Michael Harnett,American||Irish,1848/8/10,Painting,Still Life
