institution_name,institution_type,parent_organization,leadership,institution_country,institution_city,research_diseases,research_fields,key_technologies,key_achievements,international_collaboration,funding_sources,technology_application,id
Epidemiology and Public Health (EPH) group||School of Community Health Sciences||University of Nottingham,university-affiliated,University of Nottingham,Richard Logan||Joe West,UK,Nottingham,coeliac disease||inflammatory bowel disease||gastrointestinal infection,epidemiology||clinical_research||public_health,large database analysis||systematic reviews||meta-analysis||randomised controlled trials,quantified mortality risk in coeliac disease||demonstrated 1% prevalence of coeliac disease in the UK||shown malignancy risk in coeliac disease is far lower than previously thought||identified 50-60% reduction in breast cancer risk in coeliac disease,,government grant||other,,257278
National Cancer Institute (NCI),public,National Institutes of Health (NIH),John Niederhuber||John Weinstein,USA,,cancer||stomach cancer,genomics||oncology||bioinformatics,molecular profiling||microarray analysis,NCI-60 cancer cell line panel||discovery of ASNS as biomarker,,,personalized anticancer strategies,543709
University of Kansas Cancer Center,public||university-affiliated,University of Kansas,"Abdulraheem Yacoub, MD||Roy Jensen, MD",USA,Kansas City,essential thrombocytosis||polycythemia vera||primary myelofibrosis||chronic myeloid leukemia||systemic mastocytosis||myeloproliferative neoplasms,oncology||clinical_research,clinical trials||stem cell transplant,founding member of MPN Research Consortium||clinical trial options for every patient,MPN Research Consortium,government grant,clinical trial participation for MPN patients||stem cell transplant for curative therapy,121919
Metropolia University of Applied Sciences||Koite Health||University of Helsinki,university-affiliated||private,,Timo Sorsa||Tommi Pätilä||Sakari Nikinmaa,Finland,Helsinki,Gingivitis||Periodontitis,clinical_research||microbiology,Lumoral device||antibacterial photodynamic treatment (aPDT)||antibacterial blue light (aBL),Significant reduction of gingivitis in clinical study,,,At-home dental hygiene improvement for gingivitis and periodontitis,97322
Dana-Farber/Boston Children's Cancer and Blood Disorders Center,,,,,,Chronic Granulomatous Disease (CGD),clinical_research,gene therapy,,,,gene therapy clinical trial for CGD,597779
Longevity Complementary Care Center,,,Dr. Marnae Ergil,USA,Macedon,eczema,,Chinese herbal medicine,,,,,472966
Medical University of South Carolina,university-affiliated,,Dr. Eyad Almallouhi,USA,Charleston,Serotonin Syndrome,clinical_research||neuroscience,Electroencephalogram (EEG)||Magnetic Resonance Imaging (MRI),First case to report new onset focal clinical seizures with evidence of focal abnormality on EEG in the setting of serotonin syndrome,,,,142179
"Cardiovascular Centre of the University of Lisbon (CCUL)||Lisbon School of Medicine, Universidade de Lisboa||Santa Maria University Hospital _ CHULN EPE||Nuclear Medicine Institute of Lisbon School of Medicine||Centro Hospitalar Universitário Lisboa Norte",university-affiliated,Universidade de Lisboa,"Azevedo Coutinho, Conceição, MD PhD||Cantinho, Guilhermina, MD||Conceição, Isabel, MD",Portugal,Lisbon,Familial Amyloid Polyneuropathy (FAP)||cardiac TTR amyloidosis||Transthyretin V30M (TTR-V30M) amyloidosis,clinical_research||medical_imaging||neuroscience,"99mTc-3,3-diphosphono-1,2-propanodicarboxylic acid (DPD) scintigraphy||cardiac ultrasound tests (2D, M Mode, Doppler, Tissue Doppler, Strain and Strain Rate Imaging, Speckle tracking, 4D)||Nuclear Cardiology",Largest cohort data on TTR-V30M amyloidosis||Best Cardiology Work award competitor||International award of the American Society of Nuclear Cardiology Congress,Columbia University College of Physicians and Surgeons||Columbia Presbyterian Medical Center,philanthropy,early diagnosis of cardiac TTR amyloidosis using DPD scintigraphy,440594
Baystate Children__ Hospital Pediatric Sleep Medicine Program||Baystate Regional Sleep Program,,Baystate Health,,,,nightmares||night terrors||bedwetting||insomnia||obstructive sleep apnea,clinical_research,sleep study||polysomnogram,"only facility in the western Massachusetts region to offer hospital-based, pediatric sleep studies||only one to offer sleep studies for babies and children under age three",,,diagnosis and treatment of pediatric sleep problems,645029
AHN Institute for Pain Medicine,public,Allegheny Health Network,"Jack Kabazie, MD || Till J. Conermann, MD",USA,Pittsburgh,Opioid Use Disorder || chronic pain,clinical_research || public_health,,,,industry grant,Enhanced Pain Management Program,568631
