,disease_name,disease_type,pathogenesis,etiology,diagnostic_methods,common_symptoms,complications,affected_organs,treatments,drugs,prognosis,sequelae,epidemiology,risk_factors,preventive_measures,diagnosis_challenges,treatment_challenges,quality_of_life_impact,id
63,Acute Bacterial Prostatitis,infectious||inflammatory,infectious_bacterial||inflammatory,bacteria based in the large intestines or urinary tract,,fever||chills||body aches||back pains||urination problems,,prostate gland||urinary tract,oral_medication,antibiotics||non-steroid anti-inflammatory drugs (NSAIDs),,,least common of most kinds of prostate infection,,,,,,353
64,Secondary Peritonitis,inflammatory,inflammatory,,,,sepsis||multiple organ failure,abdominal wall||intra-abdominal organs,surgery,,high_mortality,,high rate of death (20-60 percent),,,,,,356
65,Opioid Use Disorder,,,,,,,,oral_medication||injection,methadone||buprenorphine||naltrexone,,,,,,,,,362
66,Essential Hypertension,,,,,,,heart||brain||arteries||vascular,dietary_intervention,Ginkgo biloba,stable,,,,lifestyle_modification,,,,363
67,Huntington's disease||Huntington's Chorea,genetic||degenerative||psychiatric,genetic_mutation||degenerative,genetic disorder||abnormal CAG repeats in gene,,movement disorders||behavioral changes||psychiatric disorders||low movements of eye||muscle stress||communication difficulties||loss of confidence||difficulty with simple tasks||change in attitude||loss of interest||loss of sexual desire||learning difficulties||sadness||forced smile||loss of energy||fatigue,,brain||basal ganglia||cortex||striatum||caudate nuclei||pallidium,oral_medication||lifestyle_modification,Tetrabenazine||Antipsychotic drugs||Antidepressants||Mood-stabilizing drugs,incurable||progressive||quality_of_life_impairment,,affects both men and women equally||most common in middle age||only in 7% cases starts before age 21||most common in western Europe||also in Australia and North America||rare in Asia,family_history||genetic_predisposition||age||social_isolation,lifestyle_modification||socialization,,incurable||no proper cure,emotional_distress||mental_impact||social_isolation||economic_burden||quality_of_life_decline,364
68,Heart Murmur,,,,clinical_evaluation,chest pain||faintness||fainting||dizziness||palpitations||leg swelling||weakness||fatigue||shortness of breath during exertion,,,oral_medication||surgery,blood thinners,,,,,,,,,380
69,Charcot Neuropathic Osteoarthropathy,metabolic||degenerative||inflammatory||traumatic||vascular||idiopathic,metabolic_disorder||inflammatory||degenerative||traumatic||vascular||idiopathic,diabetes mellitus||sensory-motor neuropathy||autonomic neuropathy||trauma||metabolic abnormalities of bone||idiopathic neuropathy||alcoholism||rheumatoid arthritis,clinical_evaluation||imaging||biopsy||laboratory_test,swollen foot||warm foot||erythema||pain||increased foot size||oedema||hyperthermia||reduced sensation||pallanaesthesia,bone destruction||subluxation||dislocation||deformity||ulcer||superinfection||amputation||multiorgan dysfunction syndrome||death,foot||ankle||bone||joints||ligaments||tendons,physical_therapy||surgery||lifestyle_modification||others,amoxicillin||clavulanic acid||piperacillin||tazobactam||cefazolin||diuretics,high_mortality||disability||progressive||quality_of_life_impairment||variable,deformity||amputation||mobility impairment,more common in diabetes mellitus patients||elderly||male||western world,diabetes||chronic_disease||age||trauma||neuropathy||alcohol_consumption||rheumatoid arthritis,early_detection||lifestyle_modification||health_education,nonspecific symptoms||disease mimics||lack of early biomarkers,poor adherence||lack of effective pharmacologic therapy||risk of relapse||comorbidities||surgical risk,mobility_impairment||chronic_pain||self_care_difficulty||quality_of_life_decline||work_disability,381
70,HIV-1 Infection,infectious,infectious_viral,,laboratory_test,,,,oral_medication,Raltegravir||Nucleoside/Nucleotide reverse transcriptase inhibitor||TDF/FTC||ABC/3TC||TAF/FTC,,,,,,,,quality_of_life_decline,385
71,Celiac Disease,genetic||autoimmune,genetic_mutation||autoimmune,genetic predisposition||gluten ingestion,clinical_evaluation,headache||stomachache||fatigue||swelling||bruising in the gut||trouble digesting food||diarrhea||bloating||indigestion||difficulties breathing||difficulty swallowing||difficulty moving arms or legs,,gut,dietary_intervention||oral_medication,anti-inflammatory medication,,,as many as thirty-five percent of the population,genetic_predisposition,dietary_management,nonspecific symptoms||disease mimics,,dietary_restriction||fatigue||quality_of_life_decline,1909
72,Rabies,infectious||inflammatory,infectious_viral||inflammatory,viral infection||dog bite,laboratory_test||clinical_evaluation,hydrophobia||fever||headache||sore throat||pain while drinking water,encephalitis||death||severe neurological complications,brain||nervous system,injection,anti-rabies vaccines||immunoglobulins,high_mortality||severe neurological complications,severe neurological complications,"35 cases with 33 deaths in Sarawak since July 1, 2017||two surviving cases are children",infection||dog bite||lack of wound treatment,vaccination||personal_hygiene,,,severe neurological complications,392
73,Human African Trypanosomiasis (Sleeping Sickness),infectious||parasitic,infectious_parasitic,Trypanosoma brucei gambiense infection||Trypanosoma brucei rhodesiense infection,,fever||headaches||joint pains||itching||disruption of sleep/wake patterns,deterioration in neurological function||death,blood||lymph||subcutaneous tissues||central nervous system,oral_medication||injection,pafuramidine||pentamidine,progressive||high_mortality,,T.b. gambiense is found in 24 countries in west and central Africa and currently accounts for over 98% of reported cases of sleeping sickness,infection,,,limited treatment options,sleep_disorders,393
74,Diabetic Peripheral Neuropathy,metabolic||vascular,metabolic_disorder||vascular,diabetes,clinical_evaluation||screening,neuropathic pain,,peripheral nervous system,oral_medication||physical_therapy,amitriptyline||tramadol||mexiletine||gabapentin||phenytoin||carbamazepine||nortriptyline||imipramine||pregabalin||duloxetine||venlafaxine||valproate||capsaicin||morphine sulfate||Cymbalta||Elavil||Tramadol||Neurontin||prostaglandin E1||methylcobalamin||lipoic acid,chronic_condition,,more common in diabetes patients||10% prevalence depending on screening,diabetes,,,side effects,chronic_pain,401
75,Crohn's disease,inflammatory,inflammatory,,,diarrhea||stomach pain||cramps||fatigue||bloody stools||mouth sores||weight loss||joint pain||back pain||changes in vision||fever,,intestines||joints||back||mouth||eyes,oral_medication,steroids,chronic_condition||remission_possible,,,,,,side effects||poor adherence||withdrawal symptoms,fatigue||chronic_pain||dietary_restriction||quality_of_life_decline,1890
76,Osteoarthritis,,,,,,,joints,,calcitonin,,,,,,,,,959
77,Advanced Breast Cancer,neoplastic,,,,hot flashes||nausea||asthenia||pain||headache||back pain||bone pain||increased cough||dyspnea||pharyngitis||peripheral edema,,breast,oral_medication,anastrozole,,,,,,,side effects,,417
78,Alzheimer's Disease,degenerative,degenerative,genetic||physical||environmental,clinical_evaluation,short term memory impairment||word finding problems||direction finding problems||repetitive questions||difficulty managing familiar tasks,,medial temporal lobes||brain,oral_medication,cognitive enhancers||anti-depressants,chronic_condition||progressive||quality_of_life_impairment,,Over 44 million people worldwide||new case every four seconds||symptoms first appear in mid-sixties,age||genetic_predisposition||environmental_exposure||physical,,lack of simple diagnostic test||brain pathology starts decades before symptoms,no cure,self_care_difficulty||dependence_on_others||anxiety||quality_of_life_decline,1567
79,Cancer,neoplastic,neoplastic,,,,bloodstream infections,,chemotherapy,Dronabinol||Nabilone,high_mortality,,,,,,,quality_of_life_decline,419
80,Sinus Migraine,inflammatory||idiopathic||others,inflammatory||idiopathic||other,,clinical_evaluation,nasal congestion||tearing of the eyes||runny nose||ear pain||ear pressure||dizziness||head pain||nausea||light sensitivity||sound sensitivity||smell sensitivity||pressure across the forehead||pain behind the eyes||pain behind the nose||pain beneath the cheeks,,sinuses||nervous system||trigeminal nerve||autonomic nervous system,oral_medication,triptans,,,most common in middle aged women||worsen with menopause,family_history||age||gender,,disease mimics||nonspecific symptoms,poor response to standard sinusitis treatments,,453
81,Major Depressive Disorder,psychiatric,other,injury||chronic pain||financial hardship||family strife||belief that return to employment is improbable,clinical_evaluation,depressed mood||irritability||forgetfulness||impatience||lethargy||neglect self-care||complain bitterly,recurrence,,psychotherapy||oral_medication,anti-depressant medication,high_recurrence_risk,,5%-9% of women||2%-3% of men,injury||chronic pain||financial hardship||family strife,,denial of need for care||dismissal of diagnosis||ridicule of need for care,poor adherence||discontinuation of medication||self-adjustment of dosage,burdensome to family||irritability||forgetfulness||impatience||lethargy||neglect self-care,1796
82,Peripheral Arterial Disease||Atherosclerotic Peripheral Arterial Disease||Arm Artery Disease||Circulation Problems||Leg Artery Disease,vascular||degenerative,vascular||degenerative,atherosclerosis||smoking||diabetes||high blood cholesterol||high blood pressure,clinical_evaluation||screening||laboratory_test||imaging||functional_test,intermittent claudication||pain when walking||pain when climbing stairs||pain||numbness||aching||heaviness in muscles||cramping in legs||cramping in thighs||cramping in calves||cramping in feet||weak pulse in legs||absent pulse in legs||sores on toes||sores on feet||sores on legs||slow wound healing||poor wound healing||color changes in skin||paleness||cyanosis||decreased temperature in one leg||poor nail growth||decreased hair growth on toes||decreased hair growth on legs||erectile dysfunction,heart attack||heart disease||stroke||kidney failure||gangrene||chronic limb ischemia||ulcers||tissue death,arteries||legs||feet||toes||limbs||muscles||skin,lifestyle_modification||oral_medication||surgery||others,lovastatin||simvastatin||pravastatin||fluvastatin||atorvastatin||ezetimibe||gemfibrozil||clopidogrel||aspirin||pentoxifylline||cilostazol||ACE inhibitors||ARBs||beta-blockers||diuretics||calcium channel blockers,chronic_condition||disability||quality_of_life_impairment||progressive,chronic pain||mobility impairment||ulcers||tissue death||gangrene,8 to 12 million in US||5 percent of US adults over 50||12 to 20 percent of adults over 65,smoking||diabetes||kidney disease||hypertension||hyperlipidemia||heart disease||family_history||age,lifestyle_modification||screening||dietary_management||regular_exercise||early_detection,asymptomatic||nonspecific symptoms,poor adherence||progression despite treatment,mobility_impairment||chronic_pain||quality_of_life_decline,467
83,Cystoid Macular Edema,inflammatory,inflammatory||autoimmune||vascular,uveitis,imaging||clinical_evaluation,reduced vision,glaucoma||optic nerve involvement||vitreous opacification||cataract formation,retina||macula||eye,oral_medication||injection||surgery,prednisone||dexamethasone||fluocinolone acetonide||triamcinolone acetonide||acetazolamide||octreotide||bevacizumab||mycophenolate mofetil||methotrexate||bromfenac||ketorolac tromethamine,chronic_condition||remission_possible||high_recurrence_risk||quality_of_life_impairment||variable,macular atrophy||permanent structural changes,The estimated annual incidence of uveitis is 17—52 cases perUveitis is predominately a disease of adults between 20 and 60 years.,smoking,,no way of differentiating treatment-induced disease quiescence from spontaneous disease remission,treatment remains challenging||side effects||prolonged costly treatment||no clear silver bullet for therapy,quality_of_life_decline,476
84,Preeclampsia,vascular||inflammatory||idiopathic,vascular||inflammatory||idiopathic,blood vessel issues||genetic factors||autoimmune disorders||insufficient blood flow into the uterus,clinical_evaluation||laboratory_test,high blood pressure||proteinuria||swelling of feet||swelling of hands||edema||headache||abdominal pain||reduced urination,eclampsia||seizures||stroke||severe bleeding||HELLP syndrome||death,placenta||liver||kidney,oral_medication||injection||lifestyle_modification||dietary_intervention,antihypertensives||anticonvulsants,variable||high_mortality,,close to 5% of pregnant women get preeclampsia,family_history||chronic_disease||age||multiple_fetuses||short_intervals_between_births||obesity||in vitro fertilization||hypertension||kidney_disorders||diabetes||migraines||lupus||blood_clots||new_paternity,lifestyle_modification||dietary_management,nonspecific symptoms||lack of early biomarkers,no definitive treatment||cannot be treated till delivery,,487
85,Acute Intermittent Porphyria,genetic||metabolic,genetic_mutation||metabolic_disorder,"HMBS gene mutation||deficiency of porphobilinogen deaminase||triggers (certain drugs, alcohol, fasting, stress, infections, hormonal factors)",laboratory_test||genetic_testing||clinical_evaluation,abdominal pain||vomiting||hypertension||tachycardia||nausea||constipation||diarrhoea||abdominal distension||cardiac arrhythmias||urinary retention||numbness||tingling||burning sensations||motor impairment||respiratory failure||seizures||irritability||depression||anxiety||insomnia||hallucinations||paranoia||disorientation||altered consciousness||weakness,depression||anxiety||hepatocellular carcinoma||renal dysfunction||recurrent acute attacks||permanent neurological damage||death,liver||nervous system||kidneys,injection||oral_medication||dietary_intervention||lifestyle_modification||surgery,haemin||panhaematin||haem arginate||dextrose||cimetidine||phenothiazine drugs||ondansetron||gabapentin||benzodiazepines||beta-blockers||angiotensin-converting enzyme inhibitors||calcium channel blockers||antidepressants||oral contraceptives||gonadotropin-releasing hormone analogues||leuprolide||paracetamol||pantoprazole||itopride||sucrose aqua gel||cremaffin||glycerin enema,variable||full_recovery||high_recurrence_risk||asymptomatic,permanent neurological damage||renal dysfunction||hepatocellular carcinoma||depression||anxiety,"1 per 500–50,000 people||more common in women (1.5 to 2:1)||rare before puberty||typical age 18-40||prevalence in Europe 5.9 per million",genetic_predisposition||gender||age||alcohol_consumption||stress||infection||exposure_to_toxins||other,lifestyle_modification||dietary_management||health_education||early_detection,nonspecific symptoms||disease mimics||delayed diagnosis,high_recurrence_risk||need to avoid triggers||delayed treatment,mobility_impairment||chronic_pain||anxiety||depression||dietary_restriction||dependence_on_others||quality_of_life_decline,489
86,Psoriatic Arthritis||PsA,autoimmune||inflammatory,autoimmune||inflammatory,immune system overactivity||psoriasis,clinical_evaluation||laboratory_test||imaging||screening,joint stiffness||joint pain||joint swelling||fatigue,cardiovascular disease||metabolic syndrome||atherosclerosis||hyperlipidemia||hypertension||type 2 diabetes||gout||hyperuricemia||endothelial dysfunction||heart failure||depression||anxiety,joints||skin||cardiovascular system||blood vessels,oral_medication||injection||lifestyle_modification||dietary_intervention,TNF inhibitors||apremilast||NSAIDs||steroids||statins||aspirin,chronic_condition||quality_of_life_impairment||variable,,"risk of cardiovascular disease is as much as 43 percent higher than that of people without PsA||Out of 283 people with psoriatic arthritis, 44 percent had metabolic syndrome",obesity||overweight||hypertension||hyperlipidemia||diabetes||smoking||chronic_disease||unhealthy_diet||sedentary_lifestyle,lifestyle_modification||dietary_management||regular_exercise||screening,nonspecific symptoms||symptom attribution to PsA,side effects||cardiovascular risk of some drugs,chronic_pain||fatigue||work_disability||quality_of_life_decline,490
87,Bell's palsy,idiopathic||inflammatory||infectious_viral,infectious_viral||inflammatory||idiopathic,reactivation of latent herpes simplex virus||reactivation of varicella zoster virus||unknown cause,imaging||clinical_evaluation||laboratory_test||functional_test,acute peripheral facial paralysis||facial weakness,permanent facial weakness||severe corneal damage||disfiguring||social isolation||psychological morbidity||debilitating,facial nerve,oral_medication||injection,prednisone||methylprednisolone||acyclovir||famciclovir||valacyclovir||Famvir,full_recovery||partial_recovery||variable,permanent facial weakness,"annual incidence of 20 to 30 cases per 100,000 persons",age||diabetes||hypertension,,,no established treatment for nonrecovering cases,disfiguring||social_isolation||psychological_morbidity||debilitating,491
88,Sarcopenia,degenerative||nutritional||endocrine||inflammatory,degenerative||nutritional_deficiency||endocrine_disorder||inflammatory,lack of physical activity||poor diet||questionable lifestyle vices||systemic inflammatory disorders||decreased growth hormone levels||significant underlying medical problem,clinical_evaluation||functional_test||imaging,decline in muscle mass||decline in muscle strength||decline in muscle function||bone fractures||difficulty standing||difficulty walking||body pains||balance maintenance issues||diminished life span||fear of injury||reluctance to venture away from home||isolation||avoidance||anxiety||depression||difficulty caring for self||difficulty driving||difficulty shopping||difficulty bathing||difficulty dressing||difficulty completing household chores,bone fractures||diminished life span||other serious illnesses||premature death||mental health problems||anxiety||depression||isolation||avoidance,muscles,physical_therapy||lifestyle_modification||dietary_intervention||oral_medication,HGH,partial_recovery||chronic_condition||progressive||quality_of_life_impairment||variable,,one in three adults aged 60 and over||can occur in younger individuals,age||sedentary_lifestyle||unhealthy_diet||chronic_disease||endocrine_disorder||other,lifestyle_modification||regular_exercise||dietary_management,nonspecific symptoms||mistaken for normal aging,,mobility_impairment||chronic_pain||anxiety||depression||social_isolation||self_care_difficulty||dependence_on_others||quality_of_life_decline,492
89,Advanced Non-Small Cell Lung Cancer||advanced non-small–cell lung cancers||NSCLC||non-small cell lung cancer||non-squamous NSCLCs||squamous NSCLCs,neoplastic||inflammatory,neoplastic||inflammatory,,clinical_evaluation||laboratory_test||imaging,,,lungs||bone,injection||chemotherapy||immunotherapy,nivolumab||docetaxel,high_mortality||variable||progressive||quality_of_life_impairment,,more common in older adults||median age 59.5-62 years||more common in non-squamous histology among long responders,age||smoking,,,only a minority benefit from immunotherapy||high cost||identifying responders is critical,quality_of_life_decline,493
90,Peritonitis,infectious||inflammatory,infectious_bacterial||inflammatory,Staphylococcus aureus||Ewingella americana||disruption of the peritoneum||catheterization||hospital water sources,clinical_evaluation||laboratory_test,generalized abdominal pain||decreased appetite||left chest pain||pressure||tenderness||positive rebound,,peritoneum||abdomen,injection,vancomycin||amikacin||tobramycin||ceftazidime||cefepime||aztreonam||imipenem||gentamicin||ciprofloxacin||piperacillin||tazobactam||levofloxacin,,,,chronic_disease||catheterization||infection||hospital_environment,,,,,509
91,Atrial Fibrillation,vascular||degenerative,vascular,,,,stroke||death||serious disability,heart||brain,oral_medication,aspirin||warfarin,disability||high_mortality||quality_of_life_impairment,,"about 80,000 strokes a year||fivefold increased stroke risk",age,prophylactic_medication,,,,1924
92,Primary Biliary Cholangitis,,,,laboratory_test||imaging||biopsy,itch,,liver,oral_medication,URSO,,,,,,nonspecific_symptoms||biopsy_inaccuracy,only_one_drug_available,dietary_restriction,515
93,Drug Resistant Tuberculosis (DR TB),infectious,infectious_bacterial,drug resistance||bacterial infection,laboratory_test||clinical_evaluation,cough||weakness,,lungs,oral_medication,Rifampicine,full_recovery||high_mortality,,558000 cases worldwide in 2017||82% MDR-TB among RR-TB||8.5% XDR-TB among MDR-TB||741 DR-TB cases in Ethiopia in 2018,,,,drug resistance||poor response to first-line drugs,stigma||work_disability||financial_burden||quality_of_life_decline,519
94,Sinus Infection,,,,,Yellow drainage||jaw pain||tooth pain||sensitivity to cold fluids,,,oral_medication,antibiotic,,,,,,,,,521
95,Premenstrual Syndrome,,,,,,,,,vitamin B6,,,,,,,,,544
96,Hypertension,vascular,vascular,high salt intake||electrolyte imbalance||low potassium intake,,,cardiovascular problems,heart||blood vessels,lifestyle_modification||dietary_intervention,,,,,unhealthy_diet||high_salt_intake||low_potassium_intake,lifestyle_modification||dietary_management,,poor adherence,,583
97,Gut Microbiome Imbalance,iatrogenic||infectious||nutritional||others,iatrogenic||infectious_bacterial||nutritional_deficiency||other,medication use||antibiotics||lack of exposure to germs and bacteria,clinical_evaluation,bloating||gas||diarrhoea||stomach pain||nausea,,gut,lifestyle_modification||dietary_intervention,antibiotics,full_recovery||chronic_condition,,,medication use||antibiotics||lack of exposure to germs and bacteria,lifestyle_modification||dietary_management,,,,564
98,Benign Prostatic Hypertrophy (BPH),,,,,increased urinary frequency,,prostate||urethra,oral_medication||surgery,Alpha-blockers||5-alpha-reductase inhibitors,,,about half of all men by age 60||almost all men by age 80,age,prophylactic_medication||screening,,,,566
99,Leptospirosis,infectious,infectious_bacterial,"Infected animals spread the disease through their urine. Places that attract large numbers of dogs and humans, like dog parks, tend to serve as the epicenter for infection. Contaminated water is the most common means of exposure, but contact with infected food or soil can also transmit lepto. Since the bacteria can live in the environment for months, you will need to keep prevention measures in mind even after the epidemic slows down.",clinical_evaluation||laboratory_test,vomiting||fever||abdominal tenderness||diarrhea||diminished appetite||physical weakness,kidney failure,kidney,oral_medication,antibiotics,variable,,"Ask any veterinarian in Phoenix, AZ and chances are, they have encountered at least one case of canine leptospirosis. Also referred to as ""lepto"", this disease can pass between animals and humans. ... Places that attract large numbers of dogs and humans, like dog parks, tend to serve as the epicenter for infection.",environmental_exposure||infection,vaccination||personal_hygiene||environmental_control,nonspecific symptoms,"Late discovery of the disease reduces survival chances. The vaccine remains in development, so it may not be effective for all cases. ... Also, the vaccination often works just for the short term.",,585
