id,description.style,description.theme,description.object,description.color,description.tone,description.composition,description.image_genre
Wikiart_298,Surrealism,,"Two Figures, Distorted Reflections","Earthy Tones, Blue",Neutral,"Asymmetrical, Depth Perspective",Fantasy
Wikiart_299,Contemporary,,"Silhouettes, Circuit Pattern",Gold,Neutral,Centralized,Portrait
Wikiart_300,Post-Minimalism,,,,,,
Wikiart_301,Environmental (Land) Art,,Twisting Wooden Branches,Brown,Neutral,Vertical Arrangement,Sculpture
Wikiart_302,Conceptual Art,,Clocks,White,Neutral,Symmetrical,Still Life
Wikiart_303,Post-Impressionism,,"River, Land, Birds",Earth Tones,Neutral,Horizontal,Landscape
Wikiart_304,Conceptual Art,,Wooden Beams,Monochrome/Gray,Neutral,Asymmetrical,Sculpture
Wikiart_305,Street art,,Soldier,"Blue, Yellow",Neutral,Centered Figure With Geometric Elements,Portrait
Wikiart_306,,,"Person, Branches",Dark Blue,Dark,"Dynamic, Chaotic",Landscape
Wikiart_307,Realism,,"Woman, Haystack",Earth Tones,Neutral,Balanced,Genre Painting
Wikiart_308,Constructivism,,Shapes,Gray,Neutral,Balanced,
Wikiart_309,Kinetic Art,,Geometric Shapes,Metallic,Neutral,Vertical Emphasis,Sculpture
Wikiart_310,Outsider art,,"Trees, Houses",Purple,Neutral,Simplified,Landscape
Wikiart_311,,"Baseball Game, Spectators",People,Black And White,Neutral,"Horizontal Emphasis, Foreground Crowd",Landscape
Wikiart_312,Photorealism,,Dots,Beige,Neutral,Grid-Like,Abstract
Wikiart_313,Environmental (Land) Art,,Dump Truck On A Hillside,Earth Tones,Neutral,Asymmetrical,Landscape
Wikiart_314,Fantasy Art,,Two People,Earth Tones,Neutral,Diagonal Arrangement,Portrait
Wikiart_315,Conceptual Art,,Flowers In A Vase,White,Neutral,Central Focus,Still Life
Wikiart_316,Impressionism,,"Trees, Building",Earth Tones,Warm,Balanced,Landscape
Wikiart_317,muralism,,human figures,dark brown,dark,"complex, dynamic",figurative
Wikiart_318,Color Field Painting,,,Blue,Neutral,Asymmetrical,
Wikiart_319,Performance Art,Mythology,Mythical Creatures,Black And White,Neutral,"Dynamic, Diagonal",Mythological
Wikiart_320,Expressionism,,"People, Boat, Water, Mountains",Green,Dark,Dynamic,Landscape
Wikiart_321,Abstract Expressionism,,Circles,Blue,Dark,Centralized,
Wikiart_322,Environmental (Land) Art,,Tree,Brown,Neutral,Vertical,Sculpture
Wikiart_323,action painting,,,black And white,neutral,dynamic,
Wikiart_324,Fauvism,,"People, Bar Setting",Pink,Bright,Asymmetrical,Genre Scene
Wikiart_325,Pop Art,,Human Face,Yellow And Blue,Neutral,Asymmetrical,Portrait
Wikiart_326,,,Musicians,Black And White,Dark,"Dynamic, Motion Capture",Portrait
Wikiart_327,Expressionism,,Wire Outline Of A Person Holding A Flower,Gray,Neutral,"Linear, Outline",Sculpture
Wikiart_328,,,,,,,
Wikiart_329,Abstract Expressionism,,"Crosses, Lines, Symbols",Blue,Dark,Asymmetrical,Abstract
Wikiart_330,Neo-Expressionism,,"Highway, Explosions",Blue,Bright,Dynamic,Landscape
Wikiart_331,Expressionism,,Person With A Book,Blue,Neutral,"Centralized, Symmetrical",Portrait
Wikiart_332,Conceptual Art,,"Chair, Foam","Neutral Tones (Beige, Brown)",Neutral,Asymmetrical,Still Life
Wikiart_333,Expressionism,,"Fish, Fruits, Bird, Trident, Pitcher",Yellow,Bright,Asymmetrical,Still Life
Wikiart_334,Cubism,,"Man, Woman, Bicycle",Neutral Tones,Muted,Geometric,Figurative
Wikiart_335,Socialist Realism,,People,Muted Earth Tones,Neutral,Balanced,Genre Scene
Wikiart_336,Minimalism,,Circles,Neutral,Light,Minimalist,Still Life
Wikiart_337,Cubism,,Musicians With Instruments,Muted Earth Tones,Dark,Geometric Arrangement,Portrait
Wikiart_338,Post-Minimalism,,Circle,Brown,Neutral,Centered,
Wikiart_339,Conceptual Art,,Geometric Forms,Brown And Black,Neutral,Vertical Orientation,Still Life
Wikiart_340,,,People,Earth Tones,Neutral,"Dense, Panoramic",Crowd Scene
Wikiart_341,Precisionism,,Geometric Shapes,Green,Neutral,Symmetrical,Still Life
Wikiart_342,Photorealism,,"People, Cash Registers, Decorations",Red,Neutral,Crowded Scene,Interior
Wikiart_343,,Urban Scene,"Train Station, People",Black And White,Neutral,Diagonal Lines,Urban Scene
Wikiart_344,Conceptual Art,,Fabric And Paper Collage,Multicolored,Neutral,Asymmetrical,Still Life
Wikiart_345,Abstract Art,,Shapes And Forms,Brown,Neutral,Asymmetrical,Still Life
Wikiart_346,surrealism,,,,,,
Wikiart_347,Transautomatism,,"Geometric Shapes, Lines",Red,Bright,"Geometric, Layered",
Wikiart_348,Pop Art,,"Person With Umbrella, Sun",Red,Bright,Asymmetrical,Figurative
Wikiart_349,Art Nouveau (Modern),,Seated Figure,Earth Tones,Soft,Centralized,Portrait
Wikiart_350,Photorealism,,"Bowl Of Pears, Knife, Glass, Tiled Background",Blue,Neutral,Balanced,Still Life
Wikiart_351,Cubism,,Violin,Yellow,Bright,Dynamic,Portrait
Wikiart_352,Art Brut,,Human Figures,Multicolored,Neutral,Collage-Like Arrangement,Figurative
Wikiart_353,Surrealism,,"Duck, Fish, Hand",Earth Tones,Neutral,Central Focus With Arch Framing,Animal
Wikiart_354,Conceptual Art,,"Wooden Planks, Stones",Earth Tones,Neutral,Balanced Arrangement,Still Life
Wikiart_355,Conceptual Art,,"Light Installation, Person",White,Neutral,"Linear, Repetitive Pattern",Installation Art
Wikiart_356,Expressionism,,"Man, Chair, Wooden Post",Earth Tones,Neutral,Centralized Composition,Portrait
Wikiart_357,Minimalism,,Diamond Shapes,"Black, White",Neutral,Symmetrical,
Wikiart_358,Minimalism,,Color Fields,"Black, Blue, White",Neutral,Geometric Division,
Wikiart_359,Expressionism,,Question Marks,Black And White,Neutral,Asymmetrical,Conceptual
Wikiart_360,Conceptual Art,,"Wood Logs, Planks",Neutral Tones,Light,Arranged In Stacks,Sculpture
Wikiart_361,Kitsch,,Person With A Sword And Horse,Red,Dark,Central Focus,Portrait
Wikiart_362,conceptual art,,hand,black and white,dark,centered,still life
Wikiart_363,Expressionism,,Bird,Black,Neutral,Centered,Animal
Wikiart_364,Neo-Figurative Art,,Human Figures,Blue,Neutral,Dynamic,Figurative
Wikiart_365,Hyper-Realism,,Person In A Blue Robe,Blue,Neutral,Central Focus,Portrait
Wikiart_366,Neo-Pop Art,,"Two Dancers, Coca-Cola Logo",Red,Bright,Symmetrical,Figurative
Wikiart_367,Color Field Painting,,"Rectangles, Bands",Dark Purple,Dark,Geometric,Abstract
Wikiart_368,Neo-Expressionism,,Person,Dark Blue,Dark,Figurative,Portrait
Wikiart_369,Spatialism,,Lines,White,Neutral,Horizontal Lines,Abstract
Wikiart_370,Surrealism,,"Melting Clocks, Landscape, Tree, Amorphous Figure",Blue,Dark,Asymmetrical,Landscape
Wikiart_371,Naïve Art (Primitivism),,"Child, Toys",Multicolor,Bright,Central Composition With Geometric Elements,Portrait
Wikiart_372,New European Painting,,"Twigs, Textured Surface","Black, Grey",Dark,"Textured, Layered",Abstract
Wikiart_373,Lyrical Abstraction,,Shapes And Patterns,Multicolored,Bright,Dynamic And Asymmetrical,Abstract
Wikiart_374,Abstract Expressionism,,"Circle, Geometric Shapes",Blue,Dark,Centralized,Landscape
Wikiart_375,Op Art,,Tigers,"Yellow, Black, Red",Bright,"Dynamic, Overlapping Forms",Animal
Wikiart_376,Abstract Expressionism,,Lines,Green,Bright,Geometric,Minimalism
Wikiart_377,Kitsch,,"Cabin, Trees, River, Dock",Green,Bright,"Balanced, Central Focus On The Cabin",Landscape
Wikiart_378,Neo-Romanticism,,Trees And Buildings,Earth Tones,Neutral,Balanced,Landscape
Wikiart_379,Expressionism,,Face,Multicolored,Bright,Dynamic,Portrait
Wikiart_380,Feminist Art,,Human Head,Dark Brown,Dark,Close-Up,Sculpture
Wikiart_381,Art Informel,,Indeterminate Shapes,Blue,Neutral,Dynamic And Free-Form,Abstract
Wikiart_382,Op Art,,Stripes,Multicolored With Browns And Greens,Neutral,Vertical Lines,Abstract Art
Wikiart_383,Minimalism,,Black Geometric Sculpture,Black,Neutral,Asymmetric,Public Art
Wikiart_384,Concretism,,Shapes,Dark Blue,Dark,Symmetrical,Geometric
Wikiart_385,concretism,,lines and squares,blue and orange,bright,asymmetrical,geometric
Wikiart_386,Hard Edge Painting,,Shapes,Multicolored,Neutral,Geometric Arrangement,Abstract Art
Wikiart_387,Surrealism,,"Boxes, Maps",Brown,Neutral,Grid-Like,Still Life
Wikiart_388,Cubism,,Trees,Blue,Neutral,Geometric,Landscape
Wikiart_389,Art Nouveau (Modern),,"Woman, Dog, Playing Cards",Red,Bright,"Dynamic, Diagonal",Genre Scene
Wikiart_390,Pop Art,,"Framed Arrangement Of Various Items, Including A Globe And Magnifying Glass",Mixed,Neutral,Collage-Like With A Central Focal Arrangement,Still Life
Wikiart_391,Abstract Expressionism,,Various Abstract Shapes And Forms,Predominantly Pink And White,Bright,"Asymmetrical, Scattered Elements",
Wikiart_392,Neo-Expressionism,,"People, Trees, Abstract Shapes",Predominantly Blue And Green,Bright,"Dynamic, Fragmented",Genre Painting
Wikiart_393,Minimalism,,Stripes,Orange And Beige,Neutral,Vertical Stripes,
Wikiart_394,Constructivism,,"Circle, Rectangles, Lines",Red,Neutral,Geometric,
Wikiart_395,Minimalism,,,White,Neutral,Monochromatic,
Wikiart_396,Light and Space,,"Sky, People",Blue,Neutral,Geometric,Installation
Wikiart_397,Conceptual Art,,Human Face,Dark,Dark,Asymmetrical,Portrait
Wikiart_398,Dada,,"Parapluie, Brain Shape",Muted Tones,Dark,Asymmetrical,Still Life
Wikiart_399,Post-Painterly Abstraction,,Shapes And Colors,Pastels,Bright,"Randomized, Non-Linear",Abstract
Wikiart_400,Post-Minimalism,,,,,,
Wikiart_401,Contemporary Realism,,"Woman, Bed, Sheets","White, Grey",Neutral,"Centralized, Diagonal Lines",Portrait
Wikiart_402,Post-Impressionism,,Fruits And Vegetables,Yellow,Warm,Vertical Arrangement,Still Life
Wikiart_403,impressionism,,runners,multicolored,bright,dynamic and fluid,sports
Wikiart_404,Spatialism,,Geometric Shapes,Red,Neutral,Asymmetrical,Non-Representational
Wikiart_405,surrealism,,,,,,
Wikiart_406,Lyrical Abstraction,,Calligraphic Text,Green,Bright,Dynamic And Flowing,Calligraphy
Wikiart_407,Conceptual Art,,"Large Shell, Person","Earth Tones, Blue",Dark,Asymmetrical,Portrait
Wikiart_408,Surrealism,,Distorted Face,Blue,Bright,Central Focus,Portrait
Wikiart_409,Post-Minimalism,,Geometric Structure,Neutral Tones,Neutral,Three-Dimensional,Sculpture
Wikiart_410,,Human Figures,Human Figures,"Warm Tones (Orange, Yellow)",Neutral,Curvilinear,Portrait
Wikiart_411,Color Field Painting,,Geometric Shapes,"Orange, Green, Yellow, Blue, Pink",Bright,Repetitive Pattern,
Wikiart_412,Postcolonial art,,,,,,
Wikiart_413,Post-Impressionism,,Young Person,Earth Tones,Warm,Central Focus,Portrait
Wikiart_414,romanticism,,,,,,
Wikiart_415,conceptual art,,"faces, flames",yellow,bright,surreal,conceptual
Wikiart_416,Hard Edge Painting,,Curved Shape,Blue And Green,Bright,Asymmetrical,Still Life
Wikiart_417,Post-Minimalism,,Box With Hand And Ball,Brown,Neutral,Three-Dimensional Assemblage,Sculpture
Wikiart_418,Contemporary Realism,,Cowboy And Horse,Earth Tones,Neutral,Dynamic,Landscape
Wikiart_419,,Religious,"Two Figures, Cave",Earth Tones,Neutral,Balanced,Religious
Wikiart_420,Post-Impressionism,,"Buildings, Trees",Blue,Bright,Balanced,Landscape
Wikiart_421,,,,,,,
Wikiart_422,Ink and wash painting,,Birds On A Branch,Red,Bright,Asymmetrical,Animal
Wikiart_423,Expressionism,,Figures,Black And White,Dark,Dynamic,Portrait
Wikiart_424,Environmental (Land) Art,,Geometric Structures,Black And White,Neutral,Grid-Like Arrangement,Landscape
Wikiart_425,Color Field Painting,,Geometric Shapes,"Black With Red, Blue, And Orange Accents",Dark,Quadriptych With Vertical Divisions,
Wikiart_426,Abstract Expressionism,,Mechanical Structure,Monochrome,Neutral,Fragmented,
Wikiart_427,,,,,,,
Wikiart_428,New Realism,,"Woman, Sewing Machine, Window",Warm Earth Tones,Bright,Balanced,Genre Painting
Wikiart_429,Neo-Geo,,Rectangles,"Red, Orange, Green, Pink",Bright,Geometric Arrangement,
Wikiart_430,Abstract Expressionism,,Undefined Shapes,Red,Dark,Vertical Forms,
Wikiart_431,Minimalism,,Lines,White,Neutral,Grid-Like,
Wikiart_432,Native Art,,Lines And Shapes,Red,Neutral,Asymmetrical,
Wikiart_433,Conceptual Art,,Human Figure On A Path,Blue,Neutral,Quadriptych,Landscape
Wikiart_434,Minimalism,,,"White, Beige",Neutral,"Centralized, Minimalistic",
Wikiart_435,Abstract Expressionism,,Geometric Shapes,"Black, Gray, Red",Neutral,Asymmetrical,Abstract
Wikiart_436,Sky Art,,"People, Large Inflatable Structures",Black And White,Neutral,"Balanced, With A Focus On The Central Inflatable Structures And The Crowd",Landscape
Wikiart_437,,,Human Figures,Black And White,Dark,Asymmetrical,Figurative
Wikiart_438,New Ink Painting,,"Trees, Moon","Black, White",Dark,"Horizontal Division, Abstract Forms",Landscape
Wikiart_439,Expressionism,,People At A Table,Muted Earth Tones,Neutral,Centralized,Portrait
Wikiart_440,conceptual art,,patchwork quilt,beige and blue,neutral,geometric,
Wikiart_441,Dada,,Geometric Shapes,Neutral Tones,Neutral,Asymmetrical,Abstract
Wikiart_442,Light and Space,,Glass Cube,Transparent/Neutral,Light,Geometric,Still Life
Wikiart_443,Romanticism,,"Person, Tree",Dark Blue,Dark,Central Focus,Portrait
Wikiart_444,Magic Realism,,"Human Figure, Cat, Abstract Elements",Dark Tones With Splashes Of Vibrant Colors,Dark,"Complex, Detailed, And Layered",Portrait
Wikiart_445,Social Realism,,"Mine Carts, Miner",Earth Tones,Dark,Linear Perspective,Industrial
Wikiart_446,Outsider art,,Geometric Shapes,"Multicolored (Predominantly Orange, Green, Yellow)",Bright,"Bold, Outlined Forms",Abstract
Wikiart_447,Art Brut,,Telephone,Black And White,Neutral,Central Focus,Still Life
Wikiart_448,Contemporary,,,,,,
Wikiart_449,Light and Space,,Metallic Form,Silver,Neutral,Centered,Sculpture
Wikiart_450,Performance Art,,,,,,
Wikiart_451,Neo-Pop Art,,"Text, Patterns",Multicolored,Bright,"Geometric, Collage",Still Life
Wikiart_452,Naive Art (Primitivism),,,,,,
Wikiart_453,Abstract Expressionism,,"Fields, Abstract Shapes","Warm Tones (Reds, Oranges, Yellows)",Bright,"Geometric, Layered",Landscape
Wikiart_454,Abstract Expressionism,,Shapes,"Black, Red",Neutral,Dynamic,
Wikiart_455,expressionism,,,,,,
Wikiart_456,Art Deco,,Woman With A Drape,Blue,Dark,Centralized Figure,Figurative
Wikiart_457,Expressionism,,Man With Easel,Monochrome,Neutral,Central Focus,Portrait
Wikiart_458,Abstract Expressionism,,Wooden Shapes,"Natural Wood, Accents Of Blue, Orange, Black",Neutral,Vertical Arrangement,Abstract Sculpture
Wikiart_459,Abstract Expressionism,,Patterns And Shapes,Earth Tones,Neutral,Vertical Stripes And Central Motif,Abstract
Wikiart_460,Nouveau Réalisme,,"Leg, High Heel","Black, Red",Neutral,Central Focus,Still Life
Wikiart_461,Abstract Expressionism,,Abstract Figures,Brown,Neutral,Vertical Arrangement,Figurative
Wikiart_462,Light and Space,,Geometric Shapes,White,Neutral,Symmetrical,Abstract
Wikiart_463,Minimalism,,Colored Rectangular Prisms,Multicolored (Pastel Shades),Neutral,Diagonal Arrangement,Abstract
Wikiart_464,Conceptual Art,,"Mirror, Photograph, Wooden Frame",Brown,Neutral,"Collage-Like, Fragmented",Assemblage
Wikiart_465,Op Art,,Spiral Pattern,"Black, Green, Red",Bright,Symmetrical,Geometric
Wikiart_466,Post-Minimalism,,"Light Installation, Person",Multicolored,Bright,Central Perspective,Installation
Wikiart_467,Expressionism,,Abstract Human Figure,Dark,Neutral,"Dynamic, Vertical",Sculpture
Wikiart_468,Abstract Expressionism,,Lines And Shapes,Blue And Gray,Dark,Geometric,Abstract
Wikiart_469,Dada,,Human Face,Beige,Neutral,Collage-Like,Portrait
Wikiart_470,,,,,,,
Wikiart_471,tachisme,,,brown,dark,asymmetrical,
Wikiart_472,Zen,,Chinese Characters,Black And White,Neutral,Horizontal Arrangement,Abstract
Wikiart_473,Pop Art,,Figures With Headbands,Light Blue,Neutral,Symmetrical,Portrait
Wikiart_474,Cubism,,"Geometric Shapes, Facial Profile",Neutral Tones,Neutral,Cubist,Portrait
Wikiart_475,Neo-Pop Art,,Bottles And Fruit,Red,Bright,Geometric,Still Life
Wikiart_476,Abstract Expressionism,,"Patterns, Lines","Neutral, White, Gray",Neutral,"Triptych, Geometric",
Wikiart_477,Expressionism,,"Chair, Cat, Clothes","Muted Tones, Reds, Blues",Neutral,Asymmetrical,Still Life
Wikiart_478,Neo-Pop Art,,Human Head,Yellow,Bright,Centralized,Portrait
Wikiart_479,Pop Art,,Human Figures,Multicolored,Bright,Symmetrical,Portrait
Wikiart_480,Abstract Expressionism,,,"Blue, Yellow",Bright,Asymmetrical,
Wikiart_481,Post-Impressionism,,"Trees, Barn, Sheep",Warm Autumn Tones,Bright,Balanced With A Central Focus,Landscape
Wikiart_482,Neo-Expressionism,,"Trees, Tables, Chairs",Blue,Bright,Geometric,Landscape
Wikiart_483,expressionism,,,,,,
Wikiart_484,Contemporary Realism,,Human Figure,Yellow,Neutral,Centralized,Portrait
Wikiart_485,Magic Realism,,Woman With A Glove,Earth Tones,Neutral,Centered Figure,Portrait
Wikiart_486,Expressionism,,Human Figure,"Black, Green, Red",Dark,Centralized,Portrait
Wikiart_487,conceptual art,,,,,,
Wikiart_488,Light and Space,,Cube,Purple,Neutral,Geometric,Still Life
Wikiart_489,Constructivism,,Silhouetted Faces,Gray,Neutral,Minimalist,Portrait
Wikiart_490,Abstract Expressionism,,,"Black, White, Beige",Dark,"Chaotic, All-Over Composition",
Wikiart_491,Art Brut,,,,,,
Wikiart_492,Naïve Art (Primitivism),,"Parrot, Trees, Foliage",Green,Bright,"Dense, Layered",Landscape
Wikiart_493,Neo-Expressionism,Urban Landscape,"Buildings, Street, People",Blue,Dark,"Dynamic, Diagonal Lines",Urban Landscape
Wikiart_494,realism,landscape,"trees, river, animal",earth tones,neutral,vertical composition with depth,landscape
Wikiart_495,Op Art,,Glass Sculptures,"Multicolored (Red, Blue, Yellow)",Bright,Dynamic Arrangement,Still Life
Wikiart_496,Spatialism,,Geometric Forms,White,Neutral,Repetitive Pattern,
Wikiart_497,Expressionism,,Seated Person,Monochrome (Black And White),Neutral,"Minimalist, Linear",Portrait
Wikiart_498,Pictorialism,,Person,Sepia,Neutral,Centered,Portrait
Wikiart_499,Post-Minimalism,,Wooden Sticks/Pieces,Brown,Neutral,"Organic, Three-Dimensional Form",Sculpture
Wikiart_500,Minimalism,,Rectangular Form,Black,Neutral,Minimalist Composition,Abstract
Wikiart_501,realism,,"people, buildings, street",earthy tones,bright,diagonal perspective,genre painting
Wikiart_502,Post-Painterly Abstraction,,Wavy Circle,Orange And Yellow,Bright,Centralized,Geometric
Wikiart_503,Abstract Expressionism,,Geometric Forms,Black,Neutral,Asymmetrical,Sculpture
Wikiart_504,Conceptual Art,,Bench,White,Neutral,Geometric,Still Life
Wikiart_505,Pop Art,,"Person, T-Shirt With A Face",Yellow,Bright,"Centered, Full-Body Portrait",Portrait
Wikiart_506,New European Painting,,Abstract Shapes,Multicolored,Bright,Dynamic,Abstract
Wikiart_507,Postcolonial art,,Sunflowers And Peacock Feathers,Yellow And Green,Bright,Central Focus,Portrait
Wikiart_508,Abstract Expressionism,,Human Figures,Pink,Bright,Dynamic,Figurative
Wikiart_509,Magic Realism,,,,,,
Wikiart_510,Abstract Expressionism,,"Shapes (Triangles, Rectangles)",Earth Tones,Neutral,Geometric Composition,Abstract
Wikiart_511,conceptual art,,framed texts,black and white,neutral,grid pattern,installation
Wikiart_512,Surrealism,,"Child, Centaur",Pastel Tones,Light,Centralized,Mythological
Wikiart_513,Feminist Art,,Human Figures,Red,Dark,Overlapping,Figurative
Wikiart_514,Realism,,"Archway, Columns",Warm Earth Tones,Neutral,Centralized,Architecture
Wikiart_515,Purism,,Geometric Shapes And Lines,Blue,Bright,Geometric Arrangement,Abstract
Wikiart_516,Light and Space,,Square Canvas,White,Neutral,Centralized,Abstract
Wikiart_517,Postcolonial art,,Human Figure,Blue,Neutral,Centralized Figure With Patterned Background,Figurative
Wikiart_518,Feminist Art,,,,,,
Wikiart_519,,,People Holding Signs/Artworks,Black And White,Neutral,"Candid, Informal",Street Photography
Wikiart_520,Purism,,"Human Face, Geometric Shapes","Red, Orange, Grey",Neutral,Geometric,Portrait
Wikiart_521,Abstract Expressionism,,Shapes,"Black, Yellow, White",Dark,Asymmetrical,
Wikiart_522,Surrealism,,"Curved Shapes, Floral Patterns",Earth Tones,Neutral,Asymmetrical,Abstract
Wikiart_523,Abstract Expressionism,,Abstract Shapes,Rust,Neutral,Vertical Arrangement,Sculpture
Wikiart_524,Feminist Art,,Figure,Monochrome,Neutral,Centralized,Sculpture
Wikiart_525,Pop Art,,Gas Station,Black And White,Neutral,"Simple, Centered",Conceptual
Wikiart_526,Pop Art,,Ice Cream Cone,Brown And Green,Neutral,Simple,Still Life
Wikiart_527,Expressionism,,"Vessels, Fruits",Blue,Bright,Asymmetrical,Still Life
Wikiart_528,Color Field Painting,,"Sun, Hills","Green, Red, Yellow",Bright,Simplified Geometric,Landscape
Wikiart_529,Symbolism,,"Centaurs, Human Figures",Earth Tones,Dramatic,Dynamic,Mythological
Wikiart_530,conceptual art,,text and images,neutral,neutral,grid layout,mixed media
Wikiart_531,Cyber Art,,"Hands, Gestures",Black And White,Neutral,Sequential Arrangement,Mixed Media
Wikiart_532,conceptual art,,theater interior,black and white,dark,symmetrical,architecture
Wikiart_533,Hard Edge Painting,,Shapes,"Orange, Gray, Yellow",Neutral,Asymmetrical,Abstract
Wikiart_534,Street art,,"Text, Abstract Figures",Orange,Bright,"Bold Outlines, Dense Pattern",Mural
Wikiart_535,Neo-Pop Art,,Smiling Flowers,"Bright Colors (Red, Yellow, Blue)",Bright,Symmetrical,Still Life
Wikiart_536,Naïve Art (Primitivism),,People Around A Table,Earth Tones,Warm,Balanced,Genre Painting
Wikiart_537,Tachisme,,Rocks,Earth Tones,Neutral,Textured,
Wikiart_538,Conceptual Art,,"People, Ballot Boxes",Black And White,Neutral,Balanced,Installation
Wikiart_539,Pop Art,,Painted Industrial Structure,Multicolored,Bright,Central,Cityscape
Wikiart_540,Lettrism,,"Letters, Animals, Buildings",Pink,Bright,Collage-Like Arrangement,Conceptual
Wikiart_541,Surrealism,,"Ruins, Debris",Earth Tones,Dark,"Complex, Layered",Landscape
Wikiart_542,Contemporary,,Human Arms With Calligraphy And Patterns,Black And White,Neutral,Symmetrical,Abstract
Wikiart_543,Constructivism,,"Person, Shadows",Black And White,Dark,Geometric,Street Photography
Wikiart_544,Kitsch,,Two Dancing Figures,Pastel Tones,Bright,Dynamic,Portrait
Wikiart_545,New European Painting,,,Purple,Dark,Horizontal Layers,
Wikiart_546,Art Deco,,Person With A Book,Neutral Tones,Muted,Geometric,Portrait
Wikiart_547,Neo-Expressionism,,,"Pink, Green, Yellow",Bright,"Dynamic, Intersecting Lines",
Wikiart_548,Magic Realism,,"Mountains, Lake",Blue,Soft,Horizontal,Landscape
Wikiart_549,Conceptual Art,,Cube With Hole,Brown,Neutral,Symmetrical,Sculpture
Wikiart_550,Ink and wash painting,,"Power Lines, Hills",Earth Tones,Neutral,Diagonal,Landscape
Wikiart_551,Pictorialism,,"Figure, Cherubs",Sepia,Dark,Central Figure,Portrait
Wikiart_552,Abstract Expressionism,,Shapes,Beige/Brown,Neutral,Minimalist Arrangement,Non-Representational
Wikiart_553,Conceptual Art,,People,Neutral Tones,Soft,Layered,Portrait
Wikiart_554,Kinetic Art,,Geometric Shape,Neutral,Light,Three-Dimensional,Sculpture
Wikiart_555,Post-Minimalism,,Hanging Lights,Warm Hues,Bright,Asymmetrical,Installation
Wikiart_556,Surrealism,,Clouds,Pastel,Soft,Dynamic Flow,Landscape
Wikiart_557,Social Realism,,Human Head,Black And White,Neutral,Line Drawing,Portrait
Wikiart_558,Post-Minimalism,,Human Figures,Neutral,Subdued,Minimalist,Sculpture
Wikiart_559,Photorealism,,"Perfume Bottles, Lipstick, Jewelry, Apples, Vases",Various,Bright,Balanced,Still Life
Wikiart_560,Neo-Minimalism,,Triangular Shapes,"Multicolored (Black, Blue, Yellow, Red, White)",Neutral,Asymmetrical,Sculpture
Wikiart_561,Expressionism,,Factory Interior,Brown,Neutral,Balanced,Still Life
Wikiart_562,Expressionism,,"Figure, Flower",Warm Colors,Neutral,Centered,Portrait
Wikiart_563,Neo-Expressionism,,"People, Musical Instruments",Red,Bright,Balanced,Genre Painting
Wikiart_564,Ink and wash painting,,"Boats, Sea",Black And White,Neutral,Repetitive Pattern,Seascape
Wikiart_565,Regionalism,,"Children, Dolls","Green, Red, Blue",Bright,Symmetrical,Portrait
Wikiart_566,Environmental (Land) Art,,Geometric Structures,Earthy Tones,Neutral,Geometric Arrangement,Landscape
Wikiart_567,Surrealism,,"Skull, Hand",Black And White,Dark,Side Profile,Portrait
Wikiart_568,Cubism,,Person Cooking,Blue,Bright,Geometric,Genre Painting
Wikiart_569,Surrealism,,"People, Bird, Dog",Muted Blue And Gray,Neutral,Asymmetrical,Figurative
Wikiart_570,Expressionism,,Human Figure And Animal,Dark,Neutral,Three-Dimensional,Sculpture
Wikiart_571,Impressionism,,Figures Of A Person Reading To Children,Earth Tones,Neutral,Grouped Figures In An Interactive Pose,Sculpture
Wikiart_572,impressionism,,"child, toy sailboat, water",blue,bright,"dynamic, centered figure",genre painting
Wikiart_573,Pop Art,,"People, Photographs, Magazines",Green,Neutral,Collage-Like Arrangement,Portrait
Wikiart_574,Expressionism,,"People, Houses, Landscape",Blue,Dark,Centralized,Landscape
Wikiart_575,Post-Minimalism,,"Architectural Model, Blue Sphere",Beige,Neutral,Symmetrical,Architectural
Wikiart_576,social realism,,,,,,
Wikiart_577,Neo-Romanticism,,"Boats, Cliffs, Ocean",Earth Tones,Neutral,Diagonal,Landscape
Wikiart_578,Conceptual Art,,"Canvas, Broom",Neutral Tones,Neutral,"Minimalist, Geometric Arrangement",Still Life
Wikiart_579,Surrealism,,"Organic Forms, Eyes",Monochrome (Black And White),Neutral,Asymmetrical,Still Life
Wikiart_580,Lyrical Abstraction,,,Purple,Neutral,Non-Representational,
Wikiart_581,Abstract Expressionism,,Face,"Dark Tones With Accents Of Red, White, And Blue",Dark,Centralized Composition With Swirling Lines And Textures,Portrait
Wikiart_582,Conceptual Art,,Busts On Pedestals,Neutral With Accents Of Turquoise And Red,Neutral,Linear Arrangement,Installation
Wikiart_583,Neo-Expressionism,,Human Figure,Blue And Beige,Neutral,"Upright, Balanced",Sculpture
Wikiart_584,Expressionism,,"Lighthouse, Houses",Earth Tones,Bright,Balanced,Landscape
Wikiart_585,Abstract Expressionism,,,Green,Bright,Dynamic,
Wikiart_586,Art Informel,,Brushstroke,Blue,Dark,Minimalist,Abstract
Wikiart_587,Contemporary Realism,,Human Figure,Warm Tones,Neutral,Centralized,Portrait
Wikiart_588,Pop Art,,"Person With A Guitar, Car, House",Yellow,Bright,Central Figure With Background Elements,Portrait
Wikiart_589,Tachisme,,,,,,
Wikiart_590,Color Field Painting,,Lines And Curves,Blue,Dark,Vertical With Flowing Lines,Abstract Art
Wikiart_591,Neo-Expressionism,,Head/Face,Green,Dark,Centralized,Portrait
