university_name,college_category,academic_calendar,in_state_tuition_fees,out_of_state_tuition_fees,institutional_control,religious_affiliation,setting,total_undergraduate_enrollment,year_founded,rank,campus_size,college_town,file
Trinity University ,Regional Universities ,Semester-based ,,,Private ,,Urban ,"2,487 ",1869 ,1 ,117 acres ,,0622
St. Edward's University,,semester,,,private,,urban,"4,368",1885,21,160 acres,,0517
Princeton University,(empty),semester,"$36,640",(empty),private,(empty),suburban,"5,113",1746,2,500 acres,Princeton,0419
University of Idaho,,semester,"$5,402","$16,994",public,,rural,"9,343",1889,153,"1,305 acres",,0675
Dartmouth College,,quarter,,,private,,rural,"4,196",1769,9,200 acres,,0995
Colorado Christian University,,Semester,"$22,040",,Private,,Suburban,N/A,1914,80,26 acres,,0957
Blackburn College ,Regional Colleges (Midwest) ,Semester-based ,empty ,empty ,Private ,empty ,Rural ,607 ,1837 ,50 ,80 acres ,,0324
Trine University,,semester,,,private,,rural,"1,608",1884,35,400 acres,,0619
University of Massachusetts--Amherst,,semester,"$12,084",,public,,suburban,"20,873",1863,99,"1,463 acres",,0693
Trinity Christian College,,semester,,,private,,suburban,"1,450",1959,20,52 acres,,0620
Benedictine University ,,semester ,,,private ,,suburban ,"3,355 ",1887 ,52 ,108 acres ,,0309
Alderson Broaddus College,,semester,,,private,,rural,592,1871,22,170 acres,,0009
Thomas More College,,Semester,,,Private,,Suburban,"1,711",1921,44,100 acres,,0613
Regis University,,semester,,"$30,588",private,,urban,"5,586",1877,28,100 acres,,0432
St. Joseph's College New York,,semester,,,private,,urban,"5,035",1916,15,67 acres,,0533
Dickinson College,,Semester,,,Private,,Suburban,"2,376",1783,47,308 acres,,1005
Kenyon College,,semester,,,private,,rural,"1,633",1824,32,"1,200",,0188
Defiance College,,semester,,,private,,urban,957,1850,33,150 acres,,0998
Pitzer College,,semester,,,private,,suburban,"1,043",1963,46,31 acres,,0411
Furman University,,semester-based,,,private,,urban,"2,754",1826,41,800 acres,,0096
Air Force Academy,,semester,,,,,suburban,"4,620",1954,1,"18,500 acres",,0631
York College,,semester-based,"$14,998",,private,,rural,430,1890,55,40 acres,,0900
University of Wisconsin--Stevens Point ,Regional Universities (Midwest) ,semester-based ,"$6,850 ","$14,423 ",public ,,urban ,"8,704 ",1894 ,43 ,335 acres ,,0781
Mount Aloysius College,,semester,,,private,,rural,"1,577",1853,44,165 acres,,0327
Mount Mercy College,,4-1-4-based,,,private,,urban,"1,498",1928,24,40 acres,,0330
Villanova University,Regional Universities (North),semester,"$39,665",,private,,suburban,"7,201",1842,1,254 acres,,0798
Beloit College,,semester,,"$35,038",private,,urban,"1,407",1846,55,47 acres,,0305
Evergreen State College,Regional Universities (West),quarter-based,"$6,681","$17,808",public,,urban,"4,551",1967,29,"1,000 acres",Olympia,0070
University of North Dakota,,semester-based,"$6,726","$15,845",public,,urban,"10,440",1883,159,550 acres,Grand Forks,0724
Haverford College ,,semester , ,,private,,suburban ,"1,190 ",1833 ,9 ,200 acres ,,0138
Hawaii Pacific University,,semester-based,,,private,,urban,"6,906",1965,68,135 acres,,0139
Morehouse College,,Semester,,,Private,,Urban,"2,689",1867,127,61 acres,,0325
Hiram College,,other-based,,,private,,rural,"1,367",1850,152,500 acres,,0146
Quinnipiac University,,semester,,,private,,suburban,"5,971",1929,9,600 acres,,0426
DePaul University,,quarter-based,,"$28,858",private,,urban,"16,199",1898,136,36 acres,,1002
Oregon Institute of Technology,Regional Colleges (West),quarter-based,"$7,335","$20,037",public,,rural,"3,895",1947,7,305 acres,,0391
William Woods University,,semester,,,private,,rural,"1,093",1870,99,170 acres,,0885
Grinnell College ,,semester,,"$37,482",private,,rural,"1,688",1846,18,120 acres,,0120
Austin Peay State University,Regional Universities (South),semester,"$6,048","$18,576",public,,urban,"9,296",1927,69,160 acres,,0036
University of Virginia,,Semester,"$10,628","$33,574",Public,,Suburban,"15,476",1819,25,"1,682 acres",,0773
California Maritime Academy,Regional Colleges (West),semester,"$7,772","$14,588",public,,suburban,823,1929,4,80 acres,,0855
Juniata College,,semester,,"$32,820",private,,rural,"1,468",1876,81,800 acres,,0179
"Rutgers, the State University of New Jersey--Camden ",,semester-based ,"$11,886 ","$24,602 ",public ,,urban ,"4,121 ",1927 ,29 ,27 acres ,New Brunswick ,0455
Philadelphia Biblical University,,semester,,,private,,suburban,"1,055",1913,126,114 acres,,0406
Berry College,,semester,,,private,,suburban,"1,777",1902,122,"26,000 acres",,0313
Ripon College,,semester-based,,,private,,rural,"1,064",1851,105,250 acres,,0440
Howard University ,,,"$17,905 ",,private ,,urban ,"7,176 ",1867 ,104 ,258 acres ,,0156
Bethany University,,semester,"$18,900",,private,,suburban,N/A,1919,24,,,0316
University of Texas--Austin ,,semester-based,"$9,418","$31,218",public,,urban,"38,168",1883,45,350 acres,,0760
Philadelphia University,,semester ,,,private ,,suburban ,"2,892 ",1884 ,61 ,100 acres ,,0407
Howard Payne University,,semester-based,,,private,,rural,"1,217",1889,16,35 acres,,0155
Illinois State University  , ,semester  ,"$11,077  ","$17,617  ",public  , ,urban  ,"18,389  ",1857  ,156  ,970 acres  , ,0161
St. Francis College,Regional Colleges (North),semester,,,private,,urban,"2,481",1884,29,1 acre,,0522
University of Arkansas,(empty),semester,"$6,768","$16,000",public,(empty),urban,"15,835",1871,132,422 acres,(empty),0643
University of Wisconsin--Stout,Regional Universities (Midwest),4-1-4-based,"$8,100","$15,840",public,,rural,"7,971",1891,66,131 acres,,0782
Southern Methodist University,,semester,,,private,,urban,"6,228",1911,56,231 acres,,0496
University of Minnesota--Morris,,semester,"$11,512","$11,512",public,,rural,"1,705",1959,152,130 acres,,0702
Southern Utah University,,semester,"$7,080","$20,880",public,,rural,"7,229",1897,75,129 acres,,0501
Sacred Heart University,Private,Semester,,,,,Suburban,"4,192",1963,33,69 acres,,0458
University of Georgia,,semester,"$7,530","$25,740",public,,urban,"26,142",1785,56,615 acres,Athens,0672
Eastern Michigan University,Regional Universities (Midwest),semester-based,"$7,368","$19,780",public,,urban,"17,763",1849,81,460,,1023
Vanguard University of Southern California,,semester,,,private,,suburban,"1,652",1920,9,40 acres,,0794
Emory University,,Semester,"$39,158",,Private,,Suburban,"6,980",1836,20,740 acres,,0065
Le Moyne College ,,Semester ,,,Private ,,Suburban ,"2,784",1946 ,17 ,161 acres ,,0208
Montana State University--Northern,Regional Colleges (West),semester,"$6,560","$16,788",public,,rural,N/A,1929,26,105 acres,,0294
Connecticut College,,semester,,"$43,990",private,,urban,"1,906",1911,41,750 acres,New London,0974
Concordia University Texas,,semester-based,,,private,,suburban,"1,110",1926,18,389 acres,,0971
Allegheny College,,semester,,,private,,suburban,"2,132",1815,93,565 acres,,0012
Spring Arbor University,,semester,,,private,,rural,"2,866",1873,66,100 acres,,0508
Waynesburg University,,Semester,,,Private,,Rural,"1,712",1849,105,30 acres,,0820
St. John's University,,semester,,,private,,urban,"14,808",1870,143,97,New York,0530
George Fox University,,semester,"$27,970",,private,,suburban,"1,967",1891,170,108 acres,,0100
St. Ambrose University,Regional Universities (Midwest),semester,"$23,910",,private,,urban,"2,887",1882,43,118,,0511
Endicott College ,,4-1-4-based ,,,private ,,suburban ,"2,291 ",1939 ,10 ,231 acres ,,0067
Pepperdine University,,semester,,,private,,suburban,"3,439",1937,53,830 acres,,0404
DeSales University,,semester-based,,,private,,suburban,"2,333",1964,67,480 acres,,1004
Notre Dame de Namur University,Regional Universities,semester,,,private,,suburban,875,1851,59,47,,0373
University of Texas Dallas,,semester-based,"$10,340","$23,730",public,,suburban,"9,801",1969,143,500 acres,,0761
Fontbonne University,,semester-based,,,private,,suburban,"1,943",1923,66,16 acres,,0085
Oberlin College ,,4-1-4-based,"$41,577",,private,,suburban,"2,888",1833,23,440 acres,,0375
Concordia College Selma,Regional Colleges (South),semester,"$7,670",,private,,urban,568,1922,69,22 acres,,0964
Columbia University,,semester,,,private,,urban,"7,743",1754,4,36,,0963
Bethany College,,4-1-4-based,,,private,,rural,830,1840,162,"1,300 acres",,0314
Fairmont State University,,semester,"$4,952","$10,684",public,,urban,"4,223",1865,44,120 acres,,0073
Kent State University,,,,,,,,,,,,,0186
Cabrini College,,semester,,,private,,suburban,"1,554",1957,114,112 acres,,0850
University of Arkansas Pine Bluff,,semester,"$4,706","$5,366",public,,urban,"3,651",1873,60,318 acres,,0644
University of Alabama,,semester,"$7,900","$20,500",public,,urban,"23,700",1831,79,"1,000 acres",Tuscaloosa,0638
Florida Southern College,Regional Colleges (South),semester,"$24,162",,private,,suburban,"1,911",1885,8,100 acres,,0083
Hillsdale College,,semester,,,private,,rural,"1,315",1844,88,220 acres,,0145
University of Mount Union,,semester,,,private,,urban,"2,193",1846,166,115 acres,,0710
Alcorn State University,Regional Universities (South),semester-based,"$4,498","$11,064",public,,rural,"2,700",1871,74,"1,756 acres",,0008
Albany State University,,semester-based,,,public,,urban,"3,753",1903,86,232 acres,,0005
University of Tampa,,semester,,,private,,urban,"5,559",1931,26,100,,0756
Drexel University,,quarter-based,,"$33,005",private,,urban,"10,863",1891,"National Universities, 86",96 acres,,1013
Lycoming College,,semester-based,empty (not provided in the text),empty (not provided in the text),private,,urban,"1,373",1812,144,40 acres,,0228
Lehman College,Regional Universities (North),semester,,,public,,urban,"9,720",1968,121,37 acres,,0989
Hanover College,,other,,,private,,rural,938,1827,114,640 acres,,0131
Hobart and William Smith Colleges ,,semester,,,private,,urban,"2,092",1822,67,170 acres,,0147
Bryant University,,semester,,"$33,357.",private,,suburban,"3,386",1863,16,420 acres,Smithfield,0594
Toccoa Falls College,,4-1-4-based,,,private,,rural,816,1907,46,500 acres,,0614
Azusa Pacific University,,semester,,,private,,suburban,"4,874",1899,167,103 acres,,0039
University of Massachusetts--Lowell,,semester,"$10,681","$17,794",public,,urban,"10,548",1894,183,135 acres,,0695
Milwaukee School of Engineering ,,quarter-based ,,,private ,,urban ,"2,438 ",1903 ,11 ,15 acres ,,0278
California State Polytechnic University--Pomona,Regional Universities (West),quarter,"$4,551","$15,711",public,,suburban,"20,136",1938,32,"1,438 acres",Pomona,0857
St. John's College New Mexico,,semester,"$42,192",,Private,,Urban,N/A,1696,187,,,0528
Simpson College,,Other,,"$26,837",Private,,Suburban,"1,988",1860,144,85 acres,,0483
Loyola University Maryland,,semester,,,private,,urban,"3,757",1852,3,80,,0225
College of Wooster ,,semester ,,,private ,,suburban ,"1,834 ",1866 ,71 ,240 acres ,,0956
Wheelock College,,semester-based,,,private,,urban,751,1888,58,6 acres,,0849
South Carolina State University,,semester,"$9,468","$18,040",public,,urban,"3,874",1896,170,160 acres,,0488
Northwest Nazarene University,,Semester,"$23,090",,Private,,Urban,"1,336",1913,40,88 acres,,0369
Mississippi State University,,semester,"$5,461","$13,801",public,,rural,"14,602",1878,151,"4,200 acres",,0283
Chaminade University,Regional Universities (West),semester,,,private,,urban,"1,028",1955,80,65 acres,Honolulu,0917
University of Maine--Farmington,Regional Colleges (North),semester,"$9,022","$17,758",public,,rural,"2,191",1864,18,60 acres,,0686
Mercyhurst College,,trimester-based,,,private,,suburban,"2,864",1926,67,75 acres,,0262
Western Illinois University,,semester,"$9,466","$12,855",public,,rural,"10,553",1899,49,"1,050 acres",,0831
Farmingdale State College--SUNY,Regional Colleges (North),semester-based,"$7,676","$17,546",public,,suburban,"6,988",1912,39,380 acres,,0074
Mississippi University for Women,Regional Universities (South),semester,"$4,423","$12,051",public,,rural,"2,272",1884,44,114 acres,,0284
Northwestern University,(empty),quarter-based,"$40,247",(empty),private,(empty),suburban,"8,536",1851,"National Universities, 12",231 acres,Evanston,0367
Doane College,,4-1-4-based,,"$22,170",Private,,Rural,964,1872,152,300 acres,,1007
Arizona State University,,semester,"$7,661","$20,596",public,,urban,"54,277",1885,143,"1,964 acres",,0024
Georgia College & State University,,semester,"$7,852","$24,890",public,,urban,"5,644",1889,32,590 acres,,0105
Earlham College,,semester,,,private,,urban,"1,127",1847,75,200 acres,,1018
College of the Holy Cross,,semester,,,private,,suburban,"2,932",1843,32,174,Worcester,0953
Alice Lloyd College,,semester-based,"$9,500",,private,,rural,595,1923,35,,Pippa Passes,0011
Boise State University,,semester,5300,14756,public,,urban,16693,1932,51,180,,0579
Marquette University,,semester,,,private,Jesuit,urban,"8,081",1881,75,94 acres,,0246
University of Colorado--Colorado Springs,,semester,"7,486","17,482",public,,urban,"6,920",1965,32,510 acres,,0660
Birmingham-Southern College,,4-1-4-based,,,private,,urban,"1,508",1856,93,192 acres,,0323
Bluffton University,,semester,,,private,,rural,"1,005",1899,20,235 acres,,0578
Master's College and Seminary ,Regional Colleges ,Semester , ," $25,640",Private , ,Suburban ,986 ,1927 ,2 ,100 ,,0256
Elmira College,,,,,private,,urban,"1,359",1855,6,55 acres,,0058
University of Dayton,,semester,,,private,,suburban,"7,406",1850,99,373 acres,,0664
West Virginia University Institute of Technology,Regional Colleges (South),semester,"$5,164","$13,264",public,,rural,N/A,1895,71,170 acres,,0845
St. Catherine University,,4-1-4-based,,,private,,urban,"3,797",1905,17,110 acres,,0515
Houghton College,,semester-based,,,private,,rural,"1,311",1883,137,"1,300 acres",,0153
Virginia Military Institute , ,semester-based ,"$12,328 ","$30,320 ",public , ,urban ,"1,500 ",1839 ,62 ,200 acres , ,0800
University of the Incarnate Word,,semester,,,private,Catholic,urban,"5,219",1881,59,200 acres,,0766
Aquinas College ,,semester-based,,,private,,urban,"1,908",1886,58,107 acres,Grand Rapids,0022
Simmons College,Regional Universities (North),semester-based,,,private,,urban,"1,969",1899,14,12 acres,,0482
University of Connecticut,,Semester,"$10,416","$26,880",Public,,Rural,"17,008",1881,69,"4,313 acres",,0662
Point Park University,,semester,,,private,,urban,"3,407",1960,117,,,0414
Messiah College,,semester-based,,,private,,suburban,"2,766",1909,4,471 acres,,0265
University of California--San Diego,,quarter-based,"$11,306","$34,185",public,,urban,"23,143",1960,35,"1,976 acres",,0650
Monmouth College,,semester-based,,,private,,rural,"1,379",1853,174,82 acres,,0290
Springfield College,Regional Universities (North),semester,,,private,,urban,"3,590",1885,67,151 acres,,0509
University of St. Francis,Regional Universities (Midwest),semester-based,"$24,742",,private institution,Catholic Franciscan mission,suburban,"1,276",1920,37,22 acres,,0752
University of Illinois Springfield,Regional Universities (Midwest),semester,"$9,815","$18,965",public,,urban,"3,027",1969,22,746 acres,,0677
Emmanuel College,,semester,,"$30,765",private,Catholic,urban,"2,007",1919,51,17 acres,Boston,0063
California Baptist University,,semester,,,private,,suburban,"3,222",1950,48,103 acres,,0852
SUNY College--Cortland,,semester,"$6,215","$14,115",public,,suburban,"6,258",1868,77,191,,0556
University of North Carolina--Charlotte,(empty),semester,"$4,807","$15,419",public,(empty),suburban,"19,419",1946,191,"1,000 acres",(empty),0721
SUNY College of Agriculture and Technology--Cobleskill ,Regional Colleges (North) ,semester-based ,"$6,224 ","$14,124 ",public ,,rural ,"2,688 ",1911 ,43 ,750 acres ,,0557
Washington State University,,semester-based,"$9,488","$20,530",public,,rural,"21,726",1890,111,"1,745 acres",,0817
Catholic University of America,Private,semester-based,,,,,urban,"3,466",1887,120,193 acres,,0908
Southern Illinois University--Edwardsville ,,semester ,"$8,401 ",empty ,public ,empty ,suburban ,"11,144 ",1957 ,61 ,"2,660 acres ",,0495
Salisbury University,Regional Universities (North),4-1-4-based,"$6,908","$15,404",Public,,Rural,"7,557",1925,46,182 acres,,0460
Eastern Mennonite University,,semester,,,private,,urban,"1,073",1917,181,93 acres,,1022
Western Kentucky University,,semester,"$7,560","$18,840",public,,urban,"17,645",1906,35,235 acres,,0832
Texas Christian University ,,semester-based,"$30,048",,private,,suburban,"7,640",,99,268 acres,,0607
The Citadel,Regional Universities (South),semester,"$9,993","$23,227",public,,urban,"2,366",1842,6,300 acres,,0924
Stevens Institute of Technology,,semester-based,,"$39,976",private,,urban,"2,234",1870,86,55 acres,,0520
Queens University of Charlotte,,semester,,,private,,urban,"1,912",,18,30 acres,,0424
University of Northern Iowa,,semester-based,"$7,008",,public,,urban,"11,381",1876,15,910 acres,,0725
King's College,,Semester,, ,Private,,Urban,"2,296",1946,40,33 acres,,0192
University of San Diego,,4-1-4-based academic calendar,,"$37,378",Private institution,,Urban,"5,111",1949,94,180 acres,,0740
Manhattan College ,,semester ,"$27,105",,private ,,urban ,"3,052 ",1853 ,17 ,22 acres ,,0238
Ramapo College of New Jersey,Regional Universities (North),semester,"$11,874","$19,679",public,,suburban,"5,776",1969,25,300 acres,,0428
University of Vermont,,semester,"$14,132","$32,840",public,,urban,"11,382",1791,94,460 acres,,0772
Capital University,,semester,,,private,Lutheran ,urban,"2,630",1830,19,48 acres,,0871
University of California--Berkeley,,Semester,"$10,868","$33,747",Public,,urban,"25,530",1868,22,,,0645
Rockford College ,Regional Universities (Midwest),semester,,,private,,suburban,869,1847,95,130 acres,,0446
SUNY College of Technology--Alfred,,semester,"$6,162","$14,062",public,,rural,"3,530",1908,27,"1,062 acres",,0559
Frostburg State University,Regional Universities (North),semester-based,"$6,904","$16,950",public,,rural,"4,755",1898,121,260 acres,,0095
University of North Carolina--Greensboro,,semester,"$4,520","$16,281",public,,urban,"14,638",1891,191,210 acres,Greensboro,0722
Siena College,,semester-based,,,private,,suburban,"3,285",1937,114,164 acres,,0480
Bowling Green State University,,semester,"$9,744","$17,062",public,,,"14,319",1910,170,"1,338 acres",,0583
Iowa State University,,semester,"$6,997","$18,563",public,,urban,"22,521",1858,94,"1,794 acres",,0168
Christian Brothers University,,semester,"$24,870",,private,,urban,"1,425",1871,21,75 acres,,0923
Wesley College,,semester-based,,,private,,urban,"2,301",1873,42,50 acres,,0828
Rocky Mountain College,,semester,,,private,,urban,814,1878,7,60 acres,,0448
St. John Fisher College,,semester,,,private,,suburban,"2,832",1948,36,154 acres,,0526
Alverno College,,semester,"$20,060",,private,,urban,"2,387",1887,61,47 acres,,0015
Bard College,,semester,,,private,,rural,"1,939",1860,38,600,,0044
Western Carolina University,Regional Universities (South),semester,"$4,551",,public,,rural,"7,450",1889,29,682 acres,,0830
University of Tennessee,,semester-based,"$6,850","$20,646",public,,urban,"21,182",1794,104,550 acres,Knoxville,0757
Keuka College,,4-1-4-based,,,private,,rural,"1,522",1890,21,288 acres,,0189
Case Western Reserve University,,Semester-based,,,Private,,Urban,"4,228",,41,155 acres,,0906
Marywood University,Regional Universities (North),semester-based,,,private,,suburban,"2,184",1915,51,113 acres,,0253
Davidson College,,semester,,,private,,suburban,"1,743",1837,9,556,,0996
Occidental College,,semester-based,,,private,,urban,"1,972",1887,36,120 acres,,0376
St Gregorys University ,Regional Colleges (West) ,semester ,empty ,,,empty ,suburban ,N/A ,,25 ,600 acres ,,0524
Southern Polytechnic State University,Regional Universities,semester,"$6,174","$19,294",public,,suburban,"4,543",1948,81,203 acres,,0500
Kansas Wesleyan University ,,semester-based ,,,private ,,urban ,N/A ,1886 ,58 ,24 acres ,,0182
Mount Ida College,,semester-based,,,private,,suburban,"1,491",1899,41,72 acres,,0329
University of Rochester,,semester,,,private,,suburban,"5,447",1850,37,707 acres,,0739
Stanford University,,quarter-based,,,private,,suburban,"6,602",1885,5,"8,180 acres",,0512
Lipscomb University,Regional Universities (South),semester,,,private,,urban,"2,513",1891,18,65 acres,,0218
Anderson University,Regional Colleges (South),semester,,,private,,urban,"2,131",1911,21,271 acres,,0018
Fairfield University,,semester,,,private,,suburban,"3,886",1942,4,200 acres,,0071
University of Redlands ,,4-1-4-based,,,Private,,suburban,"2,950",1907,9,160 acres,,0736
Ouachita Baptist University ,Regional Colleges (South),semester,,,private,,rural,"1,447",1886,1,85 acres,,0394
D'Youville College,,semester-based,,,private,,urban,"1,866",1908,114,15 acres,,1017
College of New Jersey ,Regional Universities (North) ,semester ,"$13,273 ","$22,659 ",public ,,suburban ,"6,237 ",1855 ,4 ,289 acres ,(empty),0944
Carthage College,N/A,4-1-4-based,N/A,"$29,750",private,N/A,suburban,"3,031",1847,11,95 acres,N/A,0905
Roanoke College,,semester,,,private,,suburban,"2,044",1842,158,68 acres,,0441
Notre Dame College of Ohio,Regional Colleges (Midwest),semester,,"$23,630",Private,,suburban,"1,675",1922,58,53 acres,,0372
Free Will Baptist Bible College,,semester-based,,"$14,306",private,,urban,303,1942,54,9 acres,,0093
Dominican University of California,,semester,,,private,,suburban,"1,449",1890,37,80 acres,,1009
Methodist University,,semester,,,private,,urban,2001,1956,35,600 acres,,0266
Wittenberg University ,,semester-based ,,,private ,,urban ,"1,899 ",1845 ,114 ,114 acres ,,0892
Humboldt State University,Regional Universities (West),semester-based,"$5,166","$14,094",public,,rural,"7,169",1913,37,144 acres,Arcata,0157
Randolph-Macon College,(empty),4-1-4-based,(empty),"$30,608",private,(empty),suburban,"1,246",1830,131,115 acres,(empty),0430
Sonoma State University,,Semester,"$5,302","$14,230",Public,,Suburban,"7,483",1960,35,269 acres,,0487
Transylvania University,,other-based,,,private,,urban,"1,092",1780,88,46 acres,,0618
University of North Alabama,,Semester,"$6,668","$12,218",Public,,Urban,"6,195",1830,66,130 acres,,0718
Grace College and Seminary,Regional Colleges (Midwest),semester-based,,,private,,rural,"1,466",1948,35,150 acres,,0115
Russell Sage College,,semester,,"$27,850",private,,urban,749,1916,131,19 acres,,0454
Schreiner University,Private institution,Semester-based,,,,,Rural,"1,028",1923,20,170 acres,Kerrville,0468
Elmhurst College ,,4-1-4-based academic calendar , , ,private , ,suburban ,"3,093 ",1871 ,12 ,38 acres , ,0057
Malone University,,semester,,,private,,suburban,"2,191",1892,61,87 acres,,0236
Illinois Institute of Technology,,semester,,,private,,urban,"2,665",1890,111,120 acres,,0160
College of St. Rose,,semester-based,,,private,,urban,"3,036",1920,40,40 acres,,0950
University of California--Los Angeles,,quarter-based,"$10,781","$33,660",public,,urban,"26,687",1919,25,419 acres,,0648
College of St. Elizabeth ,empty ,semester-based ,empty ,empty ,private ,empty ,suburban ,N/A ,1899 ,126 ,200 acres ,,0948
Maryville University of St. Louis,,semester-based,,,private,,suburban,"2,934",1872,30,130 acres,St. Louis,0252
Bethany College Kansas,Regional Colleges (Midwest),4-1-4-based,,,private,,rural,592,1881,44,80 acres,,0315
Morehead State University ,Regional Universities (South),semester-based,"$6,492","$16,236",public,,rural,"7,550",1922,52,500 acres,,0299
University of Louisville,,semester,"$8,424","$20,424",public,,urban,"15,477",1798,176,640 acres,,0684
Presbyterian College,,semester,,,private,,rural,"1,221",1880,119,240,,0417
College of St. Benedict,,semester-based,,"$32,246",private,,suburban,"2,106",1887,81,800 acres,,0947
Whittier College,,4-1-4-based,,,private,,suburban,"1,371",1887,137,75 acres,,0876
University of Mississippi,,semester,"$5,436","$13,890",public,,rural,"13,204",1844,143,"2,500 acres",Oxford,0704
North Central College,,quarter,"$28,224",,private,,suburban,"2,522",1861,19,59 acres,"Naperville, Illinois",0352
University of Notre Dame,,semester,,"$39,919",private,,urban,"8,372",1842,19,"1,250 acres",,0727
Vassar College,,Semester,,,Private,,Suburban,"2,452",1861,12,"1,000 acres",,0795
Illinois Wesleyan University,,Other-based,,,Private,,Suburban,"2,066",1850,62,80 acres,,0162
Weber State University ,Regional Universities (West) ,semester ,"$4,312 ","$11,902 ",public ,,suburban ,"22,381 ",1889 ,56 ,526 acres ,,0822
Vermont Technical College,Regional Colleges (North),semester,"$11,004","$20,340",public,,rural,"1,663",1866,31,544 acres,,0797
Missouri Western State University,Regional Colleges (Midwest),semester,"$5,560","$9,688",public,,urban,"5,634",1969,66,740 acres,,0288
Keene State College ,Regional Universities (North) ,semester-based ,"$10,140 ","$18,310 ",public ,,urban ,"5,235 ",1909 ,,150 acres ,,0184
Olivet Nazarene University,,semester,,,private,,suburban,"3,171",1907,66,250,,0390
Walsh University ,,semester ,,,private ,,suburban ,"2,292 ",1958 ,76 ,143 acres ,,0808
Hofstra University,,4-1-4-based,,,Private,,Suburban,"7,919",1935,139,240 acres,,0148
MacMurray College,,semester,,,private,,rural,518,1846,52,60 acres,,0233
SUNY Oswego,Regional Universities (North),semester-based,"$6,756","$14,656",public,,rural,"7,200",1861,67,700 acres,,0568
Northwest University,Regional Colleges (West),semester-based,,,private,,suburban,"1,146",1934,12,56 acres,Kirkland,0370
Lenoir-Rhyne University,,semester,,,private,,urban,"1,447",1891,11,100 acres,,0209
Creighton University,Regional Universities (Midwest),semester,,,private,Jesuit,urban,"4,133",1878,1,108 acres,,0981
Gettysburg College ,,semester-based,,,private,,suburban,"2,516",1832,47,230 acres,,0109
Colorado State University,,semester,"$6,986","$23,096",public,,urban,"22,158",1870,124,582 acres,Fort Collins,0960
West Texas A&M University,Regional Universities (West),semester-based,"$6,208","$15,508",public,,suburban,"6,248",1910,77,135 acres,,0843
Clarion University of Pennsylvania,Regional Universities (North),semester-based,"$7,380","$12,934",public,,rural,"6,223",1867,126,201 acres,,0927
St. Olaf College ,,4-1-4-based,,,private,,rural,"3,099",,51,300 acres,,0547
Tufts University,,semester-based,,,private,,suburban,"5,164",1852,28,150 acres,,0625
Franklin and Marshall College,,semester,,,private,,urban,"2,179",1787,41,200 acres,,0090
University of Tennessee Martin,Regional Universities (South),semester,"$6,034","$18,104",public,,rural,"7,586",1900,47,930 acres,,0759
Glenville State College,Regional Colleges (South),semester-based,"$4,888","$12,000",public,,rural,"1,677",1872,68,325 acres,,0110
University of Southern Maine,,semester-based,"$8,583","$20,943",public,,urban,"7,618",,110,142 acres,,0750
University of Maine,,semester,"$10,150","$25,198",public,,rural,"9,484",1862,159,660 acres,,0685
Chatham University,Regional Universities (North),other-based,,,private,,urban,"1,076",1869,67,427,,0921
University of Hartford,,semester,,,private,,suburban,"5,516",1877,183,320 acres,,0673
Duquesne University,,Semester,,,Private,,Urban,"5,791",1878,120,49 acres,,1016
Warner University,,semester,,,private,,rural,964,1968,63,380 acres,,0810
Clayton State University,Regional Colleges (South),semester,"$4,858","$16,472",public,,suburban,"6,412",1969,57,163 acres,,0931
Goucher College,,semester,,,private,,suburban,"1,481",1885,111,287 acres,,0114
