ID,name,nationality,art_movement,birth_date,death_date,age,century,zodiac,birth_country,birth_city,birth_continent,death_country,death_city,field,genre,marriage,art_institution,teaching,awards
243,Fred Williams,Australian,,1927/1/23,1982/4/22,55,20th,Aquarius,Australia,"Richmond, Victoria",Oceania,Australia,"Hawthorn, Victoria",Painting||Printmaking,Landscape,,"National Gallery School, Melbourne||Chelsea School of Art, London||Central School of Arts and Crafts",0,0
244,Otto Muehl,Austrian,Viennese Actionism,1925/6/16,2013/5/26,87,20th-21st,Gemini,Austria,Mariasdorf,Europe,Portugal,Moncarapacho,Performance||Sculpture,,,Akademie der Bildenden Kunste Wien,0,0
245,Nabil Kanso,American,Post-modernism,1905/4/29,,,,Taurus,Lebanon,Beirut,Asia,,,Painting,Contemporary||History||Literature,,,0,0
246,José Sobral de Almada Negreiros,Portuguese,Futurism||Modernism,1893/4/7,1970/6/15,77,19th-20th,Aries,,Colony of Sao Tome e Principe,Africa,,,Decorative||Graphic Design||Literature||Mosaic||Others||Painting||Performance||Printmaking,,Married,,0,0
247,Betty Roodish Goodwin,Canadian,,1923/3/19,2008/12/1,85,20th-21st,Pisces,Canada,"Montreal, Quebec",North America,Canada,"Montreal, Quebec",Installation||Painting||Printmaking||Sculpture,Narrative||Still Life,,Valentine's Commercial School of Art in Montreal,0,4
248,Pauline Boty,British,Pop Art,1938/3/6,1966/7/1,28,20th,Pisces,United Kingdom,London,Europe,,,Painting,,,Slade School of Fine Art||School of Stained Glass at the Royal College of Art,0,0
249,Richard Diebenkorn,American,Abstract Expressionism||Bay Area Figurative Movement,1922/4/22,1993/3/30,70,20th,Taurus,United States,"Portland, Oregon",North America,United States,"Berkeley, California",Painting,,,Stanford University||California School of Fine Arts,1,0
250,Endre Rozsda,Hungarian-French,Surrealism,1913/11/18,1999/9/17,85,20th,Scorpio,Hungary,Mohács,Europe,France,Paris,Painting,Surrealist,,école de Louvre,0,0
251,Anthony Alfred Caro,British,Modernism,1924/3/8,2013/10/23,89,20th-21st,Pisces,United Kingdom,New Malden,Europe,,,Sculpture,Abstract,,Farnham School of Art||Regent Street Polytechnic||Royal Academy Schools,0,0
252,William Balthazar Rose,British||Italian||Scottish||Jewish,Bay Area Figurative Movement,1961/2/28,,,,Pisces,United Kingdom,Cambridge,Europe,,,Painting,Figurative,,,0,0
253,Alexander Georg Rudolf Bauer,American||German,Abstract Art||Non-Objective,1889/2/11,1953/11/28,64,19th-20th,Aquarius,Poland,Wirsitz,Europe,United States,"Deal, New Jersey",Painting,Abstract||Figurative,Married,,1,0
254,Eduardo Luigi Paolozzi,British,Pop Art,1924/3/7,2005/4/22,81,20th-21st,Pisces,United Kingdom,"Leith, Edinburgh, Scotland",Europe,United States,London,Collage||Sculpture,Avant Garde Experimental||Pop Art,,Edinburgh College of Art||Saint Martin's School of Art,1,0
255,Joan Brown,American,Bay Area Figurative Movement,1938/2/19,1990/10/26,52,20th,Pisces,United States,San Francisco,North America,,,Painting,Figurative,,California School of Fine Art||San Francisco Art Institute,0,0
256,Yves Tanguy,French||American,Surrealism,1900/1/5,1955/1/15,54,20th,Taurus,France,Paris,Europe,United States,Woodbury,Painting,,,,0,0
257,John Steuart Curry,American,American Regionalism,1897/11/14,1946/8/29,48,19th-20th,Scorpio,United States,Dunavant,North America,United States,Madison,Graphic Design||Illustration||Others||Painting,,,Kansas City Art Institute || Art Institute of Chicago,0,0
258,Aydin Aghdashloo,Iranian,Surrealism,1940/10/30,,,,Scorpio,Islamic Republic of Iran,,Asia,,,Film||Literature||Painting,Other||Surrealist,,Tehran University's school of Fine Arts,0,1
259,Albert Bitran,French,Geometrical Abstraction||Lyrical Abstraction,,,,,,Turkey,Istanbul,Asia,,,Painting||Printmaking||Sculpture,Abstract||Landscape,,,0,0
260,Lasar Segall,Brazilian||Jewish,Expressionism||Impressionism||Modernism,1891/7/21,1957/8/2,65,19th-20th,Cancer,Lithuania,Vilnius,Europe,,,Painting||Printmaking||Sculpture,Erotic||Other||Political||War,,Berlin K?nigliche Akademie der Künste||Kunstakademie Dresden,0,0
261,Edna Andrade,American,Op Art,1917/1/25,2008/4/17,91,20th-21st,Aquarius,United States,"Portsmouth, Virginia",North America,United States,Philadelphia,Painting,Abstract,Married,University of Pennsylvania||Pennsylvania Academy of Fine Arts,1,0
262,Valerie Jaudon,American,Abstraction||Pattern and Decoration||Postminimal,1945/8/6,,,,Leo,United States,"Greenville, Mississippi",North America,,,Painting,,,Mississippi University for Women||Memphis Academy of Art||University of the Americas in Mexico City||Central Saint Martins College of Arts and Design in London,0,0
263,Tess Jaray,British||Austrian,,1937/12/31,,,,,Austria,Vienna,Europe,,,Painting||Printmaking,,,Saint Martins School of Art in London||Slade School of Fine Art,1,4
264,Luke Chueh,American,Lowbrow||Pop Surrealism,1973/3/7,,,,Pisces,United States,Philadelphia,North America,,,Illustration||Painting,Portrait,,California Polytechnic State University,0,0
265,Jessica Stockholder,,Abstract Expressionism,,,,,,,,,,,Installation||Sculpture,,,University of Victoria||Yale University,0,0
266,Walter Gay,American,,1856/1/22,1937/7/13,81,19th-20th,Aquarius,United States,Hingham,North America,,,Painting,Architecture||Genre,,,0,0
267,Robert Doisneau,French,Humanist Photography||Photojournalism,1912/4/14,1994/4/1,81,20th,Aries,France,Paris,Europe,France,Paris,Photography,,,Ecole Estienne,0,0
268,Maurice Boitel,French,La Jeune Peinture,1919/7/31,2007/8/11,88,20th-21st,Leo,France,Tillieres-sur-Avre,Europe,France,Pas-de-Calais,Painting,,,Fine Arts schools of Boulogne-sur-Mer and of Amiens||Fine Arts Academy of Dijon||Ecole nationale superieure des Beaux-Arts,0,0
269,Ali Akbar Sadeghi,Iranian,Persian Surrealism,1905/4/20,,,,Taurus,Islamic Republic of Iran,Teheran,Asia,,,Film||Graphic Design||Illustration||Painting,Illustration||Narrative||Surrealist,,"College of Art, University of Tehran",1,0
270,Rochelle Blumenfeld,American,,,,,,,USA,Pittsburgh,North America,,,Graphic Design||Painting,Abstract,,Carnegie Mellon University||Carnegie Museum,0,0
271,Paul-émile Borduas,Canadian,Automatiste,1905/11/1,1905/5/13,-1,20th,Scorpio,Canada,Quebec,North America,,,Painting,Abstract,,Ecole des Beaux-Arts de Montreal||Ateliers d'Art Sacre,1,0
272,Wangechi Mutu,Kenyan,,1972/6/22,,,,Cancer,Kenya,Nairobi,Africa,,,Collage||Digital Art||Painting||Performance||Sculpture,,,Loreto Convent Msongari||United World College of the Atlantic||The New School for Social Research||Parsons School of Art and Design||Cooper Union for the Advancement of the Arts and Science||Yale School of Art,0,0
273,Kent Monkman,Canadian||Indigenous North Americans,,1905/5/18,,,,Taurus,Canada,Ontario,North America,,,Digital Art||Film||Installation||Painting||Performance,History||Landscape,,Banff Centre||Sundance Institute in Los Angeles||Canadian Screen Training Institute||Oakville's Sheridan College,0,2
274,Duane Hanson,American,Realism,1925/1/17,1996/1/6,70,20th,,United States,Alexandria,North America,United States,Boca Raton,Sculpture,Social Realism,,Luther College||University of Washington||Macalester College||Cranbrook Academy of Art in Bloomfield Hills,1,0
275,Christo Vladimirov Javacheff,Bulgarians||French||Americans,Environmental Art,1935/6/13,,,,Gemini,,,Europe,,,Social,,Married,,0,0
276,Manuel Rodríguez Lozano,Mexican,,,1971/3/27,,,,Mexico,Mexico City,North America,Mexico,Mexico City,Painting,,,Academy of San Carlos,0,0
277,Jean Messagier,French,Art informel||Lyrical abstraction||Nuagisme||Tachisme||paysagisme abstrait,1920/7/13,1999/9/10,79,20th,Cancer,France,Montbeliard,Europe,France,Paris,Literature||Painting||Printmaking||Sculpture,Abstract||Landscape||Portrait,Married,Large-Chenois in Montbeliard||l'Ecole Nationale des Arts Decoratifs||College de France,1,0
278,Miriam Schapiro,American||Canadian||Jewish,Pattern and Decoration,1923/11/15,2015/6/20,91,20th-21st,Scorpio,Canada,Toronto,North America,United States,Hampton Bays,Painting||Printmaking||Sculpture,Abstract||Political,Married,Hunter College||University of Iowa,0,0
279,Kenny Scharf,American,,1905/5/11,,,,Taurus,United States,"Los Angeles, California",North America,,,Conceptual||Digital Art||Fashion||Painting||Performance||Sculpture,Pop Art,,School of Visual Arts,0,0
280,Lo?s Mailou Jones,American,Harlem Renaissance,1905/11/3,1998/6/9,92,20th,Scorpio,United States,"Boston, Massachusetts",North America,United States,"Washington, D.C.",Graphic Design||Illustration||Painting,Other||Portrait,,High School of Practical Arts in Boston||Boston Museum of Fine Arts||Boston Normal Art School||Design Art School of Boston,0,1
281,Vladimir Kush,American,Metaphorical Realism||Surrealism,1965/3/1,,,,Pisces,Russia,Moscow,Europe,,,Painting||Sculpture,Surrealist,,Surikov Moscow Art Institute,0,1
282,John Anthony Baldessari,American,Conceptual,1931/6/17,,,,Gemini,United States,National City,North America,,,Digital Art||Film||Installation||Painting||Photography||Printmaking||Sculpture,,,"Sweetwater High School, San Diego State College",0,0
283,Marie Bronislava Vorobyeva-Stebelska||Marevna,Russian,Cubism||Pointillism,1905/3/6,1984/5/4,,,,Russia,Cheboksary,Europe,,,Painting,,,Stroganov Art Academy,0,0
284,Zdzis?aw Beksiński,Polish,Dystopian Surrealism,1929/2/24,2005/2/21,75,20th-21st,Pisces,Poland,Sanok,Europe,Poland,Warsaw,Painting||Photography||Sculpture,Abstract||Surrealist,,Faculty of Architecture at the Krakow Polytechnic,0,0
285,Nasreen Mohamedi,Indian,,,,,,,India,Karachi,Asia,,,Drawing,,,St. Martin's School of the Arts||Bhulabhai Institute for the Arts,0,0
286,Cildo Meireles,Brazilian,Conceptual||Neo-Concrete,1905/5/1,,,,Taurus,Brazil,Rio de Janeiro,South America,,,Installation||Sculpture,,,Escola Nacional de Belas Artes,0,0
287,Bruce Nauman,American,,1941/12/6,,,,Gemini,United States,Fort Wayne,North America,,,Digital Art||Drawing||Others||Performance||Photography||Printmaking||Sculpture,,,"University of Wisconsin–Madison||University of California, Davis",0,0
288,El Anatsui,Ghanaian||Nigerian,,1905/4/27,,,,Taurus,Ghana,,Africa,,,Sculpture,Avant Garde Experimental,,"College of Art, University of Science and Technology, in Kumasi, in central Ghana",0,0
289,Jerry W. McDaniel,American,Modernism,,,,,,USA,Zaleski,North America,,,Graphic Design||Illustration||Painting,Landscape||Other||Political||Portrait,,Columbus College of Art and Design,0,0
290,Eva Hesse,American||Jewish||German,Postminimalism,1936/1/11,1970/5/29,34,20th,,Germany,Hamburg,Europe,,,Sculpture,,Divorced,New York's School of Industrial Art||Yale University,0,0
291,Jesús Rafael Soto,Venezuelan,Kinetic art||Op art,1923/6/5,2005/1/14,81,20th-21st,Gemini,Venezuela,Ciudad Bolivar,South America,,,Painting||Sculpture,Abstract,,Escuela de Artes Plasticas y Artes Aplicadas,1,1
292,Gianni Piacentino,Italian,Minimalism,1905/4/28,,,,Taurus,Italy,Coazze,Europe,,,Painting||Sculpture,Other,,,0,0
293,Banksy,English,Graffiti||Street Art,,,,,,England,,Europe,,,Conceptual||Film,Narrative||Political,,,0,0
294,Charles Henry Alston,American,Harlem Renaissance,1907/11/28,1977/4/27,69,20th,Sagittarius,United States,Charlotte,North America,,,Illustration||Others||Painting||Sculpture,,,,0,0
295,Prudence Heward,Canadian,,1896/7/2,1947/3/19,50,19th-20th,Cancer,Canada,Quebec,North America,United States,"Los Angeles, California",Painting,Figurative,,Art Association of Montreal school,0,0
296,Robert Rauschenberg,American,Neo Dadaist||Pop Art,1925/10/22,2008/5/12,82,20th-21st,Libra,United States,Port Arthur,North America,United States,Captiva Island,Decorative||Painting||Performance||Photography||Printmaking||Sculpture,Abstract,Married,Académie Julian||National Academy of Design||Black Mountain College||Art Students League of New York,0,2
297,Matthias Laurenz Gr?ff,Austrian,,1984/7/19,,,,Cancer,Austria,Gars am Kamp,Europe,,,Painting,,,University of Applied Arts Vienna||New Design University St. P?lten||Summer academy of Geras,0,1
298,Lubo Kristek,Czech,,1943/5/8,,,,Leo,Czech Republic,,Europe,,,Painting||Performance||Sculpture,,,,0,0
299,Remedios Varo Uranga,Spanish||Mexican||Catalan,Surrealism,1908/12/16,1963/10/8,54,20th,Sagittarius,Spain,Angles,Europe,Mexico,Mexico City,Painting,Surrealist,,,0,0
300,Ellen Gallagher,American,Abstract Art||Minimalism,1965/12/16,,,,Sagittarius,United States,Providence,North America,,,MixedMedia||Painting,Abstract||Narrative,,Moses Brown||Oberlin College||Studio 70||School of the Museum of Fine Arts||Skowhegan School of Painting and Sculpture,0,0
301,Piero Gilardi,Italian||Swiss,Arte Povera,1905/4/25,,,,,Italy,Turin,Europe,,,Visual,,,Liceo Artistico,0,0
302,Alberto Carneiro,Portuguese,British Conceptual Art||Land Art||Minimal,1937/9/20,2017/4/15,79,20th-21st,Virgo,Portugal,Sao Mamede de Coronado,Europe,,,Sculpture,Conceptual||Environmental,,Saint Martin's School of Ar||University of Porto,1,1
303,Felix Gonzalez-Torres,American||Cuban,Minimalism,1957/11/26,1996/1/9,38,20th,Sagittarius,Cuba,Guaimaro,North America,United States,Miami,Installation||Sculpture||Visual,Abstract,,University of Puerto Rico||Pratt Institute of Art||International Center of Photography,1,2
304,Winifred Nicholson,British,Impressionism,1893/12/21,1981/3/5,87,19th-20th,Sagittarius,United Kingdom,Oxford,Europe,United Kingdom,Carlisle,Painting,Landscape||Still Life,Divorced,Byam Shaw School of Art,0,0
305,Mihai Olos,Romanian,Conceptual Art||Constructivism||Neo-avant-garde,1940/2/26,2015/2/22,74,20th-21st,Pisces,Romania,Arinis,Europe,Germany,Amoltern,Literature||Painting||Sculpture,Abstract,,,1,1
306,Xavier Prou,French,Graffiti art||Stencil graffiti||Urban art,1952/11/15,,,,Scorpio,France,Boulogne-Billancourt,Europe,,,Conceptual,Pop Art,Married,,0,0
307,Zeng Fanzhi,Chinese,Expressionism,1905/5/17,,,,,China,Wuhang,Asia,,,Painting,Abstract||Contemporary,,Hubei Academy of Fine Arts,0,0
308,Jules Adolphe Aimé Louis Breton,French,Realism,1827/5/1,1906/7/5,79,19th-20th,,France,Courrières,Europe,,,Painting,Environmental,,"College St. Bertin||Academy of Fine Arts, Ghent||école des Beaux-Arts",0,0
309,Peter Laszlo Peri,Hungarian,Constructivism,1899/6/13,1967/1/19,67,19th-20th,Gemini,Hungary,Budapest,Europe,,,Painting||Sculpture,Abstract||Figurative,,MA Theater School,0,0
310,George Warren Rickey,American,Kinetic Art,1907/6/6,2002/7/17,95,20th-21st,Gemini,United States,South Bend,North America,United States,Saint Paul,Sculpture,,,Glenalmond College||Balliol College||Ruskin School of Drawing||Académie L'Hote||Académie ModerneNew York University Institute of Fine Arts||Chicago Institute of Design,0,0
311,Beatriz González,Colombian,Pop Art,1938/11/16,,,,Scorpio,Colombia,Bucaramanga,South America,,,Education||Painting||Professional||Sculpture||Theory,,Married,University of Los Andes,0,1
312,Ansel Easton Adams,American,,1902/2/20,1984/4/22,82,20th,Pisces,United States,San Francisco,North America,United States,Monterey,Photography||Social,Landscape,,,0,0
313,Vija Celmins,American||Latvian,Photorealism||Pop Art,1938/10/25,,,,Scorpio,Latvia,Riga,Europe,,,Drawing||Painting||Printmaking||Sculpture,Illustration||Still Life,,John Herron School of Art||Yale University||University of California at Los Angeles,1,1
314,Robert Smithson,American,Minimalism,1938/1/2,1973/7/20,35,20th,,United States,Passaic,North America,United States,Texas,Environment||Literature||Photography||Sculpture,Abstract||Environmental,Married,Art Students League of New York||Brooklyn Museum School,0,0
315,Lisa Yuskavage,American,Contemporary Art,1962/5/16,,,,Taurus,United States,Philadelphia,North America,,,Painting,Figurative||Landscape||Still Life,,Yale School of Art at Yale University||Tyler School of Art at Temple University,0,0
316,Vik Muniz,Brazilian,Postmodernism,1961/1/1,,,,,Brazil,Sao Paulo,South America,,,Photography||Sculpture,,,,0,2
317,Pieter Willem Frederick Wenning,South African,Cape Impressionism,1873/9/9,1921/1/24,47,19th-20th,Virgo,Netherlands,The Hague,Europe,,,Painting||Printmaking,,,Hogere Burgerschool,0,0
318,Charles Wilbert White,American,,1918/4/2,1979/10/3,61,20th,Aries,United States,Chicago,North America,United States,Los Angeles,Others||Painting,,,Art Institute of Chicago,1,1
319,Theodoros Stamos,American||Greek,Abstract Expressionism,1922/12/31,1997/2/2,74,20th,,United States,New York City,North America,Greece,,Painting,,,American Artists School,0,1
320,Matthew Barney,American,Contemporary,1967/3/25,,,,Aries,United States,San Francisco,North America,,,Drawing||Film||Photography||Sculpture,Avant Garde Experimental,Divorced,Yale University,0,1
321,James Lesesne Wells,American,Harlem Renaissance,1902/11/2,1993/1/20,90,20th,Scorpio,United States,Atlanta,North America,United States,Washington,Graphic Design||Painting||Sculpture,,,Lincoln University||Columbia University||National Academy of Design,1,3
322,Adolph Gottlieb,American||Jewish,Abstract Expressionism,1903/3/14,1974/3/4,70,20th,Pisces,United States,New York,North America,United States,New York,Painting||Printmaking||Sculpture,Abstract||Surrealist,,Art Students League of New York||Parsons School of Design||Cooper Union||Educational Alliance,0,0
323,Giuseppe Penone,Italian,Arte povera,1947/4/3,,,,Pisces,Italy,Garessio,Europe,,,Drawing||Installation||Sculpture,,,Accademia Albertina,0,0
324,Franz Kline,American,Abstract Expressionism,1910/5/23,1962/5/13,51,20th,Gemini,United States,Wilkes-Barre,North America,United States,New York City,Painting,Landscape||Portrait,,Boston University||Heatherley School of Fine Art,0,0
325,Fikret Mualla Sayg?,French||Turkish,Avant-garde,1904/1/1,1967/7/20,63,20th,,Turkey,Kadikoy,Europe,France,Reillanne,Painting,,Unmarried,,1,0
326,Burhan C. Do?an?ay,Turkish,Nouveau Réalisme,1929/9/11,2013/1/16,83,20th-21st,Virgo,Turkey,Istanbul,Europe,Turkey,Istanbul,Collage||Painting||Photography,Architecture,Married,Academie de la Grande Chaumiere,0,0
327,Ming Smith,American,Surrealism,1947/1/1,,,,,United States,Detroit,North America,,,Photography,Narrative||Surrealist,,Howard University,0,0
328,Alexander Calder,American,,1898/7/20,1976/11/11,78,19th-20th,Cancer,United States,Lawnton,North America,United States,New York,Painting||Printmaking||Sculpture,Abstract,Unmarried,,0,2
329,Vladimir Victorovich Kibalchich Rusakov,Mexican,,1920/6/15,2005/7/21,85,20th-21st,Gemini,Russian Federation,Saint Petersburg,Europe,Mexico,Cuernavaca,Painting,,,,0,1
330,Louis Schanker,American,Abstract Art||Cubism,1903/1/1,1981/1/1,78,20th,,USA,New York,North America,,,Graphic Design||Painting,Abstract,,Cooper Union||The Educational Alliance||The Art Students League||Académie de la Grande Chaumière,0,0
331,Carlos D. Almaraz,American||Mexican,Chicano,1941/10/5,1989/12/11,48,20th,Libra,Mexico,Mexico City,North America,United States,Los Angeles,Painting,,,Los Angeles City College||Loyola Marymount University||California State University||Otis College of Art and Design||University of California,1,0
332,Beauford Delaney,American,Abstract Expressionism||Harlem Renaissance||Modernism,1901/12/30,1979/3/26,77,20th,,United States,Knoxville,North America,France,Paris,Painting,Abstract||Portrait,,Massachusetts Normal School||South Boston School of Art||Copley Society,0,0
333,Joseph Beuys,German,Fluxus,1921/1/1,1986/1/1,65,20th,,Germany,Krefeld,Europe,Germany,Dusseldorf,Graphic Design||Installation||Performance||Sculpture||Theory,,,,1,0
334,Christo Coetzee,South African,Assemblage||Neo-Baroque,1929/3/24,2000/11/12,71,20th-21st,Aries,South Africa,Johannesburg,Africa,South Africa,Tulbagh,Collage,,Married,University of the Witwatersrand||Slade School of Art,0,0
335,Jean Hélion,French,Abstract Art||Figurative,1904/4/21,1987/10/27,83,20th,Taurus,France,Couterne,Europe,,,Literature||Painting,Abstract||Figurative||Still Life,,Ecole centrale de Lille,0,0
336,Andrzej Wróblewski,Polish,Capism||Modern Art,1927/6/15,1957/3/23,29,20th,Gemini,Lithuania,Vilnius,Europe,Poland,,Painting||Sculpture,Figurative,,Academy of Fine Arts||Jagiellonian University,1,0
337,Simone Forti,American||Italian,Fluxus||Postmodern,1935/3/25,,,,Aries,Italy,Florence,Europe,,,Literature||Performance,Avant Garde Experimental,,Halprin-Lathrop School||San Francisco Dancer's Workshop||Merce Cunningham Studio,0,0
338,Emilio Pettoruti,Argentine,,1892/10/1,1971/10/16,79,19th-20th,Libra,Argentina,La Plata,South America,France,,Painting,Abstract||Illustration||Other,Married,Local Academy of Fine Arts||Drawing School in the Museum of Natural History,1,0
339,Sheikh Rashid bin Khalifa Al Khalifa,Bahraini,Abstract Expressionism||Impressionism||Individualism||Realism||Romanticism,1952/1/1,,,,,Bahrain,Manama,Asia,,,Painting,Abstract||Landscape,,Hasting College,0,0
340,Robert Morris,American,Conceptual Art||Land Art||Minimalism||Process Art,1931/2/9,2018/11/28,87,20th-21st,Aquarius,United States,Kansas City,North America,United States,Kingston,Conceptual||Installation||Literature||Performance||Sculpture,,Widowed,University of Kansas||Kansas City Art Institute||Reed College||Hunter College,1,0
341,Andreas Gursky,German,Düsseldorf school,1955/1/15,,,,,Germany,Leipzig,Europe,,,Photography,Architecture||Landscape,,Folkwang University of the Arts||Dusseldorf Art Academy,1,0
342,Morton Livingston Schamberg,American,Cubism||Dada||Modernism||Precisionism,1881/10/15,1918/10/13,36,19th-20th,Libra,United States,Philadelphia,North America,,,Painting||Photography,Landscape||Portrait,,Pennsylvania Academy of the Fine Arts,0,0
343,Richard Estes,American,Hyper-realism||Photorealism||Super-realism,1932/5/14,,,,Taurus,United States,Kewanee,North America,,,Painting,Landscape,,The School of the Art Institute of Chicago,0,1
344,André Kertész,Hungarian,Dada,1894/7/2,1985/9/28,91,19th-20th,Cancer,Hungary,Budapest,Europe,United States,New York,Photography,Other,,,0,0
345,Barton Lidice Beněs,American,,1942/11/16,2012/5/30,69,20th-21st,Scorpio,United States,Hackensack,North America,United States,New York,Installation,,Cohabiting,Pratt Institute||Beaux-Arts,1,0
346,"Adolph Frederick ""Ad"" Reinhardt",American,Abstract expressionism,1913/12/24,1967/8/30,53,20th,,United States,Buffalo,North America,,,Painting,Abstract,,Columbia University||Teachers College||American Artists School||National Academy of Design,0,0
347,Brion Gysin,Canadian,Surrealism,1916/1/19,1986/7/13,70,20th,,England||Canada,Taplow,Europe,,,Literature||Painting||Performance,Conceptual||Illustration||Narrative,,Sorbonne,0,0
348,Friedensreich Regentag Dunkelbunt Hundertwasser,Austrian,,1928/12/15,2000/2/19,71,20th-21st,Sagittarius,Austria,,,,,Architecture||Others||Painting||Social,,Divorced,Academy of Fine Arts,0,0
349,Peter Max,American||German,Pop Art,1937/10/19,,,,Libra,Germany,Berlin,Europe,,,Painting,Fantasy,,Lafayette High School (New York City)||Art Students League of New York,0,0
350,John Albert Bauer,Swedish,Romantic Nationalism,1882/6/4,1918/11/20,36,19th-20th,Aries,Sweden,J?nk?ping,Europe,Sweden,Lake V?ttern,Illustration||Painting,Landscape||Mythological||Portrait,,Royal Swedish Academy of Arts,0,0
351,John Stuart Ingle,American,Contemporary Realism||Magic Realism,1933/1/1,2010/10/30,77,20th-21st,,United States,Evansville,South America,United States,Minnetonka,Painting,Still Life,,,0,0
352,Haroutiun Galentz,Armenian,,1910/3/27,1967/3/7,57,20th,Aries,Ottoman Empire (present day Turkey),Gürün,Asia,Armenia,Yerevan,Painting,Landscape||Still Life,,Beirut Academy of Fine Arts,0,0
353,Walter Whall Battiss,South African,Abstract Art,1906/1/6,1982/8/20,76,20th,,South Africa,Karoo,Africa,South Africa,Port Shepstone,Painting,Abstract,,Witwatersrand Technical College || Johannesburg Training College || University of South Africa,1,0
354,"Christopher ""Kit"" Williams",British,,1946/4/28,,,,Taurus,United Kingdom,Kent,Europe,,,Illustration||Painting,Figurative,,,0,0
355,Pierre Huyghe,French,Contemporary Art,1962/12/11,,,,Sagittarius,France,Paris,Europe,,,Film||Sculpture,,,the Ecole Nationale Superieure des Arts Decoratifs in Paris,0,6
356,Carsten H?ller,German||Belgian,,1961/9/1,,,,Virgo,Belgium,Brussels,Europe,,,Installation||Performance||Sculpture,Avant Garde Experimental||Other,Cohabiting,,0,0
357,Lucian Michael Freud,British,School of London,1922/12/8,2011/7/20,88,20th-21st,Sagittarius,Germany,Berlin,Europe,United Kingdom,London,Drawing||Painting,Figurative||Portrait,Married,UCL Slade School of Fine Art,1,0
358,Mira Schendel,Brazilian,Concrete Art||Modernism,1919/6/7,1988/7/24,69,20th,Cancer,Switzerland,Zurich,Europe,Brazil,,Drawing||Literature||Painting||Sculpture,Avant Garde Experimental,,Universita Cattolica del Sacro Cuore,0,0
359,John Dwyer McLaughlin,American,Hard-edge painting||Minimalism,1898/5/21,1976/3/20,77,19th-20th,Gemini,United States,Sharon,North America,California,Dana Point,Painting,Abstract,Married,,0,1
360,Saul Steinberg,Romanian || American,Modernism,1914/6/15,1999/5/12,85,20th,Gemini,Romania,Ramnicu S?rat,Europe,,,Graphic Design||Illustration,,,University of Bucharest || Politecnico di Milano,0,0
361,Danh V?,Vietnamese||Danish,Contemporary,1975/8/1,,,,Leo,Vietnam,,Asia,,,Conceptual||Installation,,Remarried,Stadelschule in Frankfur,0,0
362,Kexin Di,Chinese,Classical Realism,,,,,,China,Jinzhou,Asia,,,Painting,Figurative||Other,,"Luxun Academy of Fine Arts, China Academy of Art",0,0
363,Robert Filliou,French||American,Fluxus,1926/1/17,1987/12/2,61,20th,,,,,France,Les Eyzies,Film||Sculpture,,,,0,0
364,Xu Beihong,Chinese,Chinese modern art,1895/7/19,1953/9/26,58,19th-20th,Cancer,China,Yixing,Asia,,,Painting,Illustration,,"école Nationale Supérieure des Beaux-Arts, National Central University, Central Academy of Fine Arts",0,0
365,José Luis Cuevas,Mexican,Generación de la Ruptura,1934/2/26,2017/7/3,83,20th-21st,Pisces,Mexico,Mexico City,North America,Mexico,Mexico City,Illustration||Painting||Printmaking,,,"the National School of Painting and Sculpture ""La Esmeralda""",1,0
366,Claudio Bravo Camus,Chilean,Hyperrealism,1936/11/8,2011/6/4,74,20th-21st,Scorpio,Chile,Valparaiso,South America,,,Drawing||Painting||Printmaking||Sculpture,Portrait||Still Life,,the Colegio San Ignacio in Santiago,0,0
367,Wang Guangyi,Chinese,Political Pop,1905/5/10,,,,Taurus,China,Harbin,Asia,,,Painting,Political,,Zhejiang Academy of Fine Arts,0,0
368,Ronnie Landfield,American,Abstract expressionism||Color Field painting||Lyrical Abstraction||Postminimalism,1947/1/9,,,,,United States,New York,North America,,,Painting,Abstract||Landscape,,Kansas City Art Institute,0,0
369,Georg Baselitz,German,Expressive||Figurative,1938/1/23,,,,Aquarius,Germany,Deutschbaselitz,Europe,,,Graphic Design||Painting||Sculpture,Abstract||Figurative,,Hochschule für Bildende und Angewandte Kunst||Hochschule der Künste,0,0
370,Piero Manzoni,Italian,Arte Povera||Avant-garde Art||Conceptual Art,1933/7/13,1963/2/6,29,20th,Cancer,Italy,Soncino Cremona,Europe,Italy,Milan,Others,,,,0,0
371,Salvador Domingo Felipe Jacinto Dalí i Domènech,Spanish||Catalan,Surrealism,1904/5/11,1989/1/23,84,20th,Taurus,Spain,Figueres,Europe,Spain,Figueres,Film||Painting||Photography||Sculpture,Avant Garde Experimental||Surrealist,,Real Academia de Bellas Artes de San Fernando,0,0
372,Johannes Itten,Swiss,Expressionism,1888/11/10,1905/5/20,16,19th-20th,Scorpio,Switzerland,Südern-Linden,Europe,Switzerland,Zurich,Education||Graphic Design||Literature||Painting,,,Bern-Hofwil Teachers' Academy,1,0
373,Anselm Kiefer,German||Austrian,Neo–Expressionism||New Symbolism,1945/3/8,,,,Pisces,Germany,Donaueschingen,Europe,,,Painting||Sculpture,,,Art academies in Freiburg,0,0
374,Gillian Ayres,British,Abstract Art,1930/2/3,2018/4/11,88,20th-21st,Aquarius,United Kingdom,London,Europe,,,Painting||Printmaking,Abstract,,Camberwell School of Art,1,1
