document_id,content,extraction_status,name,team,position,nationality,draft_year,_doc_id,extraction_error
47.txt,"
Harry Gallatin

Harry Junior ""The Horse"" Gallatin (April 26, 1927 – October 7, 2015) was an American professional basketball player and coach. Gallatin played nine seasons for the New York Knicks in the National Basketball Association (NBA) from 1948 to 1957, as well as one season with the Detroit Pistons in the 1957–58 season. Gallatin led the NBA in rebounding and was named to the All-NBA First Team in 1954. The following year, he was named to the All-NBA Second Team. For his career, Gallatin",failed_to_parse,,,,,,,
,,,Darnell Hillman,"['Indiana Pacers', 'New Jersey Nets', 'Denver Nuggets', 'Kansas City Kings', 'Golden State Warriors']",forward,American,1971.0,49.txt,
,,,Mark Price,Cleveland Cavaliers,Point Guard,American,1986.0,5.txt,
,,,Larry Robinson,"['Montreal Canadiens', 'Los Angeles Kings', 'New Jersey Devils']",defenceman,Canadian,,50.txt,
51.txt,"
Nick Calathes

Calathes with Panathinaikos BC 2016 Nicholas William Calathes (Greek: Νικόλαος Γουίλιαμ ""Νικ"" Καλάθης, born February 7, 1989) is a Greek-American professional basketball player for AS Monaco of the French LNB Pro A and the EuroLeague. He is widely considered as one of the best point guards in EuroLeague history.
After playing college basketball for the Florida Gators, Calathes won the EuroLeague title with Panathinaikos in 2011, and reached another final in 2021 with FC Barcelona",failed_to_parse,,,,,,,
53.txt,"
Kurt Thomas (basketball)

Kurt Vincent Thomas (born October 4, 1972) is an American former professional basketball player. A 6'9"", 230 lb. power forward-center, Thomas was known for his hard-nosed playing style and tough defense during his eight year tenure with the New York Knicks. Having played college basketball at Texas Christian University, he was drafted by the Miami Heat in 1995 and went on to play parts of 18 seasons in the NBA.

High school and college

Kurt began his basketball career",failed_to_parse,,,,,,,
54.txt,"
Kevin Durant

Kevin Wayne Durant (born September 29, 1988), also known by his initials KD, is an American professional basketball player for the Phoenix Suns of the National Basketball Association (NBA). Widely regarded as one of the greatest players in NBA history, Durant has won two NBA championships, an NBA Most Valuable Player Award, two Finals MVP Awards, two NBA All-Star Game Most Valuable Player Awards, four NBA scoring titles, the NBA Rookie of the Year Award, been named to 11 All-NBA t",,,,,,,,"list indices must be integers or slices, not str"
56.txt,"
Nate Huffman

Nate Huffman	Huffman in 2014.
Nathaniel Thomas Huffman (April 2, 1975 – October 15, 2015) was an American professional basketball player, who played most of his career with Maccabi Tel Aviv. He was the 2001 Israeli Basketball Premier League MVP, as well as the 2001 FIBA SuproLeague Player of the Year.

High school and college career

Huffman played for Lakeview High School and then for Lansing Community College (where in '94–'95 he averaged 29.8 points, 14.5 rebounds, and 6 blocks",failed_to_parse,,,,,,,
,,,William Bedford,"['Phoenix Suns', 'Detroit Pistons', 'San Antonio Spurs']",center,American,1986.0,58.txt,
59.txt,"
Steve Smith (basketball)

For other basketball people with similar names, see Steven Smith § Basketball.
Steven Delano Smith (born March 31, 1969) is an American former professional basketball player who is a basketball analyst for Turner Sports. After a collegiate career with Michigan State, he played with several teams in his 14-season National Basketball Association career, including the Miami Heat, the Portland Trail Blazers and the San Antonio Spurs, but is perhaps best known for his five-",failed_to_parse,,,,,,,
6.txt,"
David Michineau

David Michineau (born June 6, 1994) is a French basketball player for Bursaspor Basketbol of the Basketbol Süper Ligi (BSL). He was drafted by the New Orleans Pelicans in the 2016 NBA draft, with his rights being traded to the Los Angeles Clippers not too long afterwards.

Professional career

Born in the French overseas department of Guadeloupe, Michineau made his professional debut for French LNB Pro A outfit ES Chalon-Sur-Saône during the 2013-14 season. In the 2015-16 seaso",failed_to_parse,,,,,,,
60.txt,"
Shawn Respert

Shawn Christopher Respert (born February 6, 1972) is an American professional basketball coach and former player. He attended Bishop Borgess High School, and he came to prominence while playing college basketball at Michigan State. He played professionally in the National Basketball Association (NBA) for four seasons from 1995 to 1999. He is being inducted into the Michigan Sports Hall of Fame in October 2024.

College career

Respert was a standout at Michigan State. He and poin",failed_to_parse,,,,,,,
,,,Rod Strickland,"['New York Knicks', 'San Antonio Spurs', 'Portland Trail Blazers', 'Washington Bullets/Wizards', 'Miami Heat', 'Minnesota Timberwolves', 'Orlando Magic', 'Toronto Raptors', 'Houston Rockets']",Point Guard,American,1988.0,61.txt,
,,,Elmer Behnke,Rochester Royals,,American,1951.0,62.txt,
,,,Lamar Brandon Stevens,Memphis Grizzlies,,American,,63.txt,
,,,Ronald Moore,Debreceni EAC,basketball player,American,,64.txt,
,,,Erazem Lorbek,"['FC Barcelona', 'Fortitudo Bologna', 'Lottomatica Roma', 'CSKA Moscow']","['power forward', 'center']",Slovenian,2005.0,65.txt,
,,,Hamidou Diallo,"[{'name': 'Capital City Go-Go', 'league': 'NBA G League'}, {'name': 'Oklahoma City Thunder', 'league': 'NBA'}, {'name': 'Detroit Pistons', 'league': 'NBA'}]","['forward', 'guard']",American,2018.0,67.txt,
,,,"Dewayne 'D. J.' White, Jr.",Oklahoma City Blue,power forward,American,2008.0,68.txt,
69.txt,"
Steve Kerr

This is the latest accepted revision, reviewed on 11 August 2024.
For the Scottish footballer, see Steven Kerr. For the Scottish politician, see Stephen Kerr.
Stephen Douglas Kerr (born September 27, 1965) is an American professional basketball coach and former player who is the head coach for the Golden State Warriors of the National Basketball Association (NBA) and the U.S. national team. He is known as one of the most accurate three-point shooters in NBA history and holds the rec",failed_to_parse,,,,,,,
,,,Donta Hall,"['Saski Baskonia', 'Grand Rapids Drive', 'Detroit Pistons', 'Brooklyn Nets', 'NBA G League Ignite', 'Raptors 905', 'Orlando Magic', 'AS Monaco']","['basketball player', 'forward', 'forward', 'forward', 'forward', 'forward', 'forward', 'forward']",['American-born naturalized Azerbaijani'],,7.txt,
70.txt,"
Greg Foster (basketball)

Gregory Clinton Foster (born October 3, 1968) is an American professional basketball coach and former player who last served as assistant coach for the Indiana Pacers of the National Basketball Association (NBA).

College years

Foster was born in Oakland, California and attended Skyline High School where he played alongside future NBA point guard Gary Payton. He began his collegiate basketball career at UCLA, playing for the Bruins his freshman and sophomore years bef",failed_to_parse,,,,,,,
,,,Bill Hewitt,"['Los Angeles Lakers', 'Detroit Pistons', 'Buffalo Braves', 'Chicago Bulls']",forward,American,,71.txt,
72.txt,"
Joseph Forte

For the person accused of running a Ponzi scheme, see Joseph S. Forte.
Joseph Xavier Forte (born March 23, 1981) is an American former professional basketball player. He played two seasons in the National Basketball Association (NBA) and was an All-American player at North Carolina.

Beginnings

Forte got his start at DeMatha Catholic High School in Hyattsville, Maryland. There, Forte played under the instruction of legendary high school prep coach Morgan Wootten. Forte's teammate",failed_to_parse,,,,,,,
73.txt,"
Dino Rađa

Dino Rađa	Rađa with Panathinaikos in 1998.
Dino Rađa (Anglicized: Dino Radja, Croatian pronunciation: [ˌdǐːno ˈrâd͜ʑa]; born 24 April 1967) is a Croatian former professional basketball player. He was a member of the Jugoplastika team of the late 1980s and early 1990s, which he helped to win two FIBA European Champions Cup championships (1989 and 1990). He spent three and a half seasons with the Boston Celtics, being one of the European pioneers in the NBA. Rađa was named one of FIBA'",failed_to_parse,,,,,,,
74.txt,"
Mark Radford (basketball)

Mark Jeffrey Radford (born July 5, 1959) is an American former National Basketball Association player who played from 1981 to 1983. He played in college for Oregon State University from 1977 to 1981, and was drafted in the third round (53rd overall) of the 1981 NBA draft by the Seattle SuperSonics. He played in 97 career games over two seasons for the SuperSonics. He has a career high 22 points, 5 rebounds, 7 assists, 4 steals and 2 blocks. he had a career average of ",failed_to_parse,,,,,,,
75.txt,"
Kostas Papanikolaou

Konstantinos ""Kostas"" Papanikolaou (Greek: Κωνσταντίνος ""Κώστας"" Παπανικολάου; born 31 July 1990) nicknamed ""Air Pap"" is a Greek professional basketball player and the team captain for Olympiacos of the Greek Basket League (GBL) and the EuroLeague. Standing at 2.04 m (6'8 1⁄2""), he plays at the small forward position. He is widely considered among the best defensive players in European basketball.
A back-to-back EuroLeague champion with Olympiacos in 2012 and 2013, Papaniko",failed_to_parse,,,,,,,
77.txt,"
Jabari Walker

Jabari Dominic Walker (born July 30, 2002) is an American professional basketball player for the Portland Trail Blazers of the National Basketball Association (NBA). He is the son of Samaki Walker. He played college basketball for the Colorado Buffaloes. He was named first-team All-Pac-12 as a sophomore with Colorado.

High school career

Walker played basketball for Campbell Hall School in Los Angeles, California, for three years. For his senior season, he transferred to AZ Comp",failed_to_parse,,,,,,,
78.txt,"
Devontae Cacok

Devontae Calvin Cacok (/ˈkeɪˌkɒk/ KAY-kok; born October 8, 1996) is an American professional basketball player for Virtus Bologna of the Italian Lega Basket Serie A (LBA) and the EuroLeague. He played college basketball for the UNC Wilmington Seahawks, where in the 2017–18 season he led the nation in rebounding.

Early life

Cacok was born in Chicago, Illinois to a Haitian-American father Harry Cacok and Rose Lewis, and grew up in Riverdale, Georgia, playing football as a youth,",failed_to_parse,,,,,,,
79.txt,"
Brandon Goodwin (basketball)

Brandon Goodwin (born October 2, 1995) is an American professional basketball player for the Gigantes de Carolina of the Baloncesto Superior Nacional (BSN). He played college basketball for the UCF Knights and the Florida Gulf Coast Eagles, being named the 2018 ASUN Conference Player of the Year with the latter.

College career

Goodwin, a 6’0” point guard, committed to UCF from Norcross High School. He played for the Knights in the 2013–14 and 2014–15 seasons. He ",failed_to_parse,,,,,,,
8.txt,"
Erick Strickland

Demerick Montae ""Erick"" Strickland (born November 25, 1973) is an American former professional basketball player who played in the National Basketball Association (NBA).
Born in Opelika, Alabama, Strickland attended Bellevue West High School in Bellevue, Nebraska, then played his college basketball career at the University of Nebraska. He was the 2nd all time scorer for Class A Nebraska basketball. Strickland was undrafted in the 1996 NBA draft, but caught on as a free agent w",failed_to_parse,,,,,,,
,,,Dick Rosenthal,Fort Wayne Pistons,forward,American,1954.0,80.txt,
81.txt,"
Jamal Crawford

Aaron Jamal Crawford (born March 20, 1980) is an American former professional basketball player who played in the National Basketball Association (NBA) from 2000 to 2020. Nicknamed ""J-Crossover"", he is regarded as one of the best ball handlers in NBA history. Crawford was named NBA Sixth Man of the Year three times, a record he shares with Lou Williams.
Among other distinctions, Crawford was once the NBA’s all-time leader in career four-point plays. On April 9, 2019, he became n",failed_to_parse,,,,,,,
82.txt,"
Jordan Crawford

Jordan Lee Crawford (born October 23, 1988) is an American professional basketball player for the Sichuan Blue Whales of the Chinese Basketball Association (CBA). He played college basketball for the Indiana Hoosiers and the Xavier Musketeers. His brother is Joe Crawford, who has also played in the NBA.

Early life and high school

Crawford was born to parents Joseph Sr. and Sylvia Crawford in Detroit, Michigan in 1988. In high school, he had suffered an ankle injury which forc",failed_to_parse,,,,,,,
83.txt,"
Tom Copa

Thomas James Copa (born October 30, 1964) is an American former professional basketball player. After graduating from Marquette he went on to play professionally in the National Basketball Association (NBA) and in Europe. Born in Robbinsdale, Minnesota, he was named Minnesota Mr. Basketball in 1983.

College career

Copa played college basketball for Marquette Warriors from 1983 to 1987. In 120 career games, he averaged 8.2 points and 4.7 rebounds per game.

Professional career

Altho",failed_to_parse,,,,,,,
84.txt,"
Kermit Washington

Kermit Alan Washington (born September 17, 1951) is an American former professional basketball player. Washington is best remembered for punching opposing player Rudy Tomjanovich during an on-court fight in 1977.  Washington was not a highly coveted player coming out of high school. He averaged four points per game during his senior season at Coolidge Senior High School. He improved rapidly once at American University, and became one of only seven players in NCAA history to a",failed_to_parse,,,,,,,
,,,Donyell Marshall,"['Minnesota Timberwolves', 'Golden State Warriors', 'Utah Jazz', 'Chicago Bulls', 'Toronto Raptors', 'Cleveland Cavaliers', 'Seattle SuperSonics (Oklahoma City)', 'Philadelphia 76ers']",player,American,1994.0,85.txt,
87.txt,"
Greg Fillmore

Gregory Paul Fillmore (born March 7, 1947, in Philadelphia, Pennsylvania) is a retired professional basketball center who played two seasons in the National Basketball Association (NBA) as a member of the New York Knicks (1972). He attended Cheyney University of Pennsylvania where he was drafted by the Knicks during the eighth round of the 1970 NBA draft.

External links

additional terms may apply. By using this site, you agree to the Terms of Use and Privacy Policy. Wikipedia® ",failed_to_parse,,,,,,,
,,,John Lucas II,Houston Rockets,Basketball Coach,American,1976.0,88.txt,
,,,Dick Surhoff,"['New York Knicks', 'Milwaukee Hawks']",,American,1952.0,89.txt,
9.txt,"
Dave Lattin

Dave Lattin	Lattin at UTEP in 1966.
David Lattin (born December 23, 1943) is an American former basketball player. He was the starting center for the Texas Western Miners in their NCAA championship year in 1966. During his playing career, he was listed at 6 feet 6 inches tall and 225 lbs. His nickname during his career was ""Big Daddy D"".
David Lattin was born on December 23, 1943, in Houston Texas. His mother, Elsie Lattin, was widowed when Lattin’s father died in 1949. Lattin atte",failed_to_parse,,,,,,,
90.txt,"
Garfield Smith

Garfield Smith (born November 18, 1945) is an American former professional basketball player who played in the National Basketball Association (NBA) and American Basketball Association (ABA). He was drafted with the tenth pick in the third round of the 1968 NBA draft by the Boston Celtics. In two seasons in the NBA, Smith averaged 2.7 points per game and 2.1 rebounds per game.  Smith also played one season in the ABA for the San Diego Conquistadors where he averaged 3.7 points p",failed_to_parse,,,,,,,
91.txt,"
Leroy Chollet

Leroy Patrick Chollet (March 5, 1925 – June 10, 1998) was an American professional basketball player who led  Loyola University New Orleans to its first national championship. Chollet and his brothers attended Holy Cross School in New Orleans and excelled in sports. After a year in the United States Navy, Chollet enrolled at Loyola and led the Loyola Wolf Pack to the NAIA men's basketball championship in 1945. Louisiana schools were segregated at the time.[note 1] When Chollet's ",failed_to_parse,,,,,,,
92.txt,"
Michael Carter-Williams

Michael Carter-Williams (born October 10, 1991) is an American professional basketball player who last played for the Capitanes de Ciudad de México of the NBA G League. He was drafted in the first round with the 11th overall pick in the 2013 NBA draft by the Philadelphia 76ers, after playing college basketball for the Syracuse Orange. He was named NBA Rookie of the Year in 2014, and he has also played for the Milwaukee Bucks, Chicago Bulls, Charlotte Hornets, Houston Ro",failed_to_parse,,,,,,,
,,,Dennis Schröder,"['Houston Rockets', 'Boston Celtics', 'Toronto Raptors', 'Brooklyn Nets', 'Los Angeles Lakers']",,German,,93.txt,
94.txt,"
Jack Parr

Not to be confused with Jack Paar.
For the character, see List of The Incredibles characters § Jack-Jack Parr.
Jack Parr (March 13, 1936 – January 4, 2015) was an American professional basketball player.  Parr was born in Louisville, Kentucky.  He played college basketball at Kansas State University.  Kansas State retired his jersey, and his number 33 is hanging from the rafters.  He was drafted by the Cincinnati Royals in the 10th round of the 1958 NBA draft.  He played 66 games for",failed_to_parse,,,,,,,
96.txt,"
Eric Johnson (basketball)

Eric Johnson Jones (born February 7, 1966) is an American-Spanish former professional basketball player who had a brief career in the National Basketball Association (NBA) for the Utah Jazz during the 1989–90 season.

Personal life

Born in Brooklyn, New York, Eric is brother of Vinnie Johnson.

External links

additional terms may apply. By using this site, you agree to the Terms of Use and Privacy Policy. Wikipedia® is a registered trademark of the Wikimedia Foundat",failed_to_parse,,,,,,,
97.txt,"
Sid Tanenbaum

Sidney Harold Tanenbaum (October 8, 1925 – September 4, 1986) was an American professional basketball player. He was twice a consensus first-team All-American (in 1946 and 1947) and twice a Haggerty Award winner (1946 and 1947). He went on to play professionally for the New York Knicks and the Baltimore Bullets.

Early life

Tanenbaum was born in Brooklyn, New York, grew up in its Brownsville neighborhood, and was Jewish. He was an all-scholastic player at Thomas Jefferson High S",failed_to_parse,,,,,,,
98.txt,"
Trayce Jackson-Davis

Trayce Jackson-Davis (né Davis; born February 22, 2000), more commonly referred to by his initials ""TJD"", is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). He played college basketball for the Indiana Hoosiers. He was selected 57th overall in the 2023 NBA draft.
Jackson-Davis grew up in Greenwood, Indiana. When he was four, he fractured his skull in a home accident with a resistance band; the surgery l",failed_to_parse,,,,,,,
99.txt,"
Andre Drummond

Andre Jamal Drummond (born August 10, 1993) is an American professional basketball player for the Philadelphia 76ers the National Basketball Association (NBA). A center, he was selected by the Detroit Pistons in the first round of the 2012 NBA draft with the ninth overall pick.
Drummond was one of the top-rated basketball players in the high school class of 2011 and played one season of college basketball with the Connecticut Huskies before declaring for the draft. He was named ",,,,,,,,"list indices must be integers or slices, not str"
