id,Name,Style,Object,Color,Tone,Composition,Image_Genre
266.0,Walter Gay,Realism,Desk And Chair,Brown,Neutral,Balanced,Interior
267.0,Robert Doisneau,,Welding Scene With Industrial Elements,Black And White,Dark,Asymmetrical,Industrial
268.0,Maurice Boitel,Impressionism,"Bridge, River, Trees",Pastel Hues,Soft,Horizontal,Landscape
269.0,Ali Akbar Sadeghi,,"Castle, Cliffs, Pathway",Beige,Neutral,Symmetrical,Landscape
270.0,Rochelle Blumenfeld,Post-Painterly Abstraction,Geometric Shapes,Blue And Orange,Dark,Dynamic,
271.0,Paul-émile Borduas,,,"Black, White, Red",Neutral,Dynamic,Abstract
272.0,Wangechi Mutu,Feminist Art,Human Face,Brown,Neutral,Collage,Portrait
273.0,Kent Monkman,Postcolonial art,Group Of People With Weapons,Earth Tones,Neutral,Dynamic Group Arrangement,Historical Scene
274.0,Duane Hanson,Hyper-Realism,Person With Book,Multicolored,Neutral,Centered Figure,Portrait
275.0,Christo Vladimirov Javacheff,Environmental (Land) Art,"Bridge, River, Buildings",Blue,Neutral,Horizontal Emphasis With A Central Perspective,Landscape
276.0,Manuel Rodríguez Lozano,,"Figures, Draped Fabrics","Dark Blue, White, Earth Tones",Dark,Central Focus With Surrounding Figures,Figurative
277.0,Jean Messagier,Lyrical Abstraction,Undefined Shapes,Red,Dark,"Dynamic, Swirling",Abstract
278.0,Miriam Schapiro,Feminist Art,Circular Pattern,"Multicolored (Predominantly Yellow, Pink, Purple, And Blue)",Bright,Radial Symmetry,Abstract
279.0,Kenny Scharf,Lowbrow Art,Vodka Bottle,Green,Bright,Central Focus,Advertisement
280.0,Lo?s Mailou Jones,Expressionism,"People, Protest Signs, Symbols",Multicolored,Dynamic,Overlapping Elements,Political
281.0,Vladimir Kush,,"Pathway, Ocean, Birds",Blue,Bright,Diagonal Leading Lines,Landscape
282.0,John Anthony Baldessari,Conceptual Art,,,,,
283.0,Marie Bronislava Vorobyeva-Stebelska||Marevna,Cubism,Human Figure,Neutral Tones,Muted,Geometric,Portrait
284.0,Zdzis?aw Beksiński,Surrealism,Towering Mushroom-Like Structures,Green,Dark,Central Perspective,Landscape
285.0,Nasreen Mohamedi,Minimalism,,,,,
286.0,Cildo Meireles,Conceptual Art,Coca-Cola Bottles,Red/White,Neutral,Trio Arrangement,Still Life
287.0,Bruce Nauman,Minimalism,,,,,
288.0,El Anatsui,Junk Art,"Wall, Metal Pieces",Earth Tones,Neutral,Spatial Arrangement,Abstract
289.0,Jerry W. McDaniel,Pop Art,"Clouds, Water, Land",Blue,Dark,Horizontal Layers,Landscape
290.0,Eva Hesse,Feminist Art,Geometric Shape,Neutral,Light,"Simple, Minimal",Abstract
291.0,Jesús Rafael Soto,Op Art,Squares And Rectangles,"Orange, Red, Green, And Black",Neutral,"Balanced, Geometric Arrangement",Abstract
292.0,Gianni Piacentino,Minimalism,Circular Platform,Purple,Neutral,Centered,Still Life
293.0,Banksy,Street art,"Children, Fence, Beach","Grey, Blue, Green",Neutral,Central Focus With Juxtaposition,Landscape
294.0,Charles Henry Alston,Expressionism,People,Blue,Neutral,Cubist,Portrait
295.0,Prudence Heward,Expressionism,"Person Sitting In The Snow, With Trees And Buildings In The Background",Red,Neutral,Balanced,Portrait
296.0,Robert Rauschenberg,Neo-Dada,Bust On A Pedestal,Monochrome,Neutral,Centralized,Sculpture
297.0,Matthias Laurenz Gr?ff,Expressionism,"Woman, Bird On A Plate","Predominantly Warm Colors (Pinks, Browns)",Neutral,Centralized Composition,Portrait
298.0,Lubo Kristek,Conceptual Art,"Ballerina, People, Painting Materials",Various/Multi-Colored,Bright,Central Focus With Surrounding Audience,Street Scene
299.0,Remedios Varo Uranga,Surrealism,"Two Figures, Distorted Reflections","Earthy Tones, Blue",Neutral,"Asymmetrical, Depth Perspective",Fantasy
300.0,Ellen Gallagher,Contemporary,"Silhouettes, Circuit Pattern",Gold,Neutral,Centralized,Portrait
301.0,Piero Gilardi,Post-Minimalism,,,,,
302.0,Alberto Carneiro,Environmental (Land) Art,Twisting Wooden Branches,Brown,Neutral,Vertical Arrangement,Sculpture
303.0,Felix Gonzalez-Torres,Conceptual Art,Clocks,White,Neutral,Symmetrical,Still Life
304.0,Winifred Nicholson,Post-Impressionism,"River, Land, Birds",Earth Tones,Neutral,Horizontal,Landscape
305.0,Mihai Olos,Conceptual Art,Wooden Beams,Monochrome/Gray,Neutral,Asymmetrical,Sculpture
306.0,Xavier Prou,Street art,Soldier,"Blue, Yellow",Neutral,Centered Figure With Geometric Elements,Portrait
307.0,Zeng Fanzhi,,"Person, Branches",Dark Blue,Dark,"Dynamic, Chaotic",Landscape
308.0,Jules Adolphe Aimé Louis Breton,Realism,"Woman, Haystack",Earth Tones,Neutral,Balanced,Genre Painting
309.0,Peter Laszlo Peri,Constructivism,Shapes,Gray,Neutral,Balanced,
310.0,George Warren Rickey,Kinetic Art,Geometric Shapes,Metallic,Neutral,Vertical Emphasis,Sculpture
311.0,Beatriz González,Outsider art,"Trees, Houses",Purple,Neutral,Simplified,Landscape
312.0,Ansel Easton Adams,,"Baseball Game, Spectators",Black And White,Neutral,"Horizontal Emphasis, Foreground Crowd",Landscape
313.0,Vija Celmins,Photorealism,Dots,Beige,Neutral,Grid-Like,Abstract
314.0,Robert Smithson,Environmental (Land) Art,Dump Truck On A Hillside,Earth Tones,Neutral,Asymmetrical,Landscape
315.0,Lisa Yuskavage,Fantasy Art,Two People,Earth Tones,Neutral,Diagonal Arrangement,Portrait
316.0,Vik Muniz,Conceptual Art,Flowers In A Vase,White,Neutral,Central Focus,Still Life
317.0,Pieter Willem Frederick Wenning,Impressionism,"Trees, Building",Earth Tones,Warm,Balanced,Landscape
318.0,Charles Wilbert White,Muralism,Human Figures,Dark Brown,Dark,"Complex, Dynamic",Figurative
319.0,Theodoros Stamos,Color Field Painting,,Blue,Neutral,Asymmetrical,
320.0,Matthew Barney,Performance Art,Mythical Creatures,Black And White,Neutral,"Dynamic, Diagonal",Mythological
321.0,James Lesesne Wells,Expressionism,"People, Boat, Water, Mountains",Green,Dark,Dynamic,Landscape
322.0,Adolph Gottlieb,Abstract Expressionism,Circles,Blue,Dark,Centralized,
323.0,Giuseppe Penone,Environmental (Land) Art,Tree,Brown,Neutral,Vertical,Sculpture
324.0,Franz Kline,Action painting,,Black And White,Neutral,Dynamic,
325.0,Fikret Mualla Sayg?,Fauvism,"People, Bar Setting",Pink,Bright,Asymmetrical,Genre Scene
326.0,Burhan C. Do?an?ay,Pop Art,Human Face,Yellow And Blue,Neutral,Asymmetrical,Portrait
327.0,Ming Smith,,Musicians,Black And White,Dark,"Dynamic, Motion Capture",Portrait
328.0,Alexander Calder,Expressionism,Wire Outline Of A Person Holding A Flower,Gray,Neutral,"Linear, Outline",Sculpture
329.0,Vladimir Victorovich Kibalchich Rusakov,,,,,,
330.0,Louis Schanker,Abstract Expressionism,"Crosses, Lines, Symbols",Blue,Dark,Asymmetrical,Abstract
331.0,Carlos D. Almaraz,Neo-Expressionism,"Highway, Explosions",Blue,Bright,Dynamic,Landscape
332.0,Beauford Delaney,Expressionism,Person With A Book,Blue,Neutral,"Centralized, Symmetrical",Portrait
333.0,Joseph Beuys,Conceptual Art,"Chair, Foam","Neutral Tones (Beige, Brown)",Neutral,Asymmetrical,Still Life
334.0,Christo Coetzee,Expressionism,"Fish, Fruits, Bird, Trident, Pitcher",Yellow,Bright,Asymmetrical,Still Life
335.0,Jean Hélion,Cubism,"Man, Woman, Bicycle",Neutral Tones,Muted,Geometric,Figurative
336.0,Andrzej Wróblewski,Socialist Realism,People,Muted Earth Tones,Neutral,Balanced,Genre Scene
337.0,Simone Forti,Minimalism,Circles,Neutral,Light,Minimalist,Still Life
338.0,Emilio Pettoruti,Cubism,Musicians With Instruments,Muted Earth Tones,Dark,Geometric Arrangement,Portrait
339.0,Sheikh Rashid bin Khalifa Al Khalifa,Post-Minimalism,Circle,Brown,Neutral,Centered,
340.0,Robert Morris,Conceptual Art,Geometric Forms,Brown And Black,Neutral,Vertical Orientation,Still Life
341.0,Andreas Gursky,,People,Earth Tones,Neutral,"Dense, Panoramic",Crowd Scene
342.0,Morton Livingston Schamberg,Precisionism,Geometric Shapes,Green,Neutral,Symmetrical,Still Life
343.0,Richard Estes,Photorealism,"People, Cash Registers, Decorations",Red,Neutral,Crowded Scene,Interior
344.0,André Kertész,,"Train Station, People",Black And White,Neutral,Diagonal Lines,Urban Scene
345.0,Barton Lidice Beněs,Conceptual Art,Fabric And Paper Collage,Multicolored,Neutral,Asymmetrical,Still Life
346.0,Adolph Frederick Ad Reinhardt,Abstract Art,Shapes And Forms,Brown,Neutral,Asymmetrical,Still Life
347.0,Brion Gysin,Surrealism,,,,,
348.0,Friedensreich Regentag Dunkelbunt Hundertwasser,Transautomatism,"Geometric Shapes, Lines",Red,Bright,"Geometric, Layered",
349.0,Peter Max,Pop Art,"Person With Umbrella, Sun",Red,Bright,Asymmetrical,Figurative
350.0,John Albert Bauer,Art Nouveau (Modern),Seated Figure,Earth Tones,Soft,Centralized,Portrait
351.0,John Stuart Ingle,Photorealism,"Bowl Of Pears, Knife, Glass, Tiled Background",Blue,Neutral,Balanced,Still Life
352.0,Haroutiun Galentz,Cubism,Violin,Yellow,Bright,Dynamic,Portrait
353.0,Walter Whall Battiss,Art Brut,Human Figures,Multicolored,Neutral,Collage-Like Arrangement,Figurative
354.0,Christopher Kit Williams,Surrealism,"Duck, Fish, Hand",Earth Tones,Neutral,Central Focus With Arch Framing,Animal
355.0,Pierre Huyghe,Conceptual Art,"Wooden Planks, Stones",Earth Tones,Neutral,Balanced Arrangement,Still Life
356.0,Carsten H?ller,Conceptual Art,"Light Installation, Person",White,Neutral,"Linear, Repetitive Pattern",Installation Art
357.0,Lucian Michael Freud,Expressionism,"Man, Chair, Wooden Post",Earth Tones,Neutral,Centralized Composition,Portrait
358.0,Mira Schendel,Minimalism,Diamond Shapes,"Black, White",Neutral,Symmetrical,
359.0,John Dwyer McLaughlin,Minimalism,Color Fields,"Black, Blue, White",Neutral,Geometric Division,
360.0,Saul Steinberg,Expressionism,Question Marks,Black And White,Neutral,Asymmetrical,Conceptual
361.0,Danh V?,Conceptual Art,"Wood Logs, Planks",Neutral Tones,Light,Arranged In Stacks,Sculpture
362.0,Kexin Di,Kitsch,Person With A Sword And Horse,Red,Dark,Central Focus,Portrait
363.0,Robert Filliou,Conceptual Art,Hand,Black And White,Dark,Centered,Still Life
364.0,Xu Beihong,Expressionism,Bird,Black,Neutral,Centered,Animal
365.0,José Luis Cuevas,Neo-Figurative Art,Human Figures,Blue,Neutral,Dynamic,Figurative
366.0,Claudio Bravo Camus,Hyper-Realism,Person In A Blue Robe,Blue,Neutral,Central Focus,Portrait
367.0,Wang Guangyi,Neo-Pop Art,"Two Dancers, Coca-Cola Logo",Red,Bright,Symmetrical,Figurative
368.0,Ronnie Landfield,Color Field Painting,"Rectangles, Bands",Dark Purple,Dark,Geometric,Abstract
369.0,Georg Baselitz,Neo-Expressionism,Person,Dark Blue,Dark,Figurative,Portrait
370.0,Piero Manzoni,Spatialism,Lines,White,Neutral,Horizontal Lines,Abstract
371.0,Salvador Domingo Felipe Jacinto Dalí i Domènech,Surrealism,"Melting Clocks, Landscape, Tree, Amorphous Figure",Blue,Dark,Asymmetrical,Landscape
372.0,Johannes Itten,Naïve Art (Primitivism),"Child, Toys",Multicolor,Bright,Central Composition With Geometric Elements,Portrait
373.0,Anselm Kiefer,New European Painting,"Twigs, Textured Surface","Black, Grey",Dark,"Textured, Layered",Abstract
374.0,Gillian Ayres,Lyrical Abstraction,Shapes And Patterns,Multicolored,Bright,Dynamic And Asymmetrical,Abstract
375.0,Rafa al-Nasiri,Abstract Expressionism,"Circle, Geometric Shapes",Blue,Dark,Centralized,Landscape
376.0,Victor Vasarely,Op Art,Tigers,"Yellow, Black, Red",Bright,"Dynamic, Overlapping Forms",Animal
377.0,Robert Motherwell,Abstract Expressionism,Lines,Green,Bright,Geometric,Minimalism
378.0,William Thomas Kinkade III,Kitsch,"Cabin, Trees, River, Dock",Green,Bright,"Balanced, Central Focus On The Cabin",Landscape
379.0,Frank Graham Bell,Neo-Romanticism,Trees And Buildings,Earth Tones,Neutral,Balanced,Landscape
380.0,Oswaldo Vigas,Expressionism,Face,Multicolored,Bright,Dynamic,Portrait
381.0,Kiki Smith,Feminist Art,Human Head,Dark Brown,Dark,Close-Up,Sculpture
382.0,Afro Libio Basaldella,Art Informel,Indeterminate Shapes,Blue,Neutral,Dynamic And Free-Form,Abstract
383.0,Carlos Cruz-Diez,Op Art,Stripes,Multicolored With Browns And Greens,Neutral,Vertical Lines,Abstract Art
384.0,Anthony Peter Smith,Minimalism,Black Geometric Sculpture,Black,Neutral,Asymmetric,Public Art
385.0,Max Bill,Concretism,Shapes,Dark Blue,Dark,Symmetrical,Geometric
386.0,Lygia Pape,Concretism,Lines And Squares,Blue And Orange,Bright,Asymmetrical,Geometric
387.0,Frederick Hammersley,Hard Edge Painting,Shapes,Multicolored,Neutral,Geometric Arrangement,Abstract Art
388.0,Joseph Cornell,Surrealism,"Boxes, Maps",Brown,Neutral,Grid-Like,Still Life
389.0,Dorothea Foster Black || Dorrit Black,Cubism,Trees,Blue,Neutral,Geometric,Landscape
390.0,Jacques Villon||Gaston Duchamp||Emile Méry Frédéric Gaston Duchamp,Art Nouveau (Modern),"Woman, Dog, Playing Cards",Red,Bright,"Dynamic, Diagonal",Genre Scene
391.0,Sergei Parajanov,Pop Art,"Framed Arrangement Of Various Items, Including A Globe And Magnifying Glass",Mixed,Neutral,Collage-Like With A Central Focal Arrangement,Still Life
392.0,Joan Snyder,Abstract Expressionism,Various Abstract Shapes And Forms,Predominantly Pink And White,Bright,"Asymmetrical, Scattered Elements",
393.0,Dana Schutz,Neo-Expressionism,"People, Trees, Abstract Shapes",Predominantly Blue And Green,Bright,"Dynamic, Fragmented",Genre Painting
394.0,Daniel Buren,Minimalism,Stripes,Orange And Beige,Neutral,Vertical Stripes,
395.0,Oscar Agustín Alejandro Schulz Solari,Constructivism,"Circle, Rectangles, Lines",Red,Neutral,Geometric,
396.0,Yves Gaucher,Minimalism,,White,Neutral,Monochromatic,
397.0,James Turrell,Light and Space,"Sky, People",Blue,Neutral,Geometric,Installation
398.0,Cornelia Ann Parker,Conceptual Art,Human Face,Dark,Dark,Asymmetrical,Portrait
399.0,Elsa Hildegard Baroness von Freytag-Loringhoven,Dada,"Parapluie, Brain Shape",Muted Tones,Dark,Asymmetrical,Still Life
400.0,Samia A. Halaby,Post-Painterly Abstraction,Shapes And Colors,Pastels,Bright,"Randomized, Non-Linear",Abstract
401.0,Nancy Graves,Post-Minimalism,,,,,
402.0,Kent Bellows,Contemporary Realism,"Woman, Bed, Sheets","White, Grey",Neutral,"Centralized, Diagonal Lines",Portrait
403.0,Antonio Sicurezza,Post-Impressionism,Fruits And Vegetables,Yellow,Warm,Vertical Arrangement,Still Life
404.0,LeRoy Neiman,Impressionism,Runners,Multicolored,Bright,Dynamic And Fluid,Sports
405.0,Enrico Castellani,Spatialism,Geometric Shapes,Red,Neutral,Asymmetrical,Non-Representational
406.0,Philippe Halsman,Surrealism,,,,,
407.0,Ali Omar Ermes,Lyrical Abstraction,Calligraphic Text,Green,Bright,Dynamic And Flowing,Calligraphy
408.0,Haralampi G. Oroschakoff,Conceptual Art,"Large Shell, Person","Earth Tones, Blue",Dark,Asymmetrical,Portrait
409.0,Victor Brauner,Surrealism,Distorted Face,Blue,Bright,Central Focus,Portrait
410.0,Phyllida Barlow,Post-Minimalism,Geometric Structure,Neutral Tones,Neutral,Three-Dimensional,Sculpture
411.0,Chaim Goldberg,,Human Figures,"Warm Tones (Orange, Yellow)",Neutral,Curvilinear,Portrait
412.0,Claude Viallat,Color Field Painting,Geometric Shapes,"Orange, Green, Yellow, Blue, Pink",Bright,Repetitive Pattern,
413.0,Mona Hatoum,Postcolonial art,,,,,
414.0,Irma Stern,Post-Impressionism,Young Person,Earth Tones,Warm,Central Focus,Portrait
415.0,John Roddam Spencer Stanhope,Romanticism,,,,,
416.0,Wade Guyton,Conceptual Art,"Faces, Flames",Yellow,Bright,Surreal,Conceptual
417.0,Charles Hinman,Hard Edge Painting,Curved Shape,Blue And Green,Bright,Asymmetrical,Still Life
418.0,Lenore Tawney,Post-Minimalism,Box With Hand And Ball,Brown,Neutral,Three-Dimensional Assemblage,Sculpture
419.0,Georg,Contemporary Realism,Cowboy And Horse,Earth Tones,Neutral,Dynamic,Landscape
420.0,Sister Esther Newport,,"Two Figures, Cave",Earth Tones,Neutral,Balanced,Religious
421.0,Samuel John Peploe,Post-Impressionism,"Buildings, Trees",Blue,Bright,Balanced,Landscape
422.0,Robert Del Naja,,,,,,
423.0,Qi Baishi,Ink and wash painting,Birds On A Branch,Red,Bright,Asymmetrical,Animal
424.0,K?the Kollwitz,Expressionism,Figures,Black And White,Dark,Dynamic,Portrait
425.0,Alice Aycock,Environmental (Land) Art,Geometric Structures,Black And White,Neutral,Grid-Like Arrangement,Landscape
426.0,Günther F?rg,Color Field Painting,Geometric Shapes,"Black With Red, Blue, And Orange Accents",Dark,Quadriptych With Vertical Divisions,
427.0,Lee Bontecou,Abstract Expressionism,Mechanical Structure,Monochrome,Neutral,Fragmented,
428.0,Fernando Carlo,,,,,,
429.0,Edward Hopper,New Realism,"Woman, Sewing Machine, Window",Warm Earth Tones,Bright,Balanced,Genre Painting
430.0,Peter Halley,Neo-Geo,Rectangles,"Red, Orange, Green, Pink",Bright,Geometric Arrangement,
431.0,Alice Phillipot (Alice Rahon),Abstract Expressionism,Undefined Shapes,Red,Dark,Vertical Forms,
432.0,Robert Ryman,Minimalism,Lines,White,Neutral,Grid-Like,
433.0,Kathleen Petyarre,Native Art,Lines And Shapes,Red,Neutral,Asymmetrical,
434.0,Bastiaan Johan Christiaan Bas Jan Ader,Conceptual Art,Human Figure On A Path,Blue,Neutral,Quadriptych,Landscape
435.0,Yves Klein,Minimalism,,"White, Beige",Neutral,"Centralized, Minimalistic",
436.0,Toko Shinoda,Abstract Expressionism,Geometric Shapes,"Black, Gray, Red",Neutral,Asymmetrical,Abstract
437.0,Otto Piene,Sky Art,"People, Large Inflatable Structures",Black And White,Neutral,"Balanced, With A Focus On The Central Inflatable Structures And The Crowd",Landscape
438.0,Alberto Sughi,,Human Figures,Black And White,Dark,Asymmetrical,Figurative
439.0,Alfred Freddy Krupa,New Ink Painting,"Trees, Moon","Black, White",Dark,"Horizontal Division, Abstract Forms",Landscape
440.0,John Randall Bratby,Expressionism,People At A Table,Muted Earth Tones,Neutral,Centralized,Portrait
441.0,Geta Br?tescu,Conceptual Art,Patchwork Quilt,Beige And Blue,Neutral,Geometric,
442.0,Hans Richter,Dada,Geometric Shapes,Neutral Tones,Neutral,Asymmetrical,Abstract
443.0,Larry Bell,Light and Space,Glass Cube,Transparent/Neutral,Light,Geometric,Still Life
444.0,Edward Robert Hughes,Romanticism,"Person, Tree",Dark Blue,Dark,Central Focus,Portrait
445.0,Ivan Le Lorraine Albright,Magic Realism,"Human Figure, Cat, Abstract Elements",Dark Tones With Splashes Of Vibrant Colors,Dark,"Complex, Detailed, And Layered",Portrait
446.0,Oliver Percival Kilbourn,Social Realism,"Mine Carts, Miner",Earth Tones,Dark,Linear Perspective,Industrial
447.0,Paul Johan du Toit,Outsider art,Geometric Shapes,"Multicolored (Predominantly Orange, Green, Yellow)",Bright,"Bold, Outlined Forms",Abstract
448.0,David Keith Lynch,Art Brut,Telephone,Black And White,Neutral,Central Focus,Still Life
449.0,Nancy Nan Goldin,Contemporary,,,,,
450.0,Gisela Colon,Light and Space,Metallic Form,Silver,Neutral,Centered,Sculpture
451.0,Tania Bruguera,Performance Art,,,,,
452.0,Beatriz Milhazes,Neo-Pop Art,"Text, Patterns",Multicolored,Bright,"Geometric, Collage",Still Life
453.0,Alfred Wallis,Naïve Art (Primitivism),,,,,
454.0,Jane Schenthal Frank,Abstract Expressionism,"Fields, Abstract Shapes","Warm Tones (Reds, Oranges, Yellows)",Bright,"Geometric, Layered",Landscape
455.0,William Saroyan,Abstract Expressionism,Shapes,"Black, Red",Neutral,Dynamic,
456.0,Guity Novin,Expressionism,,,,,
457.0,John Vassos,Art Deco,Woman With A Drape,Blue,Dark,Centralized Figure,Figurative
458.0,Bruno Schulz,Expressionism,Man With Easel,Monochrome,Neutral,Central Focus,Portrait
459.0,Betty Parsons,Abstract Expressionism,Wooden Shapes,"Natural Wood, Accents Of Blue, Orange, Black",Neutral,Vertical Arrangement,Abstract Sculpture
460.0,Makinti Napanangka,Abstract Expressionism,Patterns And Shapes,Earth Tones,Neutral,Vertical Stripes And Central Motif,Abstract
461.0,Domenico Mimmo Rotella,Nouveau Réalisme,"Leg, High Heel","Black, Red",Neutral,Central Focus,Still Life
462.0,Richard Warren Pousette-Dart,Abstract Expressionism,Abstract Figures,Brown,Neutral,Vertical Arrangement,Figurative
463.0,Helen Pashgian,Light and Space,Geometric Shapes,White,Neutral,Symmetrical,Abstract
464.0,Judy Chicago,Minimalism,Colored Rectangular Prisms,Multicolored (Pastel Shades),Neutral,Diagonal Arrangement,Abstract
465.0,Allan Kaprow,Conceptual Art,"Mirror, Photograph, Wooden Frame",Brown,Neutral,"Collage-Like, Fragmented",Assemblage
466.0,Ronald Ron Davis,Op Art,Spiral Pattern,"Black, Green, Red",Bright,Symmetrical,Geometric
467.0,Ay?e Erkmen,Post-Minimalism,"Light Installation, Person",Multicolored,Bright,Central Perspective,Installation
468.0,Isamu Noguchi,Expressionism,Abstract Human Figure,Dark,Neutral,"Dynamic, Vertical",Sculpture
469.0,Ralph Hotere,Abstract Expressionism,Lines And Shapes,Blue And Gray,Dark,Geometric,Abstract
470.0,Marcel Janco,Dada,Human Face,Beige,Neutral,Collage-Like,Portrait
471.0,Senga Nengudi,Performance Art,,,,,
472.0,Antoni Tàpies i Puig,Tachisme,,Brown,Dark,Asymmetrical,
473.0,Keidō Fukushima,Zen,Chinese Characters,Black And White,Neutral,Horizontal Arrangement,Abstract
474.0,Alex Katz,Pop Art,Figures With Headbands,Light Blue,Neutral,Symmetrical,Portrait
475.0,Willi Baumeister,Cubism,"Geometric Shapes, Facial Profile",Neutral Tones,Neutral,Cubist,Portrait
476.0,Russ Warren,Neo-Pop Art,Bottles And Fruit,Red,Bright,Geometric,Still Life
477.0,Jasper Johns,Abstract Expressionism,"Patterns, Lines","Neutral, White, Gray",Neutral,"Triptych, Geometric",
478.0,Vasiliy Ryabchenko,Expressionism,"Chair, Cat, Clothes","Muted Tones, Reds, Blues",Neutral,Asymmetrical,Still Life
479.0,Julian Opie,Neo-Pop Art,Human Head,Yellow,Bright,Centralized,Portrait
480.0,Evelyne Axell,Pop Art,Human Figures,Multicolored,Bright,Symmetrical,Portrait
481.0,Frank Bowling,Abstract Expressionism,,"Blue, Yellow",Bright,Asymmetrical,
482.0,Pierre Daura,Post-Impressionism,"Trees, Barn, Sheep",Warm Autumn Tones,Bright,Balanced With A Central Focus,Landscape
483.0,Roland Petersen,Neo-Expressionism,"Trees, Tables, Chairs",Blue,Bright,Geometric,Landscape
484.0,Carlos Botelho,Expressionism,,,,,
485.0,John Currin,Contemporary Realism,Human Figure,Yellow,Neutral,Centralized,Portrait
486.0,Leonor Fini,Magic Realism,Woman With A Glove,Earth Tones,Neutral,Centered Figure,Portrait
487.0,Kerry James Marshall,Expressionism,Human Figure,"Black, Green, Red",Dark,Centralized,Portrait
488.0,Navjot Altaf,Conceptual Art,,,,,
489.0,John Harvey McCracken,Light and Space,Cube,Purple,Neutral,Geometric,Still Life
490.0,Oskar Schlemmer,Constructivism,Silhouetted Faces,Gray,Neutral,Minimalist,Portrait
491.0,Marcel Barbeau,Abstract Expressionism,,"Black, White, Beige",Dark,"Chaotic, All-Over Composition",
492.0,"Henry Joseph Darger, Jr.",Art Brut,,,,,
493.0,Candido Portinari,Naïve Art (Primitivism),"Parrot, Trees, Foliage",Green,Bright,"Dense, Layered",Landscape
494.0,"Robert L. Qualters, Jr.",Neo-Expressionism,"Buildings, Street, People",Blue,Dark,"Dynamic, Diagonal Lines",Urban Landscape
495.0,Joseph Farquharson,Realism,"Trees, River, Animal",Earth Tones,Neutral,Vertical Composition With Depth,Landscape
496.0,Lino Tagliapietra,Op Art,Glass Sculptures,"Multicolored (Red, Blue, Yellow)",Bright,Dynamic Arrangement,Still Life
497.0,Agostino Bonalumi,Spatialism,Geometric Forms,White,Neutral,Repetitive Pattern,
498.0,Alberto Giacometti,Expressionism,Seated Person,Monochrome (Black And White),Neutral,"Minimalist, Linear",Portrait
499.0,Baron Adolph de Meyer,Pictorialism,Person,Sepia,Neutral,Centered,Portrait
500.0,Maya Ying Lin,Post-Minimalism,Wooden Sticks/Pieces,Brown,Neutral,"Organic, Three-Dimensional Form",Sculpture
501.0,Richard Serra,Minimalism,Rectangular Form,Black,Neutral,Minimalist Composition,Abstract
502.0,Telemaco Signorini,Realism,"People, Buildings, Street",Earthy Tones,Bright,Diagonal Perspective,Genre Painting
503.0,Jeremy Moon,Post-Painterly Abstraction,Wavy Circle,Orange And Yellow,Bright,Centralized,Geometric
504.0,Martín Chirino López,Abstract Expressionism,Geometric Forms,Black,Neutral,Asymmetrical,Sculpture
505.0,Michelangelo Pistoletto,Conceptual Art,Bench,White,Neutral,Geometric,Still Life
506.0,Barkley L. Hendricks,Pop Art,"Person, T-Shirt With A Face",Yellow,Bright,"Centered, Full-Body Portrait",Portrait
507.0,Albert Oehlen,New European Painting,Abstract Shapes,Multicolored,Bright,Dynamic,Abstract
508.0,Harmonia Rosales,Postcolonial art,Sunflowers And Peacock Feathers,Yellow And Green,Bright,Central Focus,Portrait
509.0,Lenore Lee Krassner,Abstract Expressionism,Human Figures,Pink,Bright,Dynamic,Figurative
510.0,Peter Doig,Magic Realism,,,,,
511.0,Anne Ryan,Abstract Expressionism,"Shapes (Triangles, Rectangles)",Earth Tones,Neutral,Geometric Composition,Abstract
512.0,Allan McCollum,Conceptual Art,Framed Texts,Black And White,Neutral,Grid Pattern,Installation
513.0,António Dacosta,Surrealism,"Child, Centaur",Pastel Tones,Light,Centralized,Mythological
514.0,Nalini Malani,Feminist Art,Human Figures,Red,Dark,Overlapping,Figurative
515.0,Antonietta Brandeis,Realism,"Archway, Columns",Warm Earth Tones,Neutral,Centralized,Architecture
516.0,Ralston Crawford,Purism,Geometric Shapes And Lines,Blue,Bright,Geometric Arrangement,Abstract
517.0,Mary Corse,Light and Space,Square Canvas,White,Neutral,Centralized,Abstract
518.0,Adriana Varej?o,Postcolonial art,Human Figure,Blue,Neutral,Centralized Figure With Patterned Background,Figurative
519.0,Kara Elizabeth Walker,Feminist Art,,,,,
520.0,Henri Cartier-Bresson,,People Holding Signs/Artworks,Black And White,Neutral,"Candid, Informal",Street Photography
521.0,Otto Gustaf Carlsund,Purism,"Human Face, Geometric Shapes","Red, Orange, Grey",Neutral,Geometric,Portrait
522.0,Josè Guerrero,Abstract Expressionism,Shapes,"Black, Yellow, White",Dark,Asymmetrical,
523.0,Roberto Sebastián Antonio Matta Echaurren,Surrealism,"Curved Shapes, Floral Patterns",Earth Tones,Neutral,Asymmetrical,Abstract
524.0,Louise Nevelson,Abstract Expressionism,Abstract Shapes,Rust,Neutral,Vertical Arrangement,Sculpture
525.0,Ana Mendieta,Feminist Art,Figure,Monochrome,Neutral,Centralized,Sculpture
526.0,Edward Joseph Ruscha IV,Pop Art,Gas Station,Black And White,Neutral,"Simple, Centered",Conceptual
527.0,Claes Oldenburg,Pop Art,Ice Cream Cone,Brown And Green,Neutral,Simple,Still Life
528.0,Patrick Heron,Expressionism,"Vessels, Fruits",Blue,Bright,Asymmetrical,Still Life
