generic_name,brand_name,disease_name,indication,active_ingredients,pharmaceutical_form,manufacturer,administration_route,recommended_usage,single_dose,dosage_frequency,mechanism_of_action,side_effects,activation_conditions,prescription_status,unsuitable_population,storage_conditions,"ID"
ethambutol,Myambutol||Aethambutolum||Dadibutol||Diambutol||Etambutol||Etambutolo||Ethambutolum||Etibi||Tibutol,Tuberculosis,bacterial infections,ethambutol,tablet,,oral,other,adults 400 mg,,prevents tuberculosis bacteria from reproducing or growing,"allergic reaction||fever||confusion||disorientation||hallucinations||numbness||tingling in hands, feet, legs, or arms||skin rash||changes in vision||green-red color blindness||blurring of vision||headache||mild dizziness||mild nausea||vomiting||diarrhea||abdominal pain||decrease in appetite||joint pain||worsening symptoms in gout",,prescription_only,patients with cataracts||patients with kidney disease||patients with diabetic retinopathy||patients with optic neuritis||pregnant women||nursing women,,36828
empagliflozin,Jardiance,Type 2 Diabetes,,empagliflozin,tablet,Boehringer Ingelheim,oral,take with or without food,adults 10 mg || adults 25 mg,once daily,helps the kidneys excrete sugar from the bloodstream,Diabetic Ketoacidosis||Kidney failure||Urosepsis||Pyelonephritis||Heart Attack||Kidney Stones||Bone Fractures||Bone Abnormalities||Stroke||Testicular Cancer||Urinary Tract Infections||Severe Dehydration||Fluid Imbalance||Abnormal Weight Loss||Hypersensitivity||Blood Infections||Fungal Infections||Yeast Infections,,prescription_only,,,422147
Insulin Lispro,Humalog,Diabetes Mellitus,high blood glucose,Insulin Lispro,injection,,subcutaneous,before meals||after meals,,,preserves glucose in cells||prevents liver glucose release||hinders protein and fat breakdown||controls sugar production and breakdown,tender swollen glands on neck||itching at injection site||swelling at injection site||redness at injection site||hypoglycemia||low potassium (hypokalemia)||allergic reaction||itching skin rash all over body||feeling like one may pass out,requires specific timing,prescription_only,,,125390
Alpha-interferon,PEG-Intron,hepatitis C,hepatitis C,Alpha-interferon,injection,,subcutaneous,,,,,neuropsychiatric disorders||autoimmune disorders||ischemic disorders||infectious disorders||suicide||depression||psychoses||hallucinations||bipolar disorders||mania||bone marrow suppression||cytopenias||aplastic anemia||hypothyroidism||hyperthyroidism||hyperglycemia||diabetes mellitus||cardiovascular events||arrhythmia||tachycardia||cardiomyopathy||angina pectoris||myocardial infarction||dyspnea||pulmonary infiltrates||pneumonia||bronchiolitis obliterans||interstitial pneumonitis||sarcoidosis||ulcerative colitis||hemorrhagic colitis||ischemic colitis||pancreatitis||autoimmune thyroiditis||autoimmune thrombocytopenia||autoimmune rheumatoid arthritis||autoimmune interstitial nephritis||autoimmune systemic lupus erythematosus||autoimmune psoriasis||vision loss||retinopathy||macular edema||retinal artery thrombosis||retinal vein thrombosis||retinal hemorrhages||cotton wool spots||optic neuritis||papilledema||hypersensitivity reactions||urticaria||angioedema||bronchoconstriction||anaphylaxis||rash,,,patients with creatinine clearance <50 mL/min||patients with significant or unstable cardiac disease||patients with autoimmune disorders||patients with preexisting ophthalmologic disorders||pregnant women||nursing mothers||pediatric patients below the age of 18 years,,8489
Alteplase,,Stroke,blood clot in brain,Alteplase,,,,,,,dissolves blood clots,,,,,,476967
,Yasmin,blood clots||heart attacks||cerebral thrombosis,,,,Bayer,,,,,,blood clots,,,,,43859
Ferric citrate,Auryxia,Hyperphosphatemia||Iron deficiency anemia||Chronic kidney disease,control of serum phosphorus levels||treatment of iron deficiency anemia,Ferric citrate,tablet,Akebia Therapeutics,oral,take with food,adults 2 tablets||adults 1 tablet,three times per day,Ferric iron binds dietary phosphate in the GI tract and precipitates as ferric phosphate||Ferric iron is reduced from the ferric to the ferrous form by ferric reductase in the GI tract,,take with food,,,,510006
Bortezomib,,Multiple Myeloma,multiple myeloma,bortezomib,,,,,,,,,,,,,224528
Aspirin||Codeine,Empirin Codeine,Pain,moderate to severe pain,Aspirin||Codeine,tablet,,oral,other,adults 30 mg 1-2 tablets || adults 60 mg 1 tablet,every four hours as needed,,constipation||nausea||vomiting||heartburn||upset stomach||bloating||gas||diarrhea||dizziness||tired feeling||headache||sweating||increased thirst||mild itching||skin rash,,prescription_only,pregnant women||nursing mothers,,551206
dupilumab,Dupixent,Atopic Dermatitis||Asthma||Chronic Rhinosinusitis with Nasal Polyps,eczema||atopic dermatitis||asthma||chronic rhinosinusitis with nasal polyps,dupilumab,solution||injection,Sanofi Egypt,subcutaneous,other,adults and adolescents (12 years and older) initial 400 mg (two 200 mg injections) || adults and adolescents (12 years and older) initial 600 mg (two 300 mg injections) || adults initial 600 mg (two 300 mg injections) || pediatric patients 15 to <30 kg 600 mg (two 300 mg injections) || pediatric patients 30 to <60 kg 400 mg (two 200 mg injections) || pediatric patients 60 kg or more 600 mg (two 300 mg injections),every other week||every 4 weeks,targets interleukin involved in inflammation,eye pain||watery eyes||pain at injection site||swelling at injection site||burning at injection site||irritation at injection site||eye redness||eye itching||puffy eyelids||insomnia||cold sores||fever blisters,,,,,504787
Ursodiol||Ursodeoxycholic,Actigall||URSO,gallstones||primary biliary cirrhosis||cholestatic conditions||colon cancer||liver cancer||prostate cancer||breast cancer,preventing gallstones||primary biliary cirrhosis||cholestatic conditions||chemoprevention of colon cancer in inflammatory bowel disease||apoptosis induction in liver cancer cells||apoptosis induction in colon cancer||apoptosis induction in prostate cancer cells||apoptosis induction in breast cancer cells,Ursodiol||Ursodeoxycholic acid,,,,,,,decreases cholesterol production in liver and absorption in intestines||breaks down cholesterol gallstones||hepatoprotective||increases bile flow||induces apoptosis in cancer cells||modulates EGFR/Raf-1/ERK signaling,,,,,,258369
Prednisolone,,inflammation||autoimmune condition||Lupus,inflammation||autoimmune condition||Lupus,Prednisolone,,,oral,,dogs 0.1-0.3 mg/lb || dogs with autoimmune condition 1-3 mg/lb,twice every 24 hours || thrice daily,inhibits and alleviates inflammatory reaction,diarrhea||vomiting||restlessness||gasping||increased urination||increased thirst||increased hunger||hypertension||weight gain||hypersensitivity||hives||inflammation of face||inflammation of tongue||inflammation of lips||baldness||lethargy||aggressiveness||peptic ulcer||loss of muscle mass||liver disease||kidney disease||infections,,,pregnant dogs||nursing dogs||dogs with diabetes||dogs taking Novocox||dogs taking Metacam||dogs taking Rimadyl||dogs taking NSAIDs,,383449
Regorafenib,Stivarga,Metastatic Colorectal Cancer||Gastrointestinal Stromal Tumour,metastatic colorectal cancer after standard therapies||metastatic or unresectable gastrointestinal stromal tumours after imatinib and sunitinib,Regorafenib,tablet,Bayer Inc.,oral,at fixed time,adults 160 mg,once daily,"oral multi-kinase inhibitor affecting tumour growth, angiogenesis, oncogenesis, and tumour microenvironment",fatigue||hand-foot-skin reaction||diarrhea||anorexia||asthenia||decreased appetite||mucositis||weight loss||infection||hypertension||dysphonia||hepatotoxicity||hemorrhage||gastrointestinal perforation,no special condition,prescription_only,,,398382
Isoniazid,Isokin,Human immunodeficiency virus infection||diabetes mellitus||gastrointestinal disorders||peptic ulcers||tuberculosis||Mycobacteria kansasii infection||Mycobacteria xenopi infection,preventive treatment of bacterial infections,Isoniazid,tablet||injection||syrup,Pfizer Laboratories Limited,oral,take with or without food||swallowed with water,adults 300 mg,once daily,blocking the cell wall synthesis,severe complications,no special condition,prescription_only,pregnant women||elderly people||patients with nephropathy||patients with neuropathy||patients with cardiovascular disorders,,149973
Stavudine,ZERIT,HIV infection||AIDS,HIV infection,Stavudine,capsule||solution,,oral,at fixed time,newborns 0.5 mg/kg/dose || pediatric patients <30 kg 1 mg/kg/dose || pediatric patients ≥30 kg adult dosage || adults ≥60 kg 20 mg || adults <60 kg 15 mg,every 12 hours||every 24 hours,nucleoside reverse transcriptase inhibitor,peripheral neuropathy||headache||diarrhea||rash||nausea||vomiting||abdominal pain||muscle pain||insomnia||loss of appetite||chills||fever||allergic reactions||blood disorders||hyperglycemia||diabetes||pancreatitis||lactic acidosis||hepatotoxicity||redistribution/accumulation of body fat||severe motor weakness,no special condition,prescription_only,patients with pancreatitis||patients with hepatic decompensation||patients with severe peripheral neuropathy||pregnant women (with caution)||patients with history of lactic acidosis,store at room temperature||refrigerate||keep tightly closed||keep in a dry place||protect from excessive moisture,445144
Vinblastine,,mast cell tumor,mast cell tumor,Vinblastine,,,,,dogs 2mg/m²,12 sessions,,dysorexia||anorexia||emesis||diarrhea||leukopenia,,,,,193067
pegylated interferon alfa-2a||interferon alfa-2a,Pegasys||PEG-Intron||Roferon-A,chronic hepatitis C||chronic hepatitis B||T-cell lymphomas||mycosis fungoides||neovascular age-related macular degeneration,,pegylated interferon alfa-2a,,F. Hoffmann-La Roche,,,,,"antiviral and on the immune system||Interferons are proteins released in the body in response to viral infections. Interferons are important for fighting viruses in the body, for regulating reproduction of cells, and for regulating the immune system.",potential harm,,,,,569402
Sulfamethoxazole with Trimethoprim,Septra,,,Sulfamethoxazole||Trimethoprim,,,,,,,,,,,,,88560
Clavulanic Acid,Augmentin,common cold || bronchitis || tonsillitis,infections,Amoxicillin||Clavulanic Acid,tablet || suspension,GlaxoSmithKline,oral,take with food,adults and children 12 years old and older weighing 40 kg or more 1 tablet of 500 mg + 125 mg,three times a day,inactivates beta-lactamase enzymes,,requires co-administration with other drugs,,,refrigerate,142334
Acyclovir,,Herpes simplex||Genital herpes||Shingles||Chicken pox||Cold sores||Epstein-Barr virus infection,Herpes simplex infection||Genital herpes||Shingles||Chicken pox||Cold sores||Epstein-Barr virus infection,Acyclovir,capsule||tablet||suspension||injection||powder||ointment,,oral||intravenous||topical,oral||intravenous||topical,oral 400mg||oral 800mg,three times daily||twice daily,prevents viral DNA production,seizures||hepatitis||agitation||hypersensitivity reaction||muscle pain||anemia,,prescription_only,,,219293
Promethazine,Phenadoz,Motion Sickness||Nausea||Vomiting||Allergic Rhinitis||Urticaria,nasal congestion||itching nose||runny nose||sneezing||itchy eyes||watery eyes||hives||itchy skin rashes,Promethazine,tablet,,oral,take with or without food,,once every 4 to eight hours,,blurred vision||confusion||fatigue||dizziness||drowsiness||dry mouth||seizures||respiratory depression||malignant neuroleptic syndrome,,prescription_only,children under 2 years old||pregnant women,,1110
Tazobactam,,maxillofacial infections,maxillofacial infections,Piperacillin||Tazobactam,powder,,intravenous,other,adults 4 g piperacillin + 0.5 g tazobactam,every 8 hours,beta-lactamase inhibitor,dyspepsia||dizziness||phlebitis,,,"hypersensitivity to beta-lactamics||moderate or serious renal alteration||hepatic alteration||granulocytopenia less than 1,000/mm3||thrombocytopenia less than 50,000/mm3",,473307
Dextromethorphan Hydrobromide||Guaifenesin,Robitussin DM,Cough||Chest Congestion,cough||chest congestion||mucus||phlegm,Dextromethorphan Hydrobromide 10 mg||Guaifenesin 100 mg,solution,,oral,other,adults (12 years and over) 15 mL,every 6-8 hours||maximum 4 doses per day,,,,,"children under 12 years||pregnant women||nursing women||patients with persistent/chronic cough||patients with shortness of breath||patients with chronic lung disease||patients taking MAOI||patients taking SSRI||patients taking medications for depression, psychiatric, or emotional conditions, or Parkinson's disease",,33372
Fluoxetine Hydrochloride,Prozac,Depression||Obsessive-Compulsive Disorder||Panic Disorder||Bulimia Nervosa,depression||obsessive-compulsive symptoms||panic attacks||eating disorder symptoms,Fluoxetine Hydrochloride,,,oral,at fixed time,adults 20 mg,once daily,inhibits neuron's reabsorption of serotonin,weight gain||headache||nausea||insomnia||nervousness||anorgasmia||decrease in libido||impotence||sexual dysfunction||mania||hypomania||tremor||elevated blood pressure||movement disorder||vasculitis||systemic lupus erythematosus||rash,no special condition,,nursing mothers||infants,,482780
,Prochymal,acute graft-vs-host disease,steroid-refractory acute graft-vs-host disease,mesenchymal stem cells,other,,,,,,,,,,,freeze,200021
,,Hypertension||Chronic kidney disease||Severe congestive heart failure||Volume depletion,,,,,,,,,,,,,,,527404
aflibercept,Eylea,Diabetic macular oedema,macular oedema,aflibercept,injection,Bayer,other,,adults 2 mg,,vascular endothelial growth factor inhibitor,,,prescription_only,,,622702
Azelaic acid,Finacea,Rosacea||Acne,papulopustular acne||papulopustular rosacea,Azelaic acid,other,,topical,other,,twice a day,anti-inflammatory properties||attacks acne-causing bacteria||reduces growth of outermost skin cells,itching||burning||pain||dry skin||allergic reaction,no special condition,prescription_only,people allergic to azelaic acid or any other ingredient listed in the gel,,465357
Antiseptic mouthwash,,HCAI,HCAI,,,,,,,,,,,,,,442177
Tobramycin,Tobi Podhaler,Cystic fibrosis,Pseudomonas aeruginosa infection,Tobramycin,solution||capsule,,inhalation,other,two capsules,twice a day,stops bacterial growth,hoarseness||cough||dry mouth||difficulty speaking||change in taste||changes in the voice||hearing damage||dizziness||decrease in urine||coughing up blood||chest tightness||wheezing||skin rash||itching||swelling of hands||swelling of feet||swelling of face||swelling of tongue||trouble breathing||severe dizziness,,,pediatric patients||geriatric patients||pregnant women||nursing mothers||patients with allergy to aminoglycoside antibiotics||patients with breathing problems||patients with kidney problems||patients with myasthenia gravis||patients with Parkinson's disease||patients with hearing or balance problems,,678
Glimepiride,Amaryl||Glador,Type 2 Diabetes Mellitus,high blood sugar,Glimepiride,tablet,Lupin Limited,oral,take with food||swallowed with water,adults 1 mg,once daily,helps your body respond better to insulin produced by your pancreas,Dizziness||Asthenia||Headache||Nausea||severe skin rash||itching||redness||irritation||pale skin||easy bruising||bleeding||fever||unusual weakness||upper stomach pain||low fever||jaundice||vomiting||loss of appetite||restless||irritable||confusion||hallucinations||muscle pain||muscle weakness||seizure||tired feeling||stomach pain||diarrhea||increased skin sensitivity to sunlight,no special condition,prescription_only,patients hypersensitive to glimepiride||patients hypersensitive to other sulfonylureas||patients hypersensitive to other sulfonamides||patients with type I diabetes mellitus||patients with diabetic ketoacidosis||patients with diabetic precoma or coma||pregnant women||nursing women,,203427
Octreotide,,Esophageal varices bleeding||Gastric varices bleeding||Pancreatic complications||Gastrointestinal endocrine tumors||Carcinoid syndrome||VIPoma||Glucagonoma||Gastrinoma||Zollinger-Ellison syndrome||Pancreatic tumors||Growth hormone releasing factor tumor||Acromegaly,Esophageal-gastric varices bleeding||Prevention of pancreatic complications||Symptoms of gastrointestinal endocrine tumors||Carcinoid syndrome||VIPoma||Glucagonoma||Gastrinoma||Zollinger-Ellison syndrome||Pancreatic tumors||Growth hormone releasing factor tumor||Symptoms of acromegaly,Octreotide Acetate,injection,"Beijing Chemeebio Pharma-tech Co., Ltd.",intravenous||subcutaneous,other,Esophageal-gastric varices bleeding 0.025 mg/hour intravenous infusion || Prevention of pancreatic complications 0.1 mg subcutaneous injection || Gastrointestinal pancreatic endocrine tumors 0.05 mg subcutaneous injection || Acromegaly 0.05~0.1 mg subcutaneous injection,continuous infusion||three times a day||once or twice a day||once every 8 hours,,,,,,protect from light||store in a cool place,205115
Rifaximin,Alf Normix,Gastrointestinal infections||Traveler's diarrhea||Small intestinal bacterial overgrowth||Hepatic encephalopathy||Diverticular disease||Chronic intestinal inflammation,Acute gastrointestinal infections||Traveler's diarrhea||Small intestinal bacterial overgrowth||Hepatic encephalopathy||Uncomplicated diverticular disease||Chronic intestinal inflammation||Prevention of infectious complications in colorectal surgery,Rifaximin,tablet,Alfasigma S.p.A./Alfa Wassermann (Italy),oral,,adults and children over 12 years 200 mg each 8 hours up to 400 mg each 8-12 hours || children 6-12 years 200 mg each 8-12 hours up to 400 mg each 12 hours || adults and children over 12 years (prevention) 400 mg each 12 hours || children 6-12 years (prevention) 200-400 mg each 12 hours || adults and children over 12 years (hyperammonemia) 400 mg each 8 hours || children 6-12 years (hyperammonemia) 200-300 mg each 8 hours,every 8 hours||every 8-12 hours||every 12 hours,"Irreversibly binds to the beta subunit of bacterial DNA-dependent RNA polymerase, inhibiting RNA and protein synthesis, resulting in bactericidal activity",dizziness||headache||nausea||vomiting||abdominal pain||diarrhea||flatulence||loss of appetite||urticarial skin rash||allergic dermatitis,no special condition,,individuals with hypersensitivity to any component of the drug or other rifamycin antibiotics||patients with intestinal obstruction||patients with ulcerative colitis,,489250
Metronidazole,Flagyl,Inflammation of the large intestine||Giardia infection||Bacterial infections,Diarrhea||Intestinal inflammation||Parasites,Metronidazole,,,oral||topical,,,,Destroys and prevents the creation of DNA in the infecting organisms||Inhibits repair enzymes in the cells that exist in anaerobic environments,Gagging||Regurgitation||Paralysis in all four legs||Hives||Rash||Rapid heartbeat||Difficulty breathing||Irregular heartbeat||Abnormally slow heartbeat,,prescription_only,Pregnant females||Young puppies||Pets with unspecified conditions,,658631
Acitretin,Soriatane,Psoriasis,plaque psoriasis || guttate psoriasis || pustular psoriasis || erythrodermic psoriasis || palmoplantar psoriasis,Acitretin,capsule,,oral,take with food,adults 10 mg || adults 25 mg,once a day,"controls the multiplication of cells, including the speed at which skin cells grow and shed",hair loss || chapped lips || dry mouth || dry skin || dry eyes || bleeding gums || nose bleeds || increased sensitivity to sunlight || peeling fingertips || nail changes || changes in blood fat levels || depression || aggressive thoughts || thoughts of self-harm || headache || joint pain || decreased night vision || elevated liver enzymes,,prescription_only,pregnant women || women planning to become pregnant || breastfeeding women || patients with severe liver disease || patients with severe kidney disease || patients with high triglycerides || patients allergic to retinoids,,39628
,,,,,,,,,,,,,,,,,80393
Nebivolol,,Hypertension,high blood pressure,Nebivolol,tablet,"Ascend Laboratories, LLC",oral,take with or without food,most patients 5 mg || patients with severe renal impairment 2.5 mg || patients with moderate hepatic impairment 2.5 mg,once daily,"β-adrenergic receptor blocking; preferentially β1 selective at ≤10 mg; decreases heart rate, decreases myocardial contractility, diminishes sympathetic outflow, suppresses renin activity, vasodilation",headache||fatigue||bradycardia||diarrhea||nausea||chest pain||peripheral edema||dizziness||insomnia||dyspnea||rash||asthenia||abdominal pain||hypercholesterolemia||paraesthesia,no special condition,prescription_only,patients with severe bradycardia||heart block greater than first degree||patients with cardiogenic shock||decompensated cardiac failure||sick sinus syndrome (unless a permanent pacemaker is in place)||patients with severe hepatic impairment (Child-Pugh greater than B)||hypersensitive to any component of this product||children under 18,store at room temperature||keep tightly closed||protect from light,88704
Grapefruit Seed Extract,,Diabetes||Heart Disease||Urinary Tract Infections||Gastric Ulcers||Candida Infection||Dengue Fever,infections||digestive problems||microbial contamination||weight loss||oral health||skin disorders||inflammation||oxidative stress,polyphenols||flavonoids||citric acid||Vitamin C||Vitamin E||naringin||naringenin||hesperidin,capsule||tablet||powder||solution,,oral,other,,,antioxidant activity||antimicrobial activity||improves insulin sensitivity||reduces inflammation||protects cells from oxidative stress,depletes healthy gut bacteria,,unclassified,pregnant women||breastfeeding women||children,,408059
Mycophenolate mofetil,Cell Cept,Tumor||Liver transplant,Organ rejection prevention||Tumor growth inhibition,Mycophenolate mofetil,capsule||tablet||injection,,oral||intravenous,,250 mg capsule||500 mg tablet||500 mg intravenous,,Suppresses T cells and B cells in the lymphatic system,Lymphoma||Skin cancer||Dizziness||Headache||Trembling||Chest pain||Edema||Hypertension||Constipation||Diarrhea||Vomiting||Hemorrhage,other,,Women using oral contraceptives,,87524
Gabapentin,Neurontin®||Lyrica®,Partial onset seizures,partial onset seizures,Gabapentin,,,,,adults and children 1 year and older [dose not specified],,,,,,,,117088
5-fluorouracil,,cancer,,5-fluorouracil,,,,,,,damages oligodendrocytes and dividing precursor cells in the central nervous system,long-term brain damage||healthy brain cells die off,,,,,158188
tadalafil,Cialis,erectile dysfunction||benign prostatic hyperplasia||pulmonary arterial hypertension,erectile dysfunction||benign prostatic hyperplasia symptoms||pulmonary arterial hypertension,tadalafil,tablet,,oral,,adults 5 mg || adults 10 mg || adults 20 mg,once daily||not more than once per day||not more than once in every 48 hours,"improves blood circulation in penile vessels, supporting erection",headache||back pain||muscle aches||pain in arms and legs||facial flushing||nasal congestion||indigestion||dizziness,requires stimulation,prescription_only,patients taking nitrate containing medicines for cardiac insufficiency||patients with heart failure II stage||angina||complex forms of arrhythmias||resistant hypertension||states associated with a drop in blood pressure,,523775
Flibanserin,Fliban,Hypoactive Sexual Desire Disorder,low sexual desire||female libido disorder,Flibanserin,tablet,Centurion Remedies Ltd.,oral,at fixed time,adults 100 mg,once daily,"post-synaptic 5HT1A receptor agonist and 5HT2A receptor antagonist; regulates dopamine, norepinephrine, and serotonin",dizziness||somnolence||nausea||fatigue||insomnia||dry mouth||anxiety||constipation||abdominal pain||metrorrhagia||rash||sedation||vertigo,requires specific timing,,men||postmenopausal women||children||patients with hepatic impairment||patients using alcohol||patients using moderate or strong CYP3A4 inhibitors||patients with hypersensitivity to Flibanserin or any inactive ingredient,store at room temperature||protect from light||keep in a dry place,97675
Glutathione,,,,Glutathione,solution,,intravenous,,,,,,,,,,534541
Warfarin,,Pulmonary thromboembolism,pulmonary thromboembolism,,,,,other,,,,major bleeding||minor bleeding,other,,,,120687
Diazepam,Valium,Alcohol withdrawal||Anxiety disorders||Muscle spasms||Stiffness||Seizures||Panic attacks||Vertigo||Insomnia,Alcohol withdrawal symptoms||Anxiety||Muscle spasms||Stiffness||Seizures||Panic attacks||Agitation||Vertigo||Opiate withdrawal||Benzodiazepine withdrawal||Sedation||Insomnia,Diazepam,tablet||solution||spray,,oral||nasal,take with or without food,,,Enhancing the activity of specific neurotransmitters of the brain,Dizziness||Drowsiness||Blurred vision||Tiredness||Unsteadiness||Loss of coordination||Hallucinations||Agitation||Restlessness||Memory problems||Confusion||Depression||Fever||Chills||Sore throat||Shallow breathing,no special condition,,Allergic to Valium or other benzodiazepines||Pregnant women||Nursing mothers||Older adults,,285863
Mupirocin,Bactroban,impetigo||folliculitis||furunculosis||ecthyma||infected eczema||infected injuries||minor wounds||minor burns,"skin infections||prevention of bacterial infection of small wounds, cuts and other skin lesions||local infections of the nasal cavity",Mupirocin,cream||ointment,,topical||nasal,other,,up to three times a day,inhibits protein synthesis in the bacterial cell due to the oppression of isoleucine transport RNA (ribonucleic acid) - synthetase,skin itching||burning||eczema||erythema||allergic reactions||nausea||pain in the stomach||headache,no special condition,,people with individual intolerance of the active or additional elements of the drug||children younger than two months (ointment)||children under one year (cream)||people of old age (cautiously)||people with severe kidney dysfunction (cautiously),store at room temperature||avoid freezing||store below 25C or 77F,242987
Clarithromycin,Biaxin,Conjunctivitis||Pneumonia||Urogenital infections||Listeriosis||Bronchitis||Tonsillitis||Pharyngitis||Skin infections||Subcutaneous tissue infections||Leprosy||Helicobacter pylori infection||Lyme disease,Conjunctivitis||Pneumonia||Urogenital infection||Listeriosis||Bronchitis||Tonsillitis||Pharyngitis||Skin infection||Subcutaneous tissue infection||Helicobacter pylori eradication||Leprosy||Lyme disease,Clarithromycin,tablet||granule,,oral,take with or without food||take with food,adults 250-500mg||children 15mg/kg daily,twice a day,inhibits bacterial protein synthesis,dizziness||vertigo||confusion||disorientation,,,"patients allergic to Clarithromycin or other macrolide antibiotics||patients using Ergotamine, Dihydroergotamine, or other ergot alkaloids||patients using Terfenadine or Astemizole||patients using Cisapride||patients using statins (Lovastatin, Atorvastatin, Simvastatin, Rosuvastatin, Fluvastatin)||patients with hypokalaemia||patients with impaired liver function||patients with kidney damage||patients with cardiac problems",,317871
