pdf_filename,paper_name,author,institute,topic,uses_knowledge_graph,reasoning_depth,baseline,retrieval_method,generator_model,uses_reranker,data_modality,evaluation_dataset,evaluation_metric,application_domain,use_agent,agent_framework,performance_on_hotpotqa,performance_on_NQ,multi_turn_retrieval,baseline_amount
2407.09252v3_Context-Embeddings-for-Efficient-Answer-Generation-in-RAG.pdf,Context Embeddings for Efficient Answer Generation in RAG,David Rau; Shuai Wang; Hervé Déjean; Stéphane Clinchant,University of Amsterdam; The University of Queensland; Naver Labs Europe,Retrieval-Augmented Generation,No,multi-hop,RAG; Closed Book; Autocompressor; ICAE; xRAG,Sparse Retrieval,Mistral-7B-Instruct-v0.2,Yes,Text,Natural Questions; TriviaQA; HotpotQA; ASQA; PopQA,EM; Match,General,No,,EM (x4 compression): 0.430; EM (x16 compression): 0.426; EM (x128 compression): 0.378,COCOM-light (ξ=4) EM: 0.539; COCOM-light (ξ=16) EM: 0.492; COCOM-light (ξ=128) EM: 0.444; COCOM (ξ=4) EM: 0.554; COCOM (ξ=16) EM: 0.539; COCOM (ξ=128) EM: 0.511,No,5
2407.10670v1_Enhancing-Retrieval-and-Managing-Retrieval-A-Four-Module-Synergy-for-Improved-Quality-and-Efficiency.pdf,Enhancing Retrieval and Managing Retrieval: A Four-Module Synergy for Improved Quality and Efficiency in RAG Systems,Yunxiao Shi; Xing Zi; Zijing Shi; Haimin Zhang; Qiang Wu; Min Xu,University of Technology Sydney,Retrieval-Augmented Generation,No,multi-hop,Direct; Rewriter-Retriever-Reader; Rewriter+-Retriever-Reader;  Rewriter+-Retriever-Filter-Reader ,Web Search,GPT-3.5-turbo-0613,No,Text,Natural Questions (NQ); PopQA; AmbigNQ; 2WIKIMQA; HotPotQA; CAmbigNQ,F1 Score; Hit Rate,General,No,,F1: 57.59; Hit Rate: 50.00,F1: 52.68; Hit Rate: 51.33,No,4
2407.12216v2_Mindful-RAG-A-Study-of-Points-of-Failure-in-Retrieval-Augmented-Generation.pdf,Mindful-RAG: A Study of Points of Failure in Retrieval Augmented Generation,Garima Agrawal; Tharindu Kumarage; Zeyad Alghamdi; Huan Liu,"School of Computing and Augmented Intelligence, Arizona State University, Tempe, USA",Retrieval-Augmented Generation,Yes,multi-hop,KAPING; Retrieve-Rewrite-Answer (RRA); Reasoning on Graphs (RoG); StructGPT; ChatGPT without RAG,Graph-based Retrieval,ChatGPT (GPT-3.5),Yes,Text,WebQSP; MetaQA,Hits@1,Medical; Legal; Academic; General,No,,,,Yes,5
2407.18553v2_REAPER-Reasoning-based-Retrieval-Planning-for-Complex-RAG-Systems.pdf,REAPER: Reasoning based Retrieval Planning for Complex RAG Systems,Ashutosh Joshi; Sheikh Muhammad Sarwar; Samarth Varshney; Sreyashi Nag; Shrivats Agrawal; Juhi Naik,amazon.com,Retrieval-Augmented Generation,No,multi-hop,Claude-Sonnet; Ensemble Classifier (Roberta models); Mistral-7B-Instruct-v0.2,Dense Retrieval; Other,Mistral 7B,No,Text,"a balanced evaluation
set of 600 queries",Precision; Recall; F1; Tool Accuracy; Argument Accuracy,Other,Yes,CoT,,,Yes,3
2407.19794v2_Introducing-a-new-hyper-parameter-for-RAG-Context-Window-Utilization.pdf,Introducing a new hyper-parameter for RAG: Context Window Utilization,KUSH JUVEKAR; ANUPAM PURWAR,Independent; I-Venture at Indian School of Business,Retrieval-Augmented Generation,No,single-hop,Llama3-70B-Instruct; Mixtral-8x7B-Instruct-v0.1,Dense Retrieval,Llama3-70B-Instruct; Mixtral-8x7B-Instruct-v0.1; Mistral Large,No,Text,Wikipedia articles; legal documents; research papers,Semantic Similarity Score,General; Academic; Legal; Government,No,,,,No,2
2407.19994v3_A-Study-on-the-Implementation-Method-of-an-Agent-Based-Advanced-RAG-System-Using-Graph.pdf,A Study on the Implementation Method of an Agent-Based Advanced RAG System Using Graph,Cheonsu Jeong,SAMSUNG SDS,Retrieval-Augmented Generation,Yes,multi-hop,,Dense Retrieval; Web Search,GPT-4-turbo,Yes,Text,,,General,Yes,Multi-Agent Collaboration,,,Yes,0
2408.01462v1_Faculty-Perspectives-on-the-Potential-of-RAG-in-Computer-Science-Higher-Education.pdf,Faculty Perspectives on the Potential of RAG in Computer Science Higher Education,SAGNIK DAKSHIT,"The University of Texas at Tyler, USA",Retrieval-Augmented Generation,No,single-hop,,Dense Retrieval,Gemini,No,Text; Code; Image,,,Education; Academic,No,,,,No,0
2408.04870v5_ConfusedPilot-Confused-Deputy-Risks-in-RAG-based-LLMs.pdf,ConfusedPilot: Confused Deputy Risks in RAG-based LLMs,Ayush RoyChowdhury; Mulong Luo; Prateek Sahu; Sarbartha Banerjee; Mohit Tiwari,The University of Texas at Austin; Symmetry Systems,Retrieval-Augmented Generation,No,single-hop,"Copilot for Microsoft
365",Dense Retrieval,,No,Text,HotpotQA,Time delay; Time window size,General,No,,,,No,2
2408.05933v1_Optimizing-RAG-Techniques-for-Automotive-Industry-PDF-Chatbots-A-Case-Study-with-Locally-Deployed-Ol.pdf,Optimizing RAG Techniques for Automotive Industry PDF Chatbots: A Case Study with Locally Deployed Ollama Models,Fei Liu; Zejun Kang; Xing Han,China Automotive Technology & Research Center,Retrieval-Augmented Generation,No,multi-hop,Naive RAG; Self-RAG Agent,Hybrid Retrieval,Ollama,Yes,Text; Table; Image,QReCC; CoQA; self-constructed dataset,Context Precision; Faithfulness; Answer Relevancy; Context Recall,Academic; Other,Yes,Other,,,Yes,2
2408.06272v1_A-RAG-Based-Question-Answering-Solution-for-Cyber-Attack-Investigation-and-Attribution.pdf,A RAG-Based Question-Answering Solution for Cyber-Attack Investigation and Attribution,Sampath Rajapaksha; Ruby Rani; Erisa Karafili,University of Southampton,Retrieval-Augmented Generation,No,multi-hop,GPT-3.5; GPT-4o,Dense Retrieval,Mistral-7B; Llama; Zephyr,No,Text,AttackER,faithfulness; answer relevancy; context precision; context recall; context entity recall; context relevancy; answer similarity; answer correctness,Government,No,,,,No,2
2408.07611v2_WeKnow-RAG-An-Adaptive-Approach-for-Retrieval-Augmented-Generation-Integrating-Web-Search-and-Knowle.pdf,WeKnow-RAG: An Adaptive Approach for Retrieval-Augmented Generation Integrating Web Search and Knowledge Graphs,Weijian Xie; Xuefeng Liang; Yuhui Liu; Kaihua Ni; Hong Cheng; Zetian Hu,"Ping An Bank Co., Ltd.; Tsinghua University; Central South University; Shanghai Yiwo Information Technology Co., Ltd.; Kwangwoon University, Department of Computer Engineering",Retrieval-Augmented Generation,Yes,multi-hop,llama-3-70b-instruct-awq,Hybrid Retrieval,llama-3-70b-instruct-awq,Yes,Text,CRAG,Accuracy; Hallucination; Missing; Score; Exact Accuracy,Finance; Sports; Art; General,Yes,CoT,,,Yes,1
2408.08535v1_CommunityKG-RAG-Leveraging-Community-Structures-in-Knowledge-Graphs-for-Advanced-Retrieval-Augmented.pdf,CommunityKG-RAG: Leveraging Community Structures in Knowledge Graphs for Advanced Retrieval-Augmented Generation in Fact-Checking,Rong-Ching Chang; Jiawei Zhang,"University of California, Davis",Retrieval-Augmented Generation,Yes,multi-hop,No Retrieval; Semantic Retrieval; KAPING,Graph-based Retrieval,LLaMa2 7B; LLaMa3 8B,No,Text,MOCHEG,Accuracy,General,No,,,,No,3
2408.09199v1_TC-RAGTuring-Complete-RAGs-Case-study-on-Medical-LLM-Systems.pdf,TC–RAG: Turing–Complete RAG’s Case study on Medical LLM Systems,Xinke Jiang; Yue Fang; Rihong Qiu; Haoyu Zhang; Yongxin Xu; Hao Chen; Wentao Zhang; Ruizhe Zhang; Yuchen Fang; Xu Chu; Junfeng Zhao; Yasha Wang,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Computer Science, Peking University, Beijing, China; School of Statistics and Mathematics, Zhongnan University of Economics and Law, Wuhan, China; University of Chinese Academy of Science, Beijing, China; School of Computer Science, University of Electronic Science and Technology of China, Chengdu, China",Retrieval-Augmented Generation,Yes,multi-hop,Base; CoT; SR-RAG; FL-RAG; FS-RAG; CoK; SuRe; HyKGE; ReACT; Self-RAG; FLARE; DRAGIN,Dense Retrieval; Graph-based Retrieval; Web Search,Qwen-32B,No,Text,MMCU-Medical; CMB-Exam; CMB-Clin,EM; ROUGE-R; BLEU-1; BLEU-4,Medical,Yes,Other,,,Yes,12
2408.12003v2_RAG-Optimized-Tibetan-Tourism-LLMs-Enhancing-Accuracy-and-Personalization.pdf,RAG-Optimized Tibetan Tourism LLMs: Enhancing Accuracy and Personalization,Jinhu Qi; Shuai Yan; Yibo Zhang; Wentao Zhang; Rong Jin; Yuwei Hu; Ke Wang,Chengdu Jincheng College,Retrieval-Augmented Generation,No,single-hop,Fine-tuning; SFT; ORPO,Dense Retrieval,ChatGLM3-6b; Baichuan2-7b; Qwen-7b-chat; Llama3-8b,No,Text,Ctrip Travel; Wikipedia,avg hit count; avg hit rate; Fluency; Accurate Rate; Relevance; Overall Score; BERTscore,Other,No,,,,No,3
2409.11242v4_Measuring-and-Enhancing-Trustworthiness-of-LLMs-in-RAG-through-Grounded-Attributions-and-Learning-to.pdf,MEASURING AND ENHANCING TRUSTWORTHINESS OFLLMS IN RAG THROUGH GROUNDED ATTRIBUTIONSAND LEARNING TO REFUSE,Maojia Song; Shang Hong Sim; Rishabh Bhardwaj; Hai Leong Chieu; Navonil Majumder; Soujanya Poria,Singapore University of Technology and Design; DSO National Laboratories,Retrieval-Augmented Generation,No,single-hop,ICL; PostCite; PostAttr; Self-RAG; FRONT,Dense Retrieval; Other,LLaMA-2-7b; LLaMA-2-13b; LLaMA-3-8b; Qwen-2.5-0.5b; Qwen-2.5-7b; Phi3.5-mini,No,Text,ASQA; QAMPARI; ELI5; ExpertQA,TRUST-SCORE; F1_AC; F1_GR; F1_GC; AR (%),General,Yes,Other,,,No,5
2409.11279v1_P-RAG-Progressive-Retrieval-Augmented-Generation-For-Planning-on-Embodied-Everyday-Task.pdf,P-RAG: Progressive Retrieval Augmented Generation For Planning on Embodied Everyday Task,Weiye Xu; Min Wang; Wengang Zhou; Houqiang Li,"University of Science and Technology of China, China; Institute of Artificial Intelligence, Hefei Comprehensive National Science Center Hefei, China",Retrieval-Augmented Generation,No,multi-hop,HiTUT; HLSM; E.T.; M-TRACK; LLM-Planer; Saycan; GPT-4; GPT-3.5,Dense Retrieval,GPT-4; GPT-3.5,No,Text; Image,MINI-BEHAVIOR; ALFRED,SR (Success Rates); SPL (Success weighted by Path Length),General,Yes,Other,,,Yes,8
2409.13992v1_SMART-RAG-Selection-using-Determinantal-Matrices-for-Augmented-Retrieval.pdf,SMART-RAG: Selection using Determinantal Matrices for Augmented Retrieval,Jiatao Li; Xinyu Hu; Xiaojun Wan,"Wangxuan Institute of Computer Technology, Peking University; Information Management Department, Peking University",Retrieval-Augmented Generation,No,multi-hop,BGE; CONTRIEVER; AGGLOMERATIVECLUSTERING; GREEDY; MMR; NMF; SPECTRALCLUSTERING; TEXTRANK; LEXRANK; RANDOM,Dense Retrieval,Llama3-8b-instruct,Yes,Text,NaturalQuestions; TriviaQA; HotpotQA; FEVER; FOOL ME TWICE,EM; F1; Accuracy,General; Legal; Medical; Education,No,,F1: 40.8,EM: 25.9,No,10
2409.15566v1_GEM-RAG-Graphical-Eigen-Memories-For-Retrieval-Augmented-Generation.pdf,GEM-RAG: Graphical Eigen Memories For Retrieval Augmented Generation,Brendan Hogan Rappazzo; Yingheng Wang; Aaron Ferber; Carla Gomes,Cornell University,Retrieval-Augmented Generation,No,multi-hop,RAPTOR; Embed,Graph-based Retrieval,UnifiedQA; GPT-3.5 Turbo,No,Text,QuALITY; Qasper,Accuracy; F1,General; Academic,No,null,null,null,No,2
2409.18313v5_Embodied-RAG-General-Non-parametric-Embodied-Memory-for-Retrieval-and-Generation.pdf,Embodied-RAG: General Non-parametric Embodied Memory for Retrieval and Generation,Quanting Xie; So Yeon Min; Pengliang Ji; Yue Yang; Tianyi Zhang; Kedi Xu; Aarav Bajaj; Ruslan Salakhutdinov; Matthew Johnson-Roberson; Yonatan Bisk,Carnegie Mellon University， Apochs,Retrieval-Augmented Generation,No,multi-hop,Naive-RAG; GraphRAG; LightRAG,Hybrid Retrieval,GPT-4o; GPT-4,Yes,Image; Text,Embodied-Experiences Dataset,"P(Q|A); P(Q|A,L); SS(A,A_e); NI. Path Length",General,Yes,ToT,null,null,No,3
2409.20042v2_Beyond-Scores-A-Modular-RAG-Based-System-for-Automatic-Short-Answer-Scoring-with-Feedback.pdf,BEYOND SCORES: A MODULAR RAG-BASED SYSTEM FOR AUTOMATIC SHORT ANSWER SCORING WITH FEEDBACK,Menna Fateen; Bo Wang; Tsunenori Mine,Graduate School of Information Science and Electrical Engineering Kyushu University; Faculty of Information Science and Electrical Engineering Kyushu University,Retrieval-Augmented Generation,No,single-hop,majority class classifier; T5 model fine-tuned on the SAF dataset; Llama2:7b model fine-tuned on the SAF dataset,Dense Retrieval,Mistral:7b; Mixtral:8x22b; Llama3:8b; Llama3:70b,No,Text,Short Answer Feedback (SAF) Dataset,Accuracy; F1 score; RMSE; BLEU; ROUGE; BERTScore; Clarity,Education,No,null,null,null,No,3
2410.01782v1_Open-RAG-Enhanced-Retrieval-Augmented-Reasoning-with-Open-Source-Large-Language-Models.pdf,OPEN-RAG: Enhanced Retrieval-Augmented Reasoning with Open-Source Large Language Models,Shayekh Bin Islam; Md Asib Rahman; K S M Tozammel Hossain; Enamul Hoque; Shafiq Joty; Md Rizwan Parvez,"Bangladesh University of Engineering and Technology; University of North Texas; York University, Canada; Salesforce Research; Qatar Computing Research Institute (QCRI); Fatima Al-Fihri Predoctoral Fellowship; Cohere For AI Community",Retrieval-Augmented Generation,No,single-hop,Llama2-7B; Llama2-13B; SAIL-7B; Alpaca-7B; Alpaca-13B; ChatGPT; CoVE65B; RAG-ChatGPT; RAG 2.0; RAG-Command R+; RQ-RAG7B(ToT); Perplexity.ai; Self-RAG-7B; Self-RAG-13B; LongChat-13B,Dense Retrieval,Llama2-7B; Llama2-13B,No,Text,PopQA; TriviaQA-unfiltered; PubHealth; Bio; ALCE-ASQA; HotpotQA; MuSiQue; 2WikiMultiHopQA,Accuracy; FactScore; str-em; MAUVE; EM; F1,General; Medical; Academic,No,null,EM: 63.3; F1: 76.9,null,No,15
2410.05983v1_Long-Context-LLMs-Meet-RAG-Overcoming-Challenges-for-Long-Inputs-in-RAG.pdf,Long-Context LLMs Meet RAG: Overcoming Challenges for Long Inputs in RAG,Bowen Jin; Jinsung Yoon; Jiawei Han; Sercan Ö. Arık,Google Cloud AI Research; University of Illinois at Urbana-Champaign,Retrieval-Augmented Generation,No,multi-hop,Chat model with retrieval augmentation; Direct SFT,Sparse Retrieval; Dense Retrieval,Gemma-7B-Chat; Gemma-2-9B-Chat; Mistral-Nemo-12B-Instruct; Gemini-1.5-pro; Gemma-2-9B-Base; Mistral-Nemo-12B-Base; Gemini-1.0-Pro,Yes,Text,Natural Questions (NQ); PopQA; TriviaQA; HotpotQA; 2wikimultihopqa; Webquestions; Bamboogle; ASQA; T-REx; zsRE; MT-Bench,Accuracy; Recall; Precision,General,No,null,Accuracy: ~0.62,Accuracy: 0.6294; Accuracy: 0.6033,No,2
2410.10136v1_Beyond-RAG-Question-Identification-and-Answer-Generation-in-Real-Time-Conversations.pdf,Beyond-RAG: Question Identification and Answer Generation in Real-Time Conversations,Garima Agrawal; Sashank Gummuluri; Cosimo Spera,Arizona State University; Minerva CQ,Retrieval-Augmented Generation,No,single-hop,null,Dense Retrieval,Claude-3.5-Sonnet; Mistral-small; 7B; LLaMA-8B; Claude-3-Haiku; GPT-4o-mini,No,Text,Historical call transcripts,Latency,General,Yes,Multi-Agent Collaboration,null,null,Yes,0
2410.13293v2_SBI-RAG-Enhancing-Math-Word-Problem-Solving-for-Students-through-Schema-Based-Instruction-and-Retrie.pdf,SBI-RAG: Enhancing Math Word Problem Solving for Students through Schema-Based Instruction and Retrieval-Augmented Generation,Prakhar Dixit; Tim Oates,University of Maryland Baltimore County,Retrieval-Augmented Generation,No,multi-hop,GPT-4; GPT-3.5 Turbo,Dense Retrieval,Llama 3.1,Yes,Text,GSM8K; Schema-Based Instruction Dataset,reasoning score; accuracy; precision; recall; F1-scores; paired sample t-test; clarity; logical progression; completeness; total rating,Education,No,null,null,null,No,2
2410.13339v2_Probing-RAG-Self-Probing-to-Guide-Language-Models-in-Selective-Document-Retrieval.pdf,Probing-RAG: Self-Probing to Guide Language Models in Selective Document Retrieval,Ingeol Baek; Hwan Chang; Byeongjeong Kim; Jimin Lee; Hwanhee Lee†,"Department of Artificial Intelligence, Chung-Ang University, Seoul, Korea",Retrieval-Augmented Generation,No,multi-hop,No Retrieval; Single-step Approach; LLM-based; FLARE; DRAGIN; Adaptive RAG,Sparse Retrieval,Gemma-2b; Mistral-7b,No,Text,NaturalQA; TriviaQA; HotpotQA; MuSiQue; 2WikimultihopQA,EM; ACC,General,No,null,"Gemma-2b: EM 21.8, ACC 39.4; Mistral-7b: EM 22.4, ACC 38.6","Gemma-2b - EM: 21.6, ACC: 35.0; Mistral-7b - EM: 20.8, ACC: 39.4",Yes,6
2410.13509v2_RAG-DDR-Optimizing-Retrieval-Augmented-Generation-Using-Differentiable-Data-Rewards.pdf,RAG-DDR: OPTIMIZING RETRIEVAL-AUGMENTED GENERATION USING DIFFERENTIABLE DATA REWARDS,Xinze Li; Sen Mei; Zhenghao Liu; Yukun Yan; Shuo Wang; Shi Yu; Zheni Zeng; Hao Chen; Ge Yu; Zhiyuan Liu; Maosong Sun; Chenyan Xiong,Northeastern University; Tsinghua University; Carnegie Mellon University,Retrieval-Augmented Generation,No,multi-hop,LLM w/o RAG; Vanilla RAG; REPLUG; Self-RAG; RA-DIT,Dense Retrieval,Minicpm-2.4B-sft; Llama3-8B-Instruct,Yes,Text,NQ; TriviaQA; MARCO QA; HotpotQA; T-REx; WoW,Rouge-L; F1; Accuracy,General,Yes,Other,MiniCPM-2.4B Accuracy: 33.2; Llama3-8B Accuracy: 39.0,MiniCPM-2.4B (w/ 1-Round) Accuracy: 47.0; MiniCPM-2.4B (w/ 2-Round) Accuracy: 47.6; Llama3-8B (w/ 1-Round) Accuracy: 50.7; Llama3-8B (w/ 2-Round) Accuracy: 52.1,No,5
2410.13865v1_Classifying-Peace-in-Global-Media-Using-RAG-and-Intergroup-Reciprocity.pdf,Classifying Peace in Global Media Using RAG and Intergroup Reciprocity,Kevin Lian; Larry S. Liebovitch; Melissa Wild; Harry West; Peter T. Coleman; Francine Chen; Everlyne Kimani; Kate Sieck,"Fu Foundation School of Engineering and Applied Science, Columbia University; AC4 in the Climate School, Columbia University; Indust.l Engr. & Ops. Research, Columbia University; Teachers College, Columbia University; Harmonious Communities, Human-Centered AI, Toyota Research Institute",Retrieval-Augmented Generation,No,single-hop,,Dense Retrieval,,No,Text,News On the Web (NOW),Percentage Closer to PIR (Normalized),General; Government,No,,null,null,Yes,0
2410.15944v1_Developing-Retrieval-Augmented-Generation-RAG-based-LLM-Systems-from-PDFs-An-Experience-Report.pdf,Developing Retrieval Augmented Generation (RAG) based LLM Systems from PDFs: An Experience Report,Ayman Asad Khan; Md Toufique Hasan; Kai Kristian Kemell; Jussi Rasku; Pekka Abrahamsson,Tampere University,Retrieval-Augmented Generation,No,single-hop,null,Dense Retrieval,GPT Series; Llama 3.1,No,Text,null,null,General,Yes,Other,null,null,Yes,0
2410.18104v1_ENWAR-A-RAG-empowered-Multi-Modal-LLM-Framework-for-Wireless-Environment-Perception.pdf,ENWAR: A RAG-empowered Multi-Modal LLM Framework for Wireless Environment Perception,Ahmad M. Nazar; Abdulkadir Celik; Mohamed Y. Selim; Asmaa Abdallah; Daji Qiao; Ahmed M. Eltawil,Iowa State University; KAUST,Retrieval-Augmented Generation,No,single-hop,vanilla LLMs; Vanilla Llama,Dense Retrieval,Mistral-7b; Mistral-8x7b; Llama3.1-8b; Llama3.1-70b; Llama3.1-405b,Yes,Image; Text,DeepSense6G,Answer Relevancy; Context Recall; Correctness Score; Faithfulness,Other,No,null,null,null,No,2
2410.19572v5_ChunkRAG-Novel-LLM-Chunk-Filtering-Method-for-RAG-Systems.pdf,ChunkRAG: A Novel LLM-Chunk Filtering Method for RAG Systems,Muhammad Taha; Ishneet Sukhvinder Singh; Ritvik Aggarwal; Ibrahim Allahverdiyev; Aslihan Akalin; Kevin Zhu; Sean O’Brien,Algoverse AI Research; ucsd.edu,Retrieval-Augmented Generation,No,multi-hop,LLaMA2-7B; Alpaca-7B; LLaMA2-13B; Alpaca-13B; ChatGPT; LLaMA2-chat13B; RAG + LLaMA2-7B; RAG+ Alpaca-7B; RAG+LLaMA2-13B; RAG+Alpaca-13B; RAG; Self-RAG; CRAG; Self-CRAG,Hybrid Retrieval,LLaMA2-7B,Yes,Text,PopQA; PubHealth; Biography,Accuracy; FactScore,General; Medical,No,null,null,null,No,14
2411.02959v2_HtmlRAG-HTML-is-Better-Than-Plain-Text-for-Modeling-Retrieved-Knowledge-in-RAG-Systems.pdf,HtmlRAG: HTML is Better Than Plain Text for Modeling Retrieved Knowledge in RAG Systems,Jiejun Tan; Zhicheng Dou; Wen Wang; Mang Wang; Weipeng Chen; Ji-Rong Wen,"Gaoling School of Artificial Intelligence, Renmin University of China; Baichuan Intelligent Technology",Retrieval-Augmented Generation,No,multi-hop,BM25; BGE; E5-Mistral; LongLLMLingua; JinaAI Reader,Web Search,Llama-3.1-70B-Instruct; Llama-3.1-8B-Instruct,Yes,Text; Table,ASQA; HotpotQA; NQ; Trivia-QA; MuSiQue; ELI5,EM; Hit@1; ROUGE-L; BLEU,General,No,null,EM: 43.75 (with Llama-3.1-8B-Instruct); EM: 46.25 (with Llama-3.1-70B-Instruct),"Llama-3.1-8B-Instruct-4K: Hit@1: 61.75, EM: 45.90; Llama-3.1-70B-Instruct-4K: Hit@1: 60.50, EM: 45.26",No,5
2411.07021v2_Invar-RAG-Invariant-LLM-aligned-Retrieval-for-Better-Generation.pdf,Invar-RAG: Invariant LLM-aligned Retrieval for Better Generation,ZIWEI LIU; LIANG ZHANG; QIAN LI; JIANGHUA WU; GUANGXU ZHU,City University of Hong Kong; Shenzhen Research Institute of Big Data,Retrieval-Augmented Generation,Yes,single-hop,BM25; BM25+BGE(re-ranker); Contriever; BGE-base; LLM-embedder; RepLLaMA; BGE-base+LLaMA-2-7B; BM25 + BGE(re-rank) +LLaMA-2-7B; LLM-embeder+LLaMA-2-7B; Contriever+LLaMA-2-7B,Dense Retrieval,LLaMA-2-7B,No,Text,TriviaQA; Natural Question; PopQA,Exact Match; Acc@5; Acc@20,General,No,null,null,Retrieval Acc@5: 80.5; Retrieval Acc@20: 88.0; Generation ExactMatch: 56.2,No,10
2411.07396v1_Toward-Optimal-Search-and-Retrieval-for-RAG.pdf,Toward Optimal Search and Retrieval for RAG,Alexandria Leto; Cecilia Aguerrebere; Ishwar Bhati; Ted Willke; Mariano Tepper; Vy Ai Vo,Department of Computer Science University of Colorado Boulder; Intel Labs,Retrieval-Augmented Generation,No,single-hop,closed-book (k=0); gold-document-only,Dense Retrieval,Llama-2-7b-chat; Mistral-7B-Instruct-v0.3,No,Text,ASQA; QAMPARI; Natural Questions (NQ),recall@k; EM Rec.; citation recall; citation precision,General,No,null,null,"Mistral + ColBERTv2 (k=10): EM Recall: 64.171, Citation Recall: 67.233, Citation Precision: 55.348; Mistral + BGE-base (k=20): EM Recall: 61.145, Citation Recall: 57.173, Citation Precision: 46.497; LLaMA + ColBERTv2 (k=4): EM Recall: 36.813, Citation Recall: 50.63, Citation Precision: 51.505; LLaMA + BGE-base (k=5): EM Recall: 34.402, Citation Recall: 42.227, Citation Precision: 41.97",No,2
2411.09590v1_Adopting-RAG-for-LLM-Aided-Future-Vehicle-Design.pdf,Adopting RAG for LLM-Aided Future Vehicle Design,Vahid Zolfaghari; Nenad Petrovic; Fengjunjie Pan; Krzysztof Lebioda; Alois Knoll,"Technical University of Munich, Robotics, Artificial Intelligence and Embedded Systems, Munich, Germany",Retrieval-Augmented Generation,No,single-hop,LLAMA3; Mixtral; GPT-4o; Mistral,Dense Retrieval,GPT-4o; LLAMA3; Mistral; Mixtral,Yes,Text,ISO 26262-1:2018,Accuracy; Execution time,Other,No,null,null,null,No,4
2411.13154v1_DMQR-RAG-Diverse-Multi-Query-Rewriting-for-RAG.pdf,DMQR-RAG: DIVERSE MULTI-QUERY REWRITING FOR RETRIEVAL-AUGMENTED GENERATION,Zhicong Li; Jiahao Wang; Zhishu Jiang; Hangyu Mao; Zhongxia Chen; Jiazhen Du; Yuanxing Zhang; Fuzheng Zhang; Di Zhang; Yong Liu,Renmin University of China; Southeast University; Beijing Jiaotong University; Kuaishou Technology,Retrieval-Augmented Generation,No,multi-hop,Rewrite; Hyde; RRR; RQ-RAG; OQR; RAG-Fusion,Web Search,GPT-4,Yes,Text,AmbigNQ; HotpotQA; FreshQA; industry datasets,H@5; P@5; EM; F1; Acc,General,No,null,H@5: 54.18; P@5: 27.93; EM: 41.12; F1: 53.99,null,No,6
2411.14592v2_G-RAG-Knowledge-Expansion-in-Material-Science.pdf,G-RAG: Knowledge Expansion in Material Science,Radeen Mostafa; Mirza Nihal Baig; Mashaekh Tausif Ehsan; Jakir Hasan,"magicmind.me, USA; Intelsense AI Limited, Dhaka, Bangladesh; Department of Mechanical Engineering, Bangladesh University of Engineering and Technology; Department of Computer Science and Engineering, Shahjalal University of Science and Technology",Retrieval-Augmented Generation,Yes,single-hop,Naive RAG; Graph RAG,Graph-based Retrieval,LLama 3.1 8B; LLama 3.1 70B,No,Text; Image; Table,Custom handwritten queries,Correctness; Faithfulness; Relevancy,Academic,Yes,Other,null,null,No,2
2411.16523v2_LaB-RAG-Label-Boosted-Retrieval-Augmented-Generation-for-Radiology-Report-Generation.pdf,LAB-RAG: LABEL BOOSTED RETRIEVAL AUGMENTED GENERATION FOR RADIOLOGY REPORT GENERATION,Steven Song; Anirudh Subramanyam; Irene Madejski; Robert L. Grossman,"Department of Computer Science; Center for Translational Data Science; Medical Scientist Training Program; Section of Biomedical Data Science, Department of Medicine; University of Chicago",Retrieval-Augmented Generation,No,single-hop,RGRG; CheXagent; CXRMate; CXR-RePaiR; CXR-ReDonE; X-REM; Standard RAG,Dense Retrieval,Mistral-7B-Instruct-v0.3; Mistral-7B-Instruct-v0.1; BioMistral,Yes,Image; Text,MIMIC-CXR; CheXpert Plus,F1-RadGraph; F1-CheXbert; BLEU-4; ROUGE-L; BERTScore,Medical,No,null,null,null,No,7
2411.19539v1_Knowledge-Management-for-Automobile-Failure-Analysis-Using-Graph-RAG.pdf,Knowledge Management for Automobile Failure Analysis Using Graph RAG,Yuta Ojima; Hiroki Sakaji; Tadashi Nakamura; Hiroaki Sakata; Kazuya Seki; Yuu Teshigawara; Masami Yamashita; Kazuhiro Aoyama,The University of Tokyo; Hokkaido University; Isuzu Motors Limited,Retrieval-Augmented Generation,Yes,single-hop,ChatGPT; SP-based Graph RAG,Graph-based Retrieval,GPT-4o,Yes,Text,original Q&A dataset,ROUGE-1 F1; ROUGE-2 F1; ROUGE-L F1,Other,No,null,null,null,No,2
2411.19554v1_Unimib-Assistant-designing-a-student-friendly-RAG-based-chatbot-for-all-their-needs.pdf,Unimib Assistant: designing a student-friendly RAG-based chatbot for all their needs,Chiara Antico; Stefano Giordano; Cansu Koyuturk; Dimitri Ognibene,"Dept. Psychology, Università degli Studi di Milano Bicocca, Milan, Italy",Retrieval-Augmented Generation,No,single-hop,null,Dense Retrieval,ChatGPT-4,No,Text,null,null,Education,No,null,null,null,Yes,0
